pH,Z
3.147971,31.969999
3.24105,31.245
3.334129,30.375001
3.458234,29.5775
3.5358,28.634999
3.659905,27.62
3.752983,26.604999
3.846062,25.5175
3.939141,24.43
4.047733,23.269999
4.156325,22.1825
4.249403,21.167499
4.342482,20.08
4.451074,19.065
4.544153,18.195
4.668258,17.325
4.745823,16.6
4.838902,15.947499
4.963007,15.295
5.071599,14.715
5.133651,14.2075
5.27327,13.844999
5.350836,13.3375
5.536993,12.7575
5.754177,12.25
5.97136,11.815
6.142005,11.3075
6.250597,11.1625
6.405728,10.8
6.669451,10.1475
6.871122,9.5675
7.072792,9.06
7.227924,8.5525
7.460621,8.045
7.646778,7.6825
7.848448,7.3925
8.081146,7.2475
8.25179,7.03
8.468974,6.8125
8.670644,6.5225
8.918855,5.87
