pH,Z
1.781018,20.142628
1.884776,20.209102
2.009582,20.146329
2.092695,20.147676
2.155166,20.083893
2.238415,20.020446
2.446469,19.894227
2.509074,19.765652
2.634014,19.638087
2.780002,19.381272
3.009912,18.737049
3.072517,18.608472
3.281918,17.834326
3.344792,17.576165
3.407532,17.382798
3.47081,16.930259
3.554462,16.672434
3.701797,15.767695
3.722171,15.962409
3.890554,14.928419
3.911871,14.669585
3.995523,14.411761
4.037888,14.023678
4.122079,13.506684
4.227184,12.925233
4.290193,12.602279
4.416075,12.021165
4.479353,11.568626
4.583919,11.246346
4.667706,10.923729
4.793051,10.601785
4.835281,10.278496
4.877377,10.019998
4.960895,9.826967
5.06546,9.504687
5.1282,9.311318
5.211314,9.312665
5.316014,8.925591
5.399397,8.797352
5.524203,8.73458
5.649682,8.347844
5.711749,8.478439
5.753709,8.284734
5.920476,8.028256
5.962437,7.834551
6.129204,7.578073
6.191943,7.384705
6.254683,7.191337
6.379758,6.998979
6.442497,6.80561
6.609398,6.48434
6.65136,6.290635
6.839578,5.710531
6.839174,5.904909
7.04844,5.195555
7.131824,5.067316
7.23612,4.874621
7.319638,4.68159
7.403021,4.553351
7.590432,4.362002
7.715641,4.104851
7.799025,3.976612
8.007349,3.720808
8.069954,3.592232
8.298922,3.401557
8.465688,3.145079
8.632185,3.018186
8.715569,2.889947
8.799221,2.632123
8.861557,2.633133
9.049372,2.247406
9.091198,2.118494
9.216408,1.861343
9.216946,1.602173
9.300329,1.473934
9.405165,1.022068
9.44726,0.763571
9.489355,0.505073
9.552364,0.18212
9.678785,-0.658165
9.678382,-0.463787
9.741525,-0.851533
9.826255,-1.627698
9.847707,-1.951325
9.931359,-2.209149
9.974262,-2.856402
10.079501,-3.502646
10.101088,-3.891065
10.207269,-4.990857
10.269605,-4.989847
10.376325,-6.348809
10.524602,-7.707099
10.672878,-9.065388
10.735483,-9.193963
10.841261,-10.099377
10.925721,-10.745957
10.924779,-10.292409
11.051065,-11.067901
11.052008,-11.521449
11.156035,-11.584559
11.177891,-12.102563
11.282726,-12.554429
11.281514,-11.971295
11.365436,-12.358705
11.387157,-12.811916
