name,Run,BioSample,SampleName,site,Season,replicate,"Temp (°C)",pH,"DO (mg/L)","ORP (mV)"
"Pearl River Estuary",SRR3476633,SAMN04932606,HEM1,HEM,Summer,1,31.2,8.16,6.02,43.72
"Pearl River Estuary",SRR3476634,SAMN04932607,HEM2,HEM,Summer,2,31.2,8.16,6.02,43.72
"Pearl River Estuary",SRR3476635,SAMN04932608,HEM3,HEM,Summer,3,31.2,8.16,6.02,43.72
"Pearl River Estuary",SRR3476636,SAMN04932609,HQM1,HLM,Summer,1,32.2,8.04,6.11,26.44
"Pearl River Estuary",SRR3476638,SAMN04932610,HQM2,HLM,Summer,2,32.2,8.04,6.11,26.44
"Pearl River Estuary",SRR3476639,SAMN04932611,HQM3,HLM,Summer,3,32.2,8.04,6.11,26.44
"Pearl River Estuary",SRR3476623,SAMN04932597,HTM1,HTM,Summer,1,30.5,8,5.82,27.64
"Pearl River Estuary",SRR3476624,SAMN04932598,HTM2,HTM,Summer,2,30.5,8,5.82,27.64
"Pearl River Estuary",SRR3476625,SAMN04932599,HTM3,HTM,Summer,3,30.5,8,5.82,27.64
"Pearl River Estuary",SRR3476643,SAMN04932615,HUM1,HUM,Summer,1,31,7.94,5.84,43.83
"Pearl River Estuary",SRR3476645,SAMN04932616,HUM2,HUM,Summer,2,31,7.94,5.84,43.83
"Pearl River Estuary",SRR3476646,SAMN04932617,HUM3,HUM,Summer,3,31,7.94,5.84,43.83
"Pearl River Estuary",SRR3476640,SAMN04932612,JOM1,JOM,Summer,1,32.2,8.13,6.53,23.61
"Pearl River Estuary",SRR3476641,SAMN04932613,JOM2,JOM,Summer,2,32.2,8.13,6.53,23.61
"Pearl River Estuary",SRR3476642,SAMN04932614,JOM3,JOM,Summer,3,32.2,8.13,6.53,23.61
"Pearl River Estuary",SRR3476627,SAMN04932600,JTM1,JTM,Summer,1,30.1,8.21,6.73,59.13
"Pearl River Estuary",SRR3476628,SAMN04932601,JTM2,JTM,Summer,2,30.1,8.21,6.73,59.13
"Pearl River Estuary",SRR3476629,SAMN04932602,JTM3,JTM,Summer,3,30.1,8.21,6.73,59.13
"Pearl River Estuary",SRR3476630,SAMN04932603,MDM1,MDM,Summer,1,30,8.07,6.74,59.41
"Pearl River Estuary",SRR3476631,SAMN04932604,MDM2,MDM,Summer,2,30,8.07,6.74,59.41
"Pearl River Estuary",SRR3476632,SAMN04932605,MDM3,MDM,Summer,3,30,8.07,6.74,59.41
"Pearl River Estuary",SRR3476621,SAMN04932595,YAM2,YAM,Summer,2,29.6,8.12,6.11,73.12
"Pearl River Estuary",SRR3476622,SAMN04932596,YAM3,YAM,Summer,2,29.6,8.12,6.11,73.12
"Pearl River Estuary",SRR5252174,SAMN06140878,HEM1-02,HEM,Winter,1,17.2,7.82,6.9,133.62
"Pearl River Estuary",SRR5252175,SAMN06140879,HEM2-02,HEM,Winter,2,17.2,7.82,6.9,133.62
"Pearl River Estuary",SRR5252265,SAMN06140880,HEM3-02,HEM,Winter,3,17.2,7.82,6.9,133.62
"Pearl River Estuary",SRR5252266,SAMN06140881,HQM1-02,HLM,Winter,1,17,7.98,6.65,126.41
"Pearl River Estuary",SRR5252267,SAMN06140882,HQM2-02,HLM,Winter,2,17,7.98,6.65,126.41
"Pearl River Estuary",SRR5252268,SAMN06140883,HQM3-02,HLM,Winter,3,17,7.98,6.65,126.41
"Pearl River Estuary",SRR5251650,SAMN06140869,HTM1-02,HTM,Winter,1,18.1,7.97,6.61,21.94
"Pearl River Estuary",SRR5251651,SAMN06140870,HTM2-02,HTM,Winter,2,18.1,7.97,6.61,21.94
"Pearl River Estuary",SRR5251667,SAMN06140871,HTM3-02,HTM,Winter,3,18.1,7.97,6.61,21.94
"Pearl River Estuary",SRR5252274,SAMN06140887,HUM1-02,HUM,Winter,1,17,7.6,5.47,202.11
"Pearl River Estuary",SRR5252275,SAMN06140888,HUM2-02,HUM,Winter,2,17,7.6,5.47,202.11
"Pearl River Estuary",SRR5252276,SAMN06140889,HUM3-02,HUM,Winter,3,17,7.6,5.47,202.11
"Pearl River Estuary",SRR5252271,SAMN06140884,JOM1-02,JOM,Winter,1,17.5,7.91,7.06,94.64
"Pearl River Estuary",SRR5252272,SAMN06140885,JOM2-02,JOM,Winter,2,17.5,7.91,7.06,94.64
"Pearl River Estuary",SRR5252273,SAMN06140886,JOM3-02,JOM,Winter,3,17.5,7.91,7.06,94.64
"Pearl River Estuary",SRR5251694,SAMN06140872,JTM1-02,JTM,Winter,1,17.9,8.03,7.52,65.21
"Pearl River Estuary",SRR5251695,SAMN06140873,JTM2-02,JTM,Winter,2,17.9,8.03,7.52,65.21
"Pearl River Estuary",SRR5251697,SAMN06140874,JTM3-02,JTM,Winter,3,17.9,8.03,7.52,65.21
"Pearl River Estuary",SRR5251699,SAMN06140875,MDM1-02,MDM,Winter,1,16.7,8,6.43,45.54
"Pearl River Estuary",SRR5251759,SAMN06140876,MDM2-02,MDM,Winter,2,16.7,8,6.43,45.54
"Pearl River Estuary",SRR5251908,SAMN06140877,MDM3-02,MDM,Winter,3,16.7,8,6.43,45.54
"Pearl River Estuary",SRR5248940,SAMN06140866,YAM1-02,YAM,Winter,1,17.7,7.92,6.7,28.42
"Pearl River Estuary",SRR5248939,SAMN06140867,YAM2-02,YAM,Winter,2,17.7,7.92,6.7,28.42
"Pearl River Estuary",SRR5251649,SAMN06140868,YAM3-02,YAM,Winter,3,17.7,7.92,6.7,28.42
