name,Run,BioSample,sample,"depth (mm)",source,Treatment,"Redox (mV)","O2 (μmol/L)"
"Estuarine Sediment Mesocosms",SRR12038390,SAMN15295845,t13d00,0,"Cv &amp; Hd rep3","Cv & Hd",195,3.2
"Estuarine Sediment Mesocosms",SRR12038389,SAMN15295846,t13d15,15,"Cv &amp; Hd rep3","Cv & Hd",142,1.2
"Estuarine Sediment Mesocosms",SRR12038388,SAMN15295847,t13d30,30,"Cv &amp; Hd rep3","Cv & Hd",101,0
"Estuarine Sediment Mesocosms",SRR12038387,SAMN15295848,t13d45,45,"Cv &amp; Hd rep3","Cv & Hd",75,0
"Estuarine Sediment Mesocosms",SRR12038386,SAMN15295849,t14d00,0,"MPB rep3",MPB,149,1.1
"Estuarine Sediment Mesocosms",SRR12038385,SAMN15295850,t14d15,15,"MPB rep3",MPB,105,0.1
"Estuarine Sediment Mesocosms",SRR12038384,SAMN15295851,t14d30,30,"MPB rep3",MPB,80,0
"Estuarine Sediment Mesocosms",SRR12038383,SAMN15295852,t14d45,45,"MPB rep3",MPB,63,0
"Estuarine Sediment Mesocosms",SRR12038382,SAMN15295853,t15d00,0,"Manual turbation rep3","Manual turbation",189,0.3
"Estuarine Sediment Mesocosms",SRR12038381,SAMN15295854,t15d15,15,"Manual turbation rep3","Manual turbation",151,0.2
"Estuarine Sediment Mesocosms",SRR12038379,SAMN15295855,t15d30,30,"Manual turbation rep3","Manual turbation",87,0
"Estuarine Sediment Mesocosms",SRR12038378,SAMN15295856,t15d45,45,"Manual turbation rep3","Manual turbation",59,0
"Estuarine Sediment Mesocosms",SRR12038377,SAMN15295857,t16d00,0,"C. volutator rep4","C. volutator",211,2
"Estuarine Sediment Mesocosms",SRR12038376,SAMN15295858,t16d15,15,"C. volutator rep4","C. volutator",147,1.7
"Estuarine Sediment Mesocosms",SRR12038375,SAMN15295859,t16d30,30,"C. volutator rep4","C. volutator",92,0
"Estuarine Sediment Mesocosms",SRR12038374,SAMN15295860,t16d45,45,"C. volutator rep4","C. volutator",62,0
"Estuarine Sediment Mesocosms",SRR12038373,SAMN15295861,t17d00,0,"H. diversicolor rep4","H. diversicolor",176,0.3
"Estuarine Sediment Mesocosms",SRR12038372,SAMN15295862,t17d15,15,"H. diversicolor rep4","H. diversicolor",129,0.1
"Estuarine Sediment Mesocosms",SRR12038371,SAMN15295863,t17d30,30,"H. diversicolor rep4","H. diversicolor",92,0
"Estuarine Sediment Mesocosms",SRR12038370,SAMN15295864,t17d45,45,"H. diversicolor rep4","H. diversicolor",65,0
"Estuarine Sediment Mesocosms",SRR12038415,SAMN15295865,t18d00,0,"Cv &amp; Hd rep4","Cv & Hd",195,3.2
"Estuarine Sediment Mesocosms",SRR12038414,SAMN15295866,t18d15,15,"Cv &amp; Hd rep4","Cv & Hd",142,1.2
"Estuarine Sediment Mesocosms",SRR12038413,SAMN15295867,t18d30,30,"Cv &amp; Hd rep4","Cv & Hd",101,0
"Estuarine Sediment Mesocosms",SRR12038412,SAMN15295868,t18d45,45,"Cv &amp; Hd rep4","Cv & Hd",75,0
"Estuarine Sediment Mesocosms",SRR12038411,SAMN15295869,t19d00,0,"MPB rep4",MPB,149,1.1
"Estuarine Sediment Mesocosms",SRR12038410,SAMN15295870,t19d15,15,"MPB rep4",MPB,105,0.1
"Estuarine Sediment Mesocosms",SRR12038409,SAMN15295871,t19d30,30,"MPB rep4",MPB,80,0
"Estuarine Sediment Mesocosms",SRR12038408,SAMN15295872,t19d45,45,"MPB rep4",MPB,63,0
"Estuarine Sediment Mesocosms",SRR12038407,SAMN15295873,t20d00,0,"Manual turbation rep4","Manual turbation",189,0.3
"Estuarine Sediment Mesocosms",SRR12038406,SAMN15295874,t20d15,15,"Manual turbation rep4","Manual turbation",151,0.2
"Estuarine Sediment Mesocosms",SRR12038404,SAMN15295875,t20d30,30,"Manual turbation rep4","Manual turbation",87,0
"Estuarine Sediment Mesocosms",SRR12038403,SAMN15295876,t20d45,45,"Manual turbation rep4","Manual turbation",59,0
