Name,Run,BioSample,sample,LibraryName,Domain,Type,T,pH,ORP
"Santa Elena Ophiolite",SRR5176934,SAMN06226014,Serp_SE_QDanta1_Feb2014,Serp_SE_QDanta1_Feb2014_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176933,SAMN06226015,Serp_SE_QDanta2_Feb2014,Serp_SE_QDanta2_Feb2014_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176900,SAMN06226015,Serp_SE_QDanta2_Feb2014,Serp_SE_QDanta2_Feb2014_Bv4v5,Bacteria,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176899,SAMN06226016,Serp_SE_QDanta3_Feb2014,Serp_SE_QDanta3_Feb2014_Bv4v5,Bacteria,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176932,SAMN06226016,Serp_SE_QDanta3_Feb2014,Serp_SE_QDanta3_Feb2014_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176921,SAMN06226027,Serp_SE_QDantaUp1_Feb2014,Serp_SE_QDantaUp1_Feb2014_Av4v5,Archaea,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176888,SAMN06226027,Serp_SE_QDantaUp1_Feb2014,Serp_SE_QDantaUp1_Feb2014_Bv4v5,Bacteria,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176887,SAMN06226028,Serp_SE_QDantaUp2_Feb2014,Serp_SE_QDantaUp2_Feb2014_Bv4v5,Bacteria,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176920,SAMN06226028,Serp_SE_QDantaUp2_Feb2014,Serp_SE_QDantaUp2_Feb2014_Av4v5,Archaea,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176919,SAMN06226029,Serp_SE_QDantaUp3_Feb2014,Serp_SE_QDantaUp3_Feb2014_Av4v5,Archaea,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176886,SAMN06226029,Serp_SE_QDantaUp3_Feb2014,Serp_SE_QDantaUp3_Feb2014_Bv4v5,Bacteria,River,27.9,8.42,66
"Santa Elena Ophiolite",SRR5176906,SAMN06226009,Serp_SE_Q_Danta1_Mar13,Serp_SE_Q_Danta1_Mar13_Bv4v5,Bacteria,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176939,SAMN06226009,Serp_SE_Q_Danta1_Mar13,Serp_SE_Q_Danta1_Mar13_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176938,SAMN06226010,Serp_SE_Q_Danta2_Mar13,Serp_SE_Q_Danta2_Mar13_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176905,SAMN06226010,Serp_SE_Q_Danta2_Mar13,Serp_SE_Q_Danta2_Mar13_Bv4v5,Bacteria,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176904,SAMN06226011,Serp_SE_Q_Danta4_Mar13,Serp_SE_Q_Danta4_Mar13_Bv4v5,Bacteria,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176937,SAMN06226011,Serp_SE_Q_Danta4_Mar13,Serp_SE_Q_Danta4_Mar13_Av4v5,Archaea,Spring,29.2,11.59,-251
"Santa Elena Ophiolite",SRR5176918,SAMN06226030,Serp_SE_RioCalera1_Feb2014,Serp_SE_RioCalera1_Feb2014_Av4v5,Archaea,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176885,SAMN06226030,Serp_SE_RioCalera1_Feb2014,Serp_SE_RioCalera1_Feb2014_Bv4v5,Bacteria,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176884,SAMN06226031,Serp_SE_RioCalera2_Feb2014,Serp_SE_RioCalera2_Feb2014_Bv4v5,Bacteria,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176917,SAMN06226031,Serp_SE_RioCalera2_Feb2014,Serp_SE_RioCalera2_Feb2014_Av4v5,Archaea,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176916,SAMN06226032,Serp_SE_RioCalera3_Feb2014,Serp_SE_RioCalera3_Feb2014_Av4v5,Archaea,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176883,SAMN06226032,Serp_SE_RioCalera3_Feb2014,Serp_SE_RioCalera3_Feb2014_Bv4v5,Bacteria,River,25.3,8.61,148
"Santa Elena Ophiolite",SRR5176894,SAMN06226021,Serp_SE_Spring8_2_Feb2014,Serp_SE_Spring8_2_Feb2014_Bv4v5,Bacteria,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176927,SAMN06226021,Serp_SE_Spring8_2_Feb2014,Serp_SE_Spring8_2_Feb2014_Av4v5,Archaea,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176926,SAMN06226022,Serp_SE_Spring8_3_Feb2014,Serp_SE_Spring8_3_Feb2014_Av4v5,Archaea,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176893,SAMN06226022,Serp_SE_Spring8_3_Feb2014,Serp_SE_Spring8_3_Feb2014_Bv4v5,Bacteria,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176892,SAMN06226023,Serp_SE_Spring8_4_Feb2014,Serp_SE_Spring8_4_Feb2014_Bv4v5,Bacteria,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176925,SAMN06226023,Serp_SE_Spring8_4_Feb2014,Serp_SE_Spring8_4_Feb2014_Av4v5,Archaea,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176935,SAMN06226013,Serp_SE_Spring8_Mar13,Serp_SE_Spring8_Mar13_Av4v5,Archaea,Spring,26.1,11.54,-331
"Santa Elena Ophiolite",SRR5176902,SAMN06226013,Serp_SE_Spring8_Mar13,Serp_SE_Spring8_Mar13_Bv4v5,Bacteria,Spring,26.1,11.54,-331
