Name,Run,BioSample,SampleName,Well,Date,Type,"T (°C)","Redox (mV)",pH,"Conductivity (mS/cm)"
"Underground Gas Reservoirs",SRR15720315,SAMN21199306,DUN-A-10/18,DUN‐A,2018/10/22,Subsurface,43.4,NA,8.9,77.4
"Underground Gas Reservoirs",SRR15720314,SAMN21199307,DUN-B-12/18,DUN‐B,2018/12/19,Subsurface,40.4,NA,8.2,NA
"Underground Gas Reservoirs",SRR15720313,SAMN21199308,DUN-C-10/18,DUN‐C,2018/10/23,Subsurface,33.9,NA,8.3,38.5
"Underground Gas Reservoirs",SRR15720322,SAMN21199291,LO-A-6/18,LO‐A,2018/06/12,Subsurface,21.9,-201.8,7.85,4.56
"Underground Gas Reservoirs",SRR15720321,SAMN21199292,LO-B-10/18,LO‐B,2018/10/12,Subsurface,12.6,-208,7.62,3.79
"Underground Gas Reservoirs",SRR15720309,SAMN21199294,LO-C-10/18,LO‐C,2018/10/29,Overflow,26.3,-460,7.61,3.89
"Underground Gas Reservoirs",SRR15720308,SAMN21199295,LO-C-11/19,LO‐C,2019/11/11,Overflow,25.6,-250,7.54,3.85
"Underground Gas Reservoirs",SRR15720310,SAMN21199293,LO-C-6/18,LO‐C,2018/06/12,Overflow,25.8,-138.5,7.83,3.9
"Underground Gas Reservoirs",SRR15720307,SAMN21199296,LO-D-10/18,LO‐D,2018/10/29,Overflow,26.2,-370,7.7,3.9
"Underground Gas Reservoirs",SRR15720306,SAMN21199297,LO-D-11/19,LO‐D,2019/11/11,Overflow,25.5,-293,7.82,3.57
"Underground Gas Reservoirs",SRR15720305,SAMN21199298,LO-E-11/19,LO‐E,2019/11/12,Overflow,24.9,-245,7.5,3.73
"Underground Gas Reservoirs",SRR15720303,SAMN21199300,LO-F-11/19,LO‐F,2019/11/11,Overflow,27,-280.0,7.8,3.7
"Underground Gas Reservoirs",SRR15720304,SAMN21199299,LO-F-5/18,LO‐F,2018/05/17,Overflow,28.4,-169.7,7.9,3.7
"Underground Gas Reservoirs",SRR15720320,SAMN21199301,LO-G-10/18,LO‐G,2018/10/31,Overflow,15.5,-188,8.7,6.7
"Underground Gas Reservoirs",SRR15720319,SAMN21199302,LO-G-11/19,LO‐G,2019/11/12,Subsurface,20.8,-188.7,8.6,6.6
"Underground Gas Reservoirs",SRR15720318,SAMN21199303,LO-H-10/18,LO‐H,2018/10/31,Subsurface,14.5,-174.5,8.4,6.3
"Underground Gas Reservoirs",SRR15720317,SAMN21199304,LO-H-11/19,LO‐H,2019/11/12,Overflow,19.6,-170.1,8.4,6.4
"Underground Gas Reservoirs",SRR15720316,SAMN21199305,LO-I-3/19,LO‐I,2019/03/07,Overflow,,-319,9.3,3
"Underground Gas Reservoirs",SRR15720312,SAMN21199309,TVR-A-3/19,TVR‐A,2019/03/04,Subsurface,46,NA,8,NA
"Underground Gas Reservoirs",SRR15720311,SAMN21199310,TVR-B-4/19,TVR‐B,2019/04/05,Subsurface,17,-130,8.1,19.2
