Name,Run,BioSample,LibraryName,Domain,"Sample Name",KH#,Month,"Land Use",Reed,Canopy,Size,Depth,Perm.,pH,"Cond. µS",Temp,Depth,"O2 mg/L",E0,Eh
"German Kettle Holes",SRR12127952,SAMN15365674,BAC_312W5,Bacteria,312W5,312,Oct,Arable,Y,N,L,S,3,9.082,252,13.2,NA,NA,115.6,325.6
"German Kettle Holes",SRR12127947,SAMN15365679,BAC_40W4,Bacteria,40W4,40,Jun,Arable,N,Y,M,S,2,7.155,465,15,NA,0.9,33.2,243.2
"German Kettle Holes",SRR12128674,SAMN15365705,BAC_807W5,Bacteria,807W5,807,Oct,Arable,Y,N,L,D,3,6.937,271,10.9,NA,NA,168.6,378.6
"German Kettle Holes",SRR12128663,SAMN15365715,BAC_892W5,Bacteria,892W5,892,Oct,Arable,Y,N,L,D,3,7.149,389,10.5,NA,2.4,219.4,429.4
"German Kettle Holes",SRR12128654,SAMN15365723,BAC_893W4,Bacteria,893W4,893,Jun,Arable,N,N,L,S,3,8.45,484,16.8,10,7.55,161.9,371.9
"German Kettle Holes",SRR12128645,SAMN15365732,BAC_907W5,Bacteria,907W5,907,Oct,Grassland,N,N,S,D,3,6.442,199.5,10.1,NA,1.8,202.3,412.3
"German Kettle Holes",SRR12127953,SAMN15365673,Bac_312W4,Bacteria,312W4,312,Jun,Arable,Y,N,L,S,3,7.17,611,19.9,NA,4.32,161.9,371.9
"German Kettle Holes",SRR12127941,SAMN15365684,Bac_606W4,Bacteria,606W4,606,Jun,Arable,N,P,M,S,3,7.43,674,21.3,NA,1.01,106.9,316.9
"German Kettle Holes",SRR12128684,SAMN15365696,Bac_805W4,Bacteria,805W4,805,Jun,Arable,Y,Y,L,D,3,6.6,540,18.4,NA,2.79,-38.7,171.3
"German Kettle Holes",SRR12128675,SAMN15365704,Bac_807W4,Bacteria,807W4,807,Jun,Arable,Y,N,L,D,3,7.16,320,18.1,NA,4.51,138.8,348.8
"German Kettle Holes",SRR12128664,SAMN15365714,Bac_892W4,Bacteria,892W4,892,Jun,Arable,Y,N,L,D,3,8.45,484,16.8,170,7.55,161.9,371.9
"German Kettle Holes",SRR12128646,SAMN15365731,Bac_907W4,Bacteria,907W4,907,Jun,Grassland,N,N,S,D,3,6.89,309,21.1,NA,3.45,101.7,311.7
"German Kettle Holes",SRR12128043,SAMN15365287,ARC_1590W4,Archaea,1590W4,1590,Jun,Forest,N,Y,L,S,3,7.29,612,15.1,30,2.28,117.2,327.2
"German Kettle Holes",SRR12127988,SAMN15365292,ARC_1598W4,Archaea,1598W4,1598,Jun,Arable,Y,P,L,D,3,6.49,316,15.9,30,3.5,172.9,382.9
"German Kettle Holes",SRR12127977,SAMN15365257,Arc_1189W4,Archaea,1189W4,1189,Jun,Arable,Y,N,M,S,3,6.9,468,19.9,35,0.04,-22,188
"German Kettle Holes",SRR12128066,SAMN15365572,BAC_1598W4,Bacteria,1598W4,1598,Jun,Arable,Y,P,L,D,3,6.49,316,15.9,30,3.5,172.9,382.9
"German Kettle Holes",SRR12128057,SAMN15365580,BAC_1604W4,Bacteria,1604W4,1604,Jun,Arable,Y,P,L,S,3,7.37,795,18.2,50,3.13,166.7,376.7
"German Kettle Holes",SRR12128049,SAMN15365587,BAC_187W4,Bacteria,187W4,187,Jun,Arable,Y,N,M,S,3,7.72,1133,19.6,50,2.84,43.3,253.3
"German Kettle Holes",SRR12128016,SAMN15365617,BAC_258W5,Bacteria,258W5,258,Oct,Arable,N,N,M,D,3,7.665,627,11.9,NA,NA,172.4,382.4
"German Kettle Holes",SRR12128008,SAMN15365624,BAC_259W5,Bacteria,259W5,259,Oct,Arable,Y,N,L,S,3,7.186,625,11,NA,NA,141.2,351.2
"German Kettle Holes",SRR12127998,SAMN15365633,BAC_265W5,Bacteria,265W5,265,Oct,Arable,Y,N,L,D,3,7.22,737,12.6,NA,5.29,177.6,387.6
"German Kettle Holes",SRR12127991,SAMN15365640,BAC_269W4,Bacteria,269W4,269,Jun,Arable,N,P,M,S,3,8.196,1235,22.6,NA,7.8,166.4,376.4
"German Kettle Holes",SRR12127990,SAMN15365641,BAC_269W5,Bacteria,269W5,269,Oct,Arable,N,P,M,S,3,7.872,861,12.7,NA,288,165.1,375.1
"German Kettle Holes",SRR12127981,SAMN15365649,BAC_275W4,Bacteria,275W4,275,Jun,Arable,Y,N,L,D,3,7.91,447,21,NA,7,149.6,359.6
"German Kettle Holes",SRR12127980,SAMN15365650,BAC_275W5,Bacteria,275W5,275,Oct,Arable,Y,N,L,D,3,7.882,418,11,NA,NA,153.5,363.5
"German Kettle Holes",SRR12127971,SAMN15365657,BAC_287W5,Bacteria,287W5,287,Oct,Arable,Y,P,M,S,3,5.698,804,11.9,30,4.36,190.4,400.4
"German Kettle Holes",SRR12128031,SAMN15365603,Bac_2489W4,Bacteria,2489W4,2489,Jun,Arable,Y,N,S,S,2,6.77,656,21.1,30,2.58,-1,209
"German Kettle Holes",SRR12128026,SAMN15365608,Bac_2565W4,Bacteria,2565W4,2565,Jun,Forest,N,Y,L,S,3,6.28,234,15.4,90,1.8,162.3,372.3
"German Kettle Holes",SRR12128009,SAMN15365623,Bac_259W4,Bacteria,259W4,259,Jun,Arable,Y,N,L,S,3,7.1,739,21.4,NA,7.15,155.2,365.2
"German Kettle Holes",SRR12127972,SAMN15365656,Bac_287W4,Bacteria,287W4,287,Jun,Arable,Y,P,M,S,3,6.64,458,21.9,NA,4.46,116.8,326.8
"German Kettle Holes",SRR12128154,SAMN15365277,ARC_149W4,Archaea,149W4,149,Jun,Arable,N,Y,L,S,3,8.26,1100,18.3,25,7.51,115.9,325.9
"German Kettle Holes",SRR12128083,SAMN15365556,BAC_149W4,Bacteria,149W4,149,Jun,Arable,N,Y,L,S,3,8.26,1100,18.3,25,7.51,115.9,325.9
"German Kettle Holes",SRR12128071,SAMN15365567,BAC_1590W4,Bacteria,1590W4,1590,Jun,Forest,N,Y,L,S,3,7.29,612,15.1,30,2.28,117.2,327.2
"German Kettle Holes",SRR12128111,SAMN15365532,Bac_1189W4,Bacteria,1189W4,1189,Jun,Arable,Y,N,M,S,3,6.9,468,19.9,35,0.04,-22,188
"German Kettle Holes",SRR12128251,SAMN15365405,ARC_807W5,Archaea,807W5,807,Oct,Arable,Y,N,L,D,3,6.937,271,10.9,NA,NA,168.6,378.6
"German Kettle Holes",SRR12128241,SAMN15365414,ARC_892W5,Archaea,892W5,892,Oct,Arable,Y,N,L,D,3,7.149,389,10.5,NA,2.4,219.4,429.4
"German Kettle Holes",SRR12128233,SAMN15365422,ARC_893W4,Archaea,893W4,893,Jun,Arable,N,N,L,S,3,8.45,484,16.8,10,7.55,161.9,371.9
"German Kettle Holes",SRR12128225,SAMN15365429,ARC_907W5,Archaea,907W5,907,Oct,Grassland,N,N,S,D,3,6.442,199.5,10.1,NA,1.8,202.3,412.3
"German Kettle Holes",SRR12128206,SAMN15365446,ARC_939W4,Archaea,939W4,939,Jun,Grassland,Y,N,M,S,3,6.7,388,18.7,NA,2.48,49.7,259.7
"German Kettle Holes",SRR12128201,SAMN15365451,ARC_940W4,Archaea,940W4,940,Jun,Grassland,Y,N,M,S,3,6.957,509,16.6,NA,2.38,76.1,286.1
"German Kettle Holes",SRR12128200,SAMN15365452,ARC_940W5,Archaea,940W5,940,Oct,Grassland,Y,N,M,S,3,6.752,370,10.4,NA,NA,-79.1,130.9
"German Kettle Holes",SRR12128190,SAMN15365460,ARC_942W4,Archaea,942W4,942,Jun,Grassland,N,N,M,S,3,7.65,562,17.5,NA,3.37,45.2,255.2
"German Kettle Holes",SRR12128189,SAMN15365461,ARC_942W5,Archaea,942W5,942,Oct,Grassland,N,N,M,S,3,8.228,397,10.4,NA,NA,163.6,373.6
"German Kettle Holes",SRR12128269,SAMN15365389,Arc_606W4,Archaea,606W4,606,Jun,Arable,N,P,M,S,3,7.43,674,21.3,NA,1.01,106.9,316.9
"German Kettle Holes",SRR12128264,SAMN15365393,Arc_607W4,Archaea,607W4,607,Jun,Arable,Y,N,M,S,3,7.22,623,22.3,NA,3.05,171.5,381.5
"German Kettle Holes",SRR12128261,SAMN15365396,Arc_805W4,Archaea,805W4,805,Jun,Arable,Y,Y,L,D,3,6.6,540,18.4,NA,2.79,-38.7,171.3
"German Kettle Holes",SRR12128252,SAMN15365404,Arc_807W4,Archaea,807W4,807,Jun,Arable,Y,N,L,D,3,7.16,320,18.1,NA,4.51,138.8,348.8
"German Kettle Holes",SRR12128242,SAMN15365413,Arc_892W4,Archaea,892W4,892,Jun,Arable,Y,N,L,D,3,8.45,484,16.8,170,7.55,161.9,371.9
"German Kettle Holes",SRR12128226,SAMN15365428,Arc_907W4,Archaea,907W4,907,Jun,Grassland,N,N,S,D,3,6.89,309,21.1,NA,3.45,101.7,311.7
"German Kettle Holes",SRR12128209,SAMN15365443,Arc_911W4,Archaea,911W4,911,Jun,Grassland,N,P,L,D,3,7.43,839,19.8,NA,3.35,166.2,376.2
"German Kettle Holes",SRR12128303,SAMN15365358,ARC_275W4,Archaea,275W4,275,Jun,Arable,Y,N,L,D,3,7.91,447,21,NA,7,149.6,359.6
"German Kettle Holes",SRR12128302,SAMN15365359,ARC_275W5,Archaea,275W5,275,Oct,Arable,Y,N,L,D,3,7.882,418,11,NA,NA,153.5,363.5
"German Kettle Holes",SRR12128295,SAMN15365365,ARC_287W5,Archaea,287W5,287,Oct,Arable,Y,P,M,S,3,5.698,804,11.9,30,4.36,190.4,400.4
"German Kettle Holes",SRR12128292,SAMN15365368,ARC_28W4,Archaea,28W4,28,Jun,Arable,Y,P,M,S,3,6.19,234,17.3,NA,2,97.2,307.2
"German Kettle Holes",SRR12128278,SAMN15365381,ARC_312W5,Archaea,312W5,312,Oct,Arable,Y,N,L,S,3,9.082,252,13.2,NA,NA,115.6,325.6
"German Kettle Holes",SRR12128273,SAMN15365385,ARC_40W4,Archaea,40W4,40,Jun,Arable,N,Y,M,S,2,7.155,465,15,NA,0.9,33.2,243.2
"German Kettle Holes",SRR12128296,SAMN15365364,Arc_287W4,Archaea,287W4,287,Jun,Arable,Y,P,M,S,3,6.64,458,21.9,NA,4.46,116.8,326.8
"German Kettle Holes",SRR12128279,SAMN15365380,Arc_312W4,Archaea,312W4,312,Jun,Arable,Y,N,L,S,3,7.17,611,19.9,NA,4.32,161.9,371.9
