name,Run,BioSample,sample,LibraryName,Type,depth,pH,"Eh (mV)"
"Lake Neusiedl",SRR8266694,SAMN10498638,RN17_K1_1,RN17_K1_DNA_Bac_1c,"Sediment-Water Interface",0,7.29,-241
"Lake Neusiedl",SRR8266691,SAMN10498638,RN17_K1_1,RN17_K1_DNA_Bac_1b,"Sediment-Water Interface",0,7.29,-241
"Lake Neusiedl",SRR8266692,SAMN10498638,RN17_K1_1,RN17_K1_DNA_Bac_1a,"Sediment-Water Interface",0,7.29,-241
"Lake Neusiedl",SRR8266693,SAMN10498639,RN17_K1_2,RN17_K1_DNA_Bac_2a,Sediment,5,7.44,-226
"Lake Neusiedl",SRR8266695,SAMN10498639,RN17_K1_2,RN17_K1_DNA_Bac_2c,Sediment,5,7.44,-226
"Lake Neusiedl",SRR8266696,SAMN10498639,RN17_K1_2,RN17_K1_DNA_Bac_2b,Sediment,5,7.44,-226
"Lake Neusiedl",SRR8266697,SAMN10498640,RN17_K1_3,RN17_K1_DNA_Bac_3b,Sediment,10,7.47,-220
"Lake Neusiedl",SRR8266698,SAMN10498640,RN17_K1_3,RN17_K1_DNA_Bac_3a,Sediment,10,7.47,-220
"Lake Neusiedl",SRR8266700,SAMN10498640,RN17_K1_3,RN17_K1_DNA_Bac_3c,Sediment,10,7.47,-220
"Lake Neusiedl",SRR8266699,SAMN10498641,RN17_K1_4,RN17_K1_DNA_Bac_4a,Sediment,15,7.53,-219
"Lake Neusiedl",SRR8266711,SAMN10498641,RN17_K1_4,RN17_K1_DNA_Bac_4c,Sediment,15,7.53,-219
"Lake Neusiedl",SRR8266712,SAMN10498641,RN17_K1_4,RN17_K1_DNA_Bac_4b,Sediment,15,7.53,-219
"Lake Neusiedl",SRR8266709,SAMN10498642,RN17_K1_5,RN17_K1_DNA_Bac_5b,Sediment,20,7.58,-190
"Lake Neusiedl",SRR8266710,SAMN10498642,RN17_K1_5,RN17_K1_DNA_Bac_5a,Sediment,20,7.58,-190
"Lake Neusiedl",SRR8266716,SAMN10498642,RN17_K1_5,RN17_K1_DNA_Bac_5c,Sediment,20,7.58,-190
"Lake Neusiedl",SRR8266713,SAMN10498643,RN17_K1_6,RN17_K1_DNA_Bac_6c,Sediment,25,7.59,-112
"Lake Neusiedl",SRR8266714,SAMN10498643,RN17_K1_6,RN17_K1_DNA_Bac_6b,Sediment,25,7.59,-112
"Lake Neusiedl",SRR8266715,SAMN10498643,RN17_K1_6,RN17_K1_DNA_Bac_6a,Sediment,25,7.59,-112
"Lake Neusiedl",SRR8266703,SAMN10498644,RN17_K1_7,RN17_K1_DNA_Bac_7b,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266704,SAMN10498644,RN17_K1_7,RN17_K1_DNA_Bac_7a,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266732,SAMN10498644,RN17_K1_7,RN17_K1_DNA_Bac_7c,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266733,SAMN10498645,RN17_K1_8,RN17_K1_DNA_Bac_8a,Sediment,35,NA,NA
"Lake Neusiedl",SRR8266730,SAMN10498645,RN17_K1_8,RN17_K1_DNA_Bac_8b,Sediment,35,NA,NA
"Lake Neusiedl",SRR8266731,SAMN10498645,RN17_K1_8,RN17_K1_DNA_Bac_8c,Sediment,35,NA,NA
"Lake Neusiedl",SRR8266736,SAMN10498646,RN17_K1_F,RN17_K1_DNA_Bac_F1,Water,-20,8.65,411
"Lake Neusiedl",SRR8266737,SAMN10498646,RN17_K1_F,RN17_K1_DNA_Bac_F2,Water,-20,8.65,411
"Lake Neusiedl",SRR8266734,SAMN10498646,RN17_K1_F,RN17_K1_DNA_Bac_F3,Water,-20,8.65,411
"Lake Neusiedl",SRR8266728,SAMN10498649,RN17_K2_1,RN17_K2_DNA_Bac_1a,"Sediment-Water Interface",0,NA,NA
"Lake Neusiedl",SRR8266705,SAMN10498649,RN17_K2_1,RN17_K2_DNA_Bac_1c,"Sediment-Water Interface",0,NA,NA
"Lake Neusiedl",SRR8266706,SAMN10498649,RN17_K2_1,RN17_K2_DNA_Bac_1b,"Sediment-Water Interface",0,NA,NA
"Lake Neusiedl",SRR8266735,SAMN10498647,RN17_K2_10,RN17_K2_DNA_Bac_10a,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266738,SAMN10498647,RN17_K2_10,RN17_K2_DNA_Bac_10b,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266739,SAMN10498647,RN17_K2_10,RN17_K2_DNA_Bac_10c,Sediment,30,NA,NA
"Lake Neusiedl",SRR8266729,SAMN10498648,RN17_K2_11,RN17_K2_DNA_Bac_11c,Sediment,32.5,NA,NA
"Lake Neusiedl",SRR8266701,SAMN10498648,RN17_K2_11,RN17_K2_DNA_Bac_11b,Sediment,32.5,NA,NA
"Lake Neusiedl",SRR8266702,SAMN10498648,RN17_K2_11,RN17_K2_DNA_Bac_11a,Sediment,32.5,NA,NA
"Lake Neusiedl",SRR8266707,SAMN10498650,RN17_K2_2,RN17_K2_DNA_Bac_2b,Sediment,5,NA,NA
"Lake Neusiedl",SRR8266708,SAMN10498650,RN17_K2_2,RN17_K2_DNA_Bac_2a,Sediment,5,NA,NA
"Lake Neusiedl",SRR8266753,SAMN10498650,RN17_K2_2,RN17_K2_DNA_Bac_2c,Sediment,5,NA,NA
"Lake Neusiedl",SRR8266747,SAMN10498651,RN17_K2_3,RN17_K2_DNA_Bac_3a,Sediment,10,NA,NA
"Lake Neusiedl",SRR8266743,SAMN10498651,RN17_K2_3,RN17_K2_DNA_Bac_3b,Sediment,10,NA,NA
"Lake Neusiedl",SRR8266744,SAMN10498651,RN17_K2_3,RN17_K2_DNA_Bac_3c,Sediment,10,NA,NA
"Lake Neusiedl",SRR8266745,SAMN10498652,RN17_K2_4,RN17_K2_DNA_Bac_4a,Sediment,15,NA,NA
"Lake Neusiedl",SRR8266746,SAMN10498652,RN17_K2_4,RN17_K2_DNA_Bac_4b,Sediment,15,NA,NA
"Lake Neusiedl",SRR8266725,SAMN10498652,RN17_K2_4,RN17_K2_DNA_Bac_4c,Sediment,15,NA,NA
"Lake Neusiedl",SRR8266748,SAMN10498653,RN17_K2_5,RN17_K2_DNA_Bac_5a,Sediment,17.5,NA,NA
"Lake Neusiedl",SRR8266749,SAMN10498653,RN17_K2_5,RN17_K2_DNA_Bac_5b,Sediment,17.5,NA,NA
"Lake Neusiedl",SRR8266750,SAMN10498653,RN17_K2_5,RN17_K2_DNA_Bac_5c,Sediment,17.5,NA,NA
"Lake Neusiedl",SRR8266751,SAMN10498654,RN17_K2_6,RN17_K2_DNA_Bac_6a,Sediment,20,NA,NA
"Lake Neusiedl",SRR8266752,SAMN10498654,RN17_K2_6,RN17_K2_DNA_Bac_6b,Sediment,20,NA,NA
"Lake Neusiedl",SRR8266724,SAMN10498654,RN17_K2_6,RN17_K2_DNA_Bac_6c,Sediment,20,NA,NA
"Lake Neusiedl",SRR8266721,SAMN10498655,RN17_K2_7,RN17_K2_DNA_Bac_7c,Sediment,22.5,NA,NA
"Lake Neusiedl",SRR8266722,SAMN10498655,RN17_K2_7,RN17_K2_DNA_Bac_7b,Sediment,22.5,NA,NA
"Lake Neusiedl",SRR8266723,SAMN10498655,RN17_K2_7,RN17_K2_DNA_Bac_7a,Sediment,22.5,NA,NA
"Lake Neusiedl",SRR8266718,SAMN10498656,RN17_K2_8,RN17_K2_DNA_Bac_8c,Sediment,25,NA,NA
"Lake Neusiedl",SRR8266719,SAMN10498656,RN17_K2_8,RN17_K2_DNA_Bac_8b,Sediment,25,NA,NA
"Lake Neusiedl",SRR8266720,SAMN10498656,RN17_K2_8,RN17_K2_DNA_Bac_8a,Sediment,25,NA,NA
