Name,Run,BioSample,SampleName,ID,Type,pH,"DO (mg/L)","ORP (mV)"
Plastisphere,SRR14116259,SAMN18515897,FW10,FW10,Freshwater,7.22,8,128
Plastisphere,SRR14116285,SAMN18515893,FW6,FW6,Freshwater,7.21,7.7,111
Plastisphere,SRR14116274,SAMN18515894,FW7,FW7,Freshwater,6.99,6.4,116
Plastisphere,SRR14116263,SAMN18515895,FW8,FW8,Freshwater,7.31,7,128
Plastisphere,SRR14116260,SAMN18515896,FW9,FW9,Freshwater,7.44,6.9,129
Plastisphere,SRR14116286,SAMN18515937,MSW14,SW14,"Seawater Plastic",7.63,7.6,229
Plastisphere,SRR14116284,SAMN18515938,MSW15,SW15,"Seawater Plastic",8.04,7.1,212
Plastisphere,SRR14116283,SAMN18515939,MSW16,SW16,"Seawater Plastic",8.05,6.7,145
Plastisphere,SRR14116282,SAMN18515940,MSW17,SW17,"Seawater Plastic",8.03,6.5,155
Plastisphere,SRR14116281,SAMN18515941,MSW18,SW18,"Seawater Plastic",8.02,7.8,213
Plastisphere,SRR14116280,SAMN18515942,SW1,SW1,Seawater,8.21,9,236
Plastisphere,SRR14116270,SAMN18515951,SW10,SW10,Seawater,7.87,4.5,193
Plastisphere,SRR14116269,SAMN18515952,SW11,SW11,Seawater,7.96,6.6,202
Plastisphere,SRR14116268,SAMN18515953,SW12,SW12,Seawater,8.07,8.9,229
Plastisphere,SRR14116267,SAMN18515954,SW13,SW13,Seawater,7.46,7.5,173
Plastisphere,SRR14116266,SAMN18515955,SW14,SW14,Seawater,7.63,7.6,229
Plastisphere,SRR14116265,SAMN18515956,SW15,SW15,Seawater,8.04,7.1,212
Plastisphere,SRR14116264,SAMN18515957,SW16,SW16,Seawater,8.05,6.7,145
Plastisphere,SRR14116262,SAMN18515958,SW17,SW17,Seawater,8.03,6.5,155
Plastisphere,SRR14116261,SAMN18515959,SW18,SW18,Seawater,8.02,7.8,213
Plastisphere,SRR14116279,SAMN18515943,SW2,SW2,Seawater,7.89,5.9,118
Plastisphere,SRR14116278,SAMN18515944,SW3,SW3,Seawater,7.86,5.6,186
Plastisphere,SRR14116277,SAMN18515945,SW4,SW4,Seawater,7.93,6.1,109
Plastisphere,SRR14116276,SAMN18515946,SW5,SW5,Seawater,7.89,6.1,106
Plastisphere,SRR14116275,SAMN18515947,SW6,SW6,Seawater,7.92,6.3,110
Plastisphere,SRR14116273,SAMN18515948,SW7,SW7,Seawater,7.74,6.5,207
Plastisphere,SRR14116272,SAMN18515949,SW8,SW8,Seawater,7.72,5.7,199
Plastisphere,SRR14116271,SAMN18515950,SW9,SW9,Seawater,7.81,4.6,201
Plastisphere,SRR14116330,SAMN18515888,FW1,FW1,Freshwater,7.56,4.2,134
Plastisphere,SRR14116328,SAMN18515898,FW11,FW11,Freshwater,7.61,7.2,133
Plastisphere,SRR14116327,SAMN18515899,FW12,FW12,Freshwater,7.56,7.1,129
Plastisphere,SRR14116326,SAMN18515900,FW13,FW13,Freshwater,7.61,6,243
Plastisphere,SRR14116325,SAMN18515901,FW14,FW14,Freshwater,7.68,6.6,223
Plastisphere,SRR14116324,SAMN18515902,FW15,FW15,Freshwater,7.56,6.6,225
Plastisphere,SRR14116323,SAMN18515903,FW16,FW16,Freshwater,7.94,7.2,214
Plastisphere,SRR14116322,SAMN18515904,FW17,FW17,Freshwater,7.95,6.8,216
Plastisphere,SRR14116321,SAMN18515905,FW18,FW18,Freshwater,7.83,7,221
Plastisphere,SRR14116329,SAMN18515889,FW2,FW2,Freshwater,7.36,4.7,129
Plastisphere,SRR14116318,SAMN18515890,FW3,FW3,Freshwater,7.86,5.5,128
Plastisphere,SRR14116307,SAMN18515891,FW4,FW4,Freshwater,7.42,5.4,126
Plastisphere,SRR14116296,SAMN18515892,FW5,FW5,Freshwater,7.33,6.3,125
Plastisphere,SRR14116320,SAMN18515906,MFW1,FW1,"Freshwater Plastic",7.56,4.2,134
