Name,Run,BioSample,SampleName,LibraryName,Location,"T (°C)",pH,"Eh (mV)","O2 (mg L-1)"
"Po Plain",SRR12785273,SAMN16386284,1BS,13BS-1,BS,18,7.43,-111,5.22
"Po Plain",SRR12785266,SAMN16386275,1CR1,4CR1-1,CR1,15.3,7.61,-117,3.75
"Po Plain",SRR12785263,SAMN16386278,1CR2,7CR2-1,CR2,14.7,7.62,-94,0.44
"Po Plain",SRR12785260,SAMN16386281,1LO,10LO-1,LO,18.3,7.66,-31,6.52
"Po Plain",SRR12785277,SAMN16386272,1MN,1MN-1,MN,16.8,7.88,-140,4.05
"Po Plain",SRR12785270,SAMN16386287,1VA,16VA-1,VA,13.1,8.14,352,12.5
"Po Plain",SRR12785272,SAMN16386285,2BS,14BS-2,BS,18,7.43,-111,5.22
"Po Plain",SRR12785265,SAMN16386276,2CR1,5CR1-2,CR1,15.3,7.61,-117,3.75
"Po Plain",SRR12785262,SAMN16386279,2CR2,8CR2-2,CR2,14.7,7.62,-94,0.44
"Po Plain",SRR12785275,SAMN16386282,2LO,11LO-2,LO,18.3,7.66,-31,6.52
"Po Plain",SRR12785276,SAMN16386273,2MN,2MN-2,MN,16.8,7.88,-140,4.05
"Po Plain",SRR12785269,SAMN16386288,2VA,17VA-2,VA,13.1,8.14,352,12.5
"Po Plain",SRR12785271,SAMN16386286,3BS,15BS-3,BS,18,7.43,-111,5.22
"Po Plain",SRR12785264,SAMN16386277,3CR1,6CR1-3,CR1,15.3,7.61,-117,3.75
"Po Plain",SRR12785261,SAMN16386280,3CR2,9CR2-3,CR2,14.7,7.62,-94,0.44
"Po Plain",SRR12785274,SAMN16386283,3LO,12LO-3,LO,18.3,7.66,-31,6.52
"Po Plain",SRR12785267,SAMN16386274,3MN,3MN-3,MN,16.8,7.88,-140,4.05
"Po Plain",SRR12785268,SAMN16386289,3VA,18VA-3,VA,13.1,8.14,352,12.5
