name,Run,BioSample,SampleName,Location,pH,"TpH (°C)","Eh (mV)","O2 (μmol/L)"
"Voltri Massif",SRR13283383,SAMN17101426,VE01-02.B,Lerone,11.24,24.2,-56,NA
"Voltri Massif",SRR13283382,SAMN17101427,VE01-03.C,Lerone,11.21,27.6,-63,NA
"Voltri Massif",SRR13283381,SAMN17101428,VE02-01.B,Lerone,11.34,21,-36,NA
"Voltri Massif",SRR13283380,SAMN17101429,VE02-02.B,Lerone,10.98,27.4,131,NA
"Voltri Massif",SRR13283379,SAMN17101430,V04-01-BR1-1,Branega,11.54,20.8,180,NA
"Voltri Massif",SRR13283378,SAMN17101431,V04-02-BR1-2a,Branega,11.3,26.4,204,NA
"Voltri Massif",SRR13283377,SAMN17101432,V04-03-BR1-3,Branega,11.23,27.6,236,220
"Voltri Massif",SRR13283384,SAMN17101425,Reference,"Branega Creek Water",8.45,23,374,276
