name,Run,BioSample,SampleName,Domain,Code,Treatment,pH,"Eh (mV)"
"Pentachlorophenol Polluted Soil",SRR6425932,SAMN08241494,b01,Bacteria,CK,None,7.47,-124
"Pentachlorophenol Polluted Soil",SRR6425933,SAMN08241495,b02,Bacteria,CK,None,7.47,-124
"Pentachlorophenol Polluted Soil",SRR6425940,SAMN08241496,b03,Bacteria,CK,None,7.47,-124
"Pentachlorophenol Polluted Soil",SRR6425938,SAMN08241488,b0A1,Bacteria,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6425939,SAMN08241489,b0A2,Bacteria,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6425936,SAMN08241490,b0A3,Bacteria,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6425937,SAMN08241491,b0AM1,Bacteria,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6425934,SAMN08241492,b0AM2,Bacteria,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6425935,SAMN08241493,b0AM3,Bacteria,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6425941,SAMN08241497,b0M1,Bacteria,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6425948,SAMN08241498,b0M2,Bacteria,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6425949,SAMN08241499,b0M3,Bacteria,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6425946,SAMN08241500,b11,Bacteria,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6425947,SAMN08241501,b12,Bacteria,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6425944,SAMN08241502,b13,Bacteria,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6425945,SAMN08241503,b1M1,Bacteria,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6425942,SAMN08241504,b1M2,Bacteria,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6425943,SAMN08241505,b1M3,Bacteria,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6429122,SAMN08272390,A1,Archaea,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6429123,SAMN08272391,A2,Archaea,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6429120,SAMN08272392,A3,Archaea,A,AQDS,7.83,-288
"Pentachlorophenol Polluted Soil",SRR6429121,SAMN08272393,AM1,Archaea,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6429118,SAMN08272394,AM2,Archaea,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6429119,SAMN08272395,AM3,Archaea,MA,AQDS,8.01,-350
"Pentachlorophenol Polluted Soil",SRR6429128,SAMN08272402,B1,Archaea,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6429129,SAMN08272403,B2,Archaea,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6429126,SAMN08272404,B3,Archaea,B,Biochar,7.59,-174
"Pentachlorophenol Polluted Soil",SRR6429127,SAMN08272405,BM1,Archaea,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6429124,SAMN08272406,BM2,Archaea,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6429125,SAMN08272407,BM3,Archaea,MB,Biochar,7.88,-132
"Pentachlorophenol Polluted Soil",SRR6429115,SAMN08272399,M1,Archaea,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6429130,SAMN08272400,M2,Archaea,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6429131,SAMN08272401,M3,Archaea,MCK,None,8,-186
"Pentachlorophenol Polluted Soil",SRR6429116,SAMN08272396,ck1,Archaea,CK,None,7.47,-124
"Pentachlorophenol Polluted Soil",SRR6429117,SAMN08272397,ck2,Archaea,CK,None,7.47,-124
"Pentachlorophenol Polluted Soil",SRR6429114,SAMN08272398,ck3,Archaea,CK,None,7.47,-124
