name,Run,LibraryName,BioSample,SampleName,"elevation (m)","T (°C)",pH,"ORP (mV)","DO (mg/L)",Elevation
"Siguniang Mountain",SRR1542629,MJK1_6_LF31-36,SAMN02927990,MJK_LF31-36,525,25.7,9.18,388,15.6,"< 1000 m"
"Siguniang Mountain",SRR1542638,BGY1_6_LF43-48,SAMN02927992,BGY_LF43-48,530,27.2,8.78,373,14.4,"< 1000 m"
"Siguniang Mountain",SRR1519330,LC1_LF1,SAMN02925402,LC1_LF1-6,1803,12.3,7.24,569,7.2,"1000 - 4000 m"
"Siguniang Mountain",SRR1542599,WXH1-6_LF7-12,SAMN02927987,WXH_LF13-18,2153,17.7,8.62,541,8.2,"1000 - 4000 m"
"Siguniang Mountain",SRR1521969,WXH,SAMN02927987,WXH_LF13-18,2153,17.7,8.62,541,8.2,"1000 - 4000 m"
"Siguniang Mountain",SRR1533122,MCH1-6_LF7-12,SAMN02927986,MCH_LF7-12,3011,8.4,8.58,584,7.9,"1000 - 4000 m"
"Siguniang Mountain",SRR1542646,DHZ1_6_LF49-54,SAMN02927993,DHZ_LF49-54,3812,6.3,8.56,557,8.1,"1000 - 4000 m"
"Siguniang Mountain",SRR1542606,XNH1_6_LF19-24,SAMN02927988,XNH_LF19-24,4282,6.7,7.91,571,6.5,"> 4000 m"
"Siguniang Mountain",SRR1542649,BJH1_6_LF55-60,SAMN02927994,BJH_LF55-60,4490,5.8,8.93,555,7.1,"> 4000 m"
"Siguniang Mountain",SRR1542628,HHZ1-6_LF25-30,SAMN02927989,HHZ_LF25-30,4608,3.6,8.12,603,6.7,"> 4000 m"
"Siguniang Mountain",SRR1542634,BHZ1_6_LF37-42,SAMN02927991,BHZ_LF37-42,4652,1.8,8.03,610,7,"> 4000 m"
