Name,Run,BioSample,"Sample ID","Aquifer name",Region,"Oxygenation regime","Land cover","DO (mg/L)",pH,"T (°C)","ORP (mV)","Conductivity (µScm-1)"
"New Zealand Aquifers",SRR14366814,SAMN18882766,Auc03,Waitemata,Auckland,Anoxic,Urban,-0.06,8.09,17.245,-196.7,344
"New Zealand Aquifers",SRR14366803,SAMN18882767,Can01,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,1.73,7.57,12.8,-65.8,429.6
"New Zealand Aquifers",SRR14366792,SAMN18882768,Can02,"Rangitata-Levels plains",Canterbury,Oxic,Agriculture,7.35,6,13.2,224.9,123.1
"New Zealand Aquifers",SRR14366781,SAMN18882769,Can03,"Rangitata-Levels plains",Canterbury,Oxic,Urban,8.08,6.17,13.4,203.3,143.4
"New Zealand Aquifers",SRR14366770,SAMN18882770,Can04,"Fairlie Basin",Canterbury,Oxic,Urban,6.77,5.81,12.5,154,134.6
"New Zealand Aquifers",SRR14366759,SAMN18882771,Can05,"Rangitata-Levels plains",Canterbury,Oxic,Urban,7.54,5.83,12.1,223.4,135
"New Zealand Aquifers",SRR14366748,SAMN18882772,Can06,"Central plains",Canterbury,Oxic,Agriculture,5.21,6.77,12.3,177,163
"New Zealand Aquifers",SRR14366737,SAMN18882773,Can07,"Central plains",Canterbury,Oxic,Agriculture,10.01,7.27,12,173,216.8
"New Zealand Aquifers",SRR14366824,SAMN18882775,Can09,"Rangitata-Levels plains",Canterbury,Oxic,Agriculture,7.39,6.02,12.9,229,196.8
"New Zealand Aquifers",SRR14366822,SAMN18882776,Can10,"Rangitata-Levels plains",Canterbury,Oxic,Agriculture,5.1,5.89,13.3,202.4,280.5
"New Zealand Aquifers",SRR14366821,SAMN18882777,Can11,"Fairlie Basin",Canterbury,Oxic,Urban,8.22,5.46,12.9,212.8,146.3
"New Zealand Aquifers",SRR14366820,SAMN18882778,Can12,"Rangitata-Levels plains",Canterbury,Oxic,Agriculture,9.3,6.05,13.2,212,197.5
"New Zealand Aquifers",SRR14366819,SAMN18882779,Can13,"Rakaia-Ashburton plains",Canterbury,Oxic,Urban,5.11,6.37,12.4,193.6,237.9
"New Zealand Aquifers",SRR14366818,SAMN18882780,Can14,"Central plains",Canterbury,Oxic,Agriculture,9.26,6.31,13.4,194.6,287.4
"New Zealand Aquifers",SRR14366817,SAMN18882781,Can15,"Rakaia-Ashburton plains",Canterbury,Oxic,Urban,8.08,5.98,12.4,195.4,241.1
"New Zealand Aquifers",SRR14366816,SAMN18882782,Can16,"Fairlie Basin",Canterbury,Oxic,Agriculture,6.6,5.87,11.9,219.7,233.3
"New Zealand Aquifers",SRR14366815,SAMN18882783,Can17,"Central plains",Canterbury,Oxic,Agriculture,10.61,7.01,12.2,176.4,351.6
"New Zealand Aquifers",SRR14366813,SAMN18882784,Can18,"Rakaia-Ashburton plains",Canterbury,Oxic,Agriculture,8.47,6.94,12.5,162.5,568
