Name,Run,BioSample,sample,Type,"T (°C)","DO (mg/L)",pH,"ORP (mV)"
"Honghu Lake",SRR4995753,SAMN05990286,L10S,Sediment,25,NA,7.21,-225
"Honghu Lake",SRR4995754,SAMN05990274,L10W,Water,13.52,4.83,8.69,35.6
"Honghu Lake",SRR4995622,SAMN05990279,L1S,Sediment,25,NA,7.03,-383
"Honghu Lake",SRR4995620,SAMN05990265,L1W,Water,13.67,4.77,8.78,41.65
"Honghu Lake",SRR4995740,SAMN05990280,L2S,Sediment,25,NA,7.44,-370
"Honghu Lake",SRR4995739,SAMN05990266,L2W,Water,13.09,11.21,9.13,28.71
"Honghu Lake",SRR4995741,SAMN05990281,L3S,Sediment,25,NA,6.9,-230
"Honghu Lake",SRR4995742,SAMN05990267,L3W,Water,13.03,12.82,9.46,21.28
"Honghu Lake",SRR4995743,SAMN05990268,L4W,Water,12.73,12.98,9.55,10.75
"Honghu Lake",SRR4995744,SAMN05990282,L5S,Sediment,25,NA,7.05,-324
"Honghu Lake",SRR4995745,SAMN05990269,L5W,Water,13.43,13.05,9.5,-2.84
"Honghu Lake",SRR4995746,SAMN05990283,L6S,Sediment,25,NA,6.41,-180
"Honghu Lake",SRR4995747,SAMN05990270,L6W,Water,13.04,11.1,9.55,11.49
"Honghu Lake",SRR4995748,SAMN05990271,L7W,Water,13.45,12.18,9.43,2.95
"Honghu Lake",SRR4995749,SAMN05990284,L8S,Sediment,25,NA,7.51,-360
"Honghu Lake",SRR4995750,SAMN05990272,L8W,Water,13.44,11.75,9.3,4.25
"Honghu Lake",SRR4995751,SAMN05990285,L9S,Sediment,25,NA,7.45,-327
"Honghu Lake",SRR4995752,SAMN05990273,L9W,Water,13.84,12.1,9.31,4.43
"Honghu Lake",SRR4995755,SAMN05990287,P1S,Sediment,25,NA,7.66,-210
"Honghu Lake",SRR4995756,SAMN05990288,P2S,Sediment,25,NA,7.43,-193
"Honghu Lake",SRR4995757,SAMN05990275,P2W,Water,12.35,8.64,8.95,37.22
"Honghu Lake",SRR4995758,SAMN05990289,P3S,Sediment,25,NA,7.23,-150
"Honghu Lake",SRR4995759,SAMN05990290,P4S,Sediment,25,NA,7.26,-140
"Honghu Lake",SRR4995760,SAMN05990276,P4W,Water,13.36,11.48,9.04,26.03
"Honghu Lake",SRR4995761,SAMN05990291,R1S,Sediment,25,NA,7.1,-362
"Honghu Lake",SRR4995762,SAMN05990292,R2S,Sediment,25,NA,7.21,-250
"Honghu Lake",SRR4995855,SAMN05990277,R3W,Water,13.71,5.64,8.78,38.5
"Honghu Lake",SRR4995856,SAMN05990278,R4W,Water,13.46,1.73,8.86,35.08
