Name,Run,BioSample,SampleName,Location,Depth,"O2 (mg/L)",pH,"T (°C)",redox
"Lake Medard, Czechia",ERR6752232,SAMEA9957618,LakeMedard47(Centre),Center,47,8,8.1,4,85.9
"Lake Medard, Czechia",ERR6752233,SAMEA9957619,LakeMedard48(Centre),Center,48,8,8.1,4,88.4
"Lake Medard, Czechia",ERR6752234,SAMEA9957623,LakeMedard48.5(Centre),Center,48.5,3.7,7.8,5,-36.4
"Lake Medard, Czechia",ERR6752235,SAMEA9957625,LakeMedard48.5_a(Centre),Center,48.5,3.7,7.8,5,-36.4
"Lake Medard, Czechia",ERR6752236,SAMEA9957620,LakeMedard49(Centre),Center,49,0.9,7.8,5,-145.1
"Lake Medard, Czechia",ERR6752237,SAMEA9957626,LakeMedard49a(Centre),Center,49,0.9,7.8,5,-145.1
"Lake Medard, Czechia",ERR6752238,SAMEA9957621,LakeMedard50(Centre),Center,50,0.1,7.7,5,-159.9
"Lake Medard, Czechia",ERR6752239,SAMEA9957627,LakeMedard50a(Centre),Center,50,0.1,7.7,5,-159.9
"Lake Medard, Czechia",ERR6752240,SAMEA9957622,LakeMedard52(Centre),Center,52,0.07,7.7,7,-185.3
"Lake Medard, Czechia",ERR6752241,SAMEA9957628,LakeMedard52a(Centre),Center,52,0.07,7.7,7,-185.3
"Lake Medard, Czechia",ERR6752242,SAMEA9957624,LakeMedard54(Centre),Center,54,0.06,7.7,9,-204.6
"Lake Medard, Czechia",ERR6752243,SAMEA9957629,LakeMedard54a(Centre),Center,54,0.06,7.7,9,-204.6
"Lake Medard, Czechia",ERR6752229,SAMEA9957615,"LakeMedard42 (W)",West,42,NA,6.88,4.26,260.8
"Lake Medard, Czechia",ERR6752230,SAMEA9957616,LakeMedard44(W),West,44,NA,6.75,6.94,-58.2
"Lake Medard, Czechia",ERR6752231,SAMEA9957617,LakeMedard46(W),West,46,NA,6.83,8.22,-113.7
