Name,Run,BioSample,SampleName,Season,Site,"T (°C)",pH,"Cond (us/cm)","ORP (mV)","DO (mg/L)"
"Bahe River",SRR10417855,SAMN13242229,Summer_IAL_T1,Summer,IAL,33.4,8.46,149.17,68.1,7.87
"Bahe River",SRR10417851,SAMN13242232,Summer_IAM_T1,Summer,IAM,32.87,8.42,148.57,75.5,7.83
"Bahe River",SRR10417848,SAMN13242235,Summer_IAR_T1,Summer,IAR,32.8,8.33,149.2,71.27,7.21
"Bahe River",SRR10417835,SAMN13242247,Summer_SO_T1,Summer,SO,27.9,6.74,474,-91.03,6.15
"Bahe River",SRR10417845,SAMN13242238,Summer_DRL_T1,Summer,DRL,31.6,7.44,165.3,75.67,5.57
"Bahe River",SRR10417842,SAMN13242241,Summer_DRM_T1,Summer,DRM,31.53,7.71,160.13,89.4,5.74
"Bahe River",SRR10417838,SAMN13242244,Summer_DRR_T1,Summer,DRR,31.33,7.5,126.07,83.8,5.4
"Bahe River",SRR10417832,SAMN13242250,Autumn_URL_T1,Autumn,URL,20,7.67,113.17,95.2,8.52
"Bahe River",SRR10417828,SAMN13242253,Autumn_URM_T1,Autumn,URM,19.93,7.6,115.43,87.1,8.54
"Bahe River",SRR10417825,SAMN13242256,Autumn_URR_T1,Autumn,URR,19.77,7.61,119.5,91.43,8.33
"Bahe River",SRR10417822,SAMN13242259,Autumn_RAL_T1,Autumn,RAL,19.53,7.5,141.87,15.7,8.03
"Bahe River",SRR10417818,SAMN13242262,Autumn_RAM_T1,Autumn,RAM,19.8,7.32,137.17,103.57,6.45
"Bahe River",SRR10417815,SAMN13242265,Autumn_RAR_T1,Autumn,RAR,19.8,7.28,133.73,136.6,7.71
"Bahe River",SRR10417812,SAMN13242268,Autumn_IAL_T1,Autumn,IAL,21.57,8.51,155.63,65.87,8.84
"Bahe River",SRR10417809,SAMN13242271,Autumn_IAM_T1,Autumn,IAM,21.9,8.68,156.47,49,10.2
"Bahe River",SRR10417959,SAMN13242274,Autumn_IAR_T1,Autumn,IAR,21.73,8.73,158.53,67.03,11.31
"Bahe River",SRR10417946,SAMN13242286,Autumn_SO_T1,Autumn,SO,21.97,7.48,612.67,-65.07,5.7
"Bahe River",SRR10417956,SAMN13242277,Autumn_DRL_T1,Autumn,DRL,20.4,7.56,212.63,91.43,7.02
