name,Run,BioSample,sample,depth,Month,"O2 (mg L-1)","ORP (mV)","T (°C)",pH
NA,,,,0.1,Apr,7.85,117.4,15.9,8.38
"Ursu Lake, Romania",SRR5861454,SAMN07409439,APR0-5,0.5,Apr,6,112.4,23.91,8.39
"Ursu Lake, Romania",SRR5861455,SAMN07409440,APR1,1,Apr,10.86,101.1,28.23,8.72
"Ursu Lake, Romania",SRR5861457,SAMN07409442,APR2,2,Apr,6.51,102.3,27.35,8.52
"Ursu Lake, Romania",SRR5861456,SAMN07409441,APR2-5,2.5,Apr,5.65,113.3,28.13,8.04
"Ursu Lake, Romania",SRR5861459,SAMN07409444,APR3,3,Apr,18.71,122.1,29.18,7.91
"Ursu Lake, Romania",SRR5861458,SAMN07409443,APR3-5,3.5,Apr,0.26,-261.8,29.3,6.5
"Ursu Lake, Romania",SRR5861460,SAMN07409445,APR4,4,Apr,0.31,-293,25.06,6.4
"Ursu Lake, Romania",SRR5861461,SAMN07409446,APR5,5,Apr,0.24,-317.6,24.83,6.38
"Ursu Lake, Romania",SRR5861452,SAMN07409447,APR9,9,Apr,0.3,-333.4,22.79,6.31
NA,,,,11,Apr,0.3,-335.7,22.24,6.28
NA,,,,0.1,Feb,16.72,187.6,7.66,8.72
"Ursu Lake, Romania",SRR5861453,SAMN07409448,FEB0-5,0.5,Feb,23.05,79.6,17.7,9.07
"Ursu Lake, Romania",SRR5861432,SAMN07409449,FEB1,1,Feb,23.01,96.9,18.62,8.87
"Ursu Lake, Romania",SRR5861434,SAMN07409451,FEB2,2,Feb,7.84,127,19.29,8.3
"Ursu Lake, Romania",SRR5861433,SAMN07409450,FEB2-5,2.5,Feb,3.26,139.7,20.54,7.83
"Ursu Lake, Romania",SRR5861428,SAMN07409453,FEB3,3,Feb,1.28,165.8,22.53,6.91
"Ursu Lake, Romania",SRR5861435,SAMN07409452,FEB3-5,3.5,Feb,0.02,-272.8,24.01,6.04
"Ursu Lake, Romania",SRR5861429,SAMN07409454,FEB4,4,Feb,0.02,-309.2,24.83,5.92
"Ursu Lake, Romania",SRR5861430,SAMN07409455,FEB5,5,Feb,0.05,-332.6,25.48,5.9
"Ursu Lake, Romania",SRR5861431,SAMN07409456,FEB9,9,Feb,0.1,-344.2,22.9,5.89
NA,,,,11,Feb,0.1,-346.2,22.02,5.86
NA,,,,0.1,Jul,7.44,144.8,28.73,8.49
"Ursu Lake, Romania",SRR5861426,SAMN07409457,JUL0-5,0.5,Jul,6.81,139.9,29.12,8.49
"Ursu Lake, Romania",SRR5861427,SAMN07409458,JUL1,1,Jul,6.65,138.6,28.94,8.49
"Ursu Lake, Romania",SRR5861442,SAMN07409460,JUL2,2,Jul,6.57,137.1,31.42,8.38
"Ursu Lake, Romania",SRR5861443,SAMN07409459,JUL2-5,2.5,Jul,3.89,122.3,37.48,7.82
"Ursu Lake, Romania",SRR5861444,SAMN07409462,JUL3,3,Jul,0.15,-338.1,40.23,6.79
"Ursu Lake, Romania",SRR5861445,SAMN07409461,JUL3-5,3.5,Jul,0.08,-381.2,36.71,6.39
"Ursu Lake, Romania",SRR5861447,SAMN07409463,JUL4,4,Jul,0.09,-390,31.77,6.34
"Ursu Lake, Romania",SRR5861446,SAMN07409464,JUL5,5,Jul,0.09,-392.6,26.13,6.36
"Ursu Lake, Romania",SRR5861449,SAMN07409465,JUL9,9,Jul,0.09,-394.3,22.91,6.33
NA,,,,11,Jul,0.08,-399.6,22.23,6.25
NA,,,,0.1,Nov,9.19,181,14.18,7.66
"Ursu Lake, Romania",SRR5861448,SAMN07409466,NOV0-5,0.5,Nov,5.63,159.4,20.97,8.23
"Ursu Lake, Romania",SRR5861440,SAMN07409467,NOV1,1,Nov,4.46,141.4,23.67,8.4
"Ursu Lake, Romania",SRR5861436,SAMN07409469,NOV2,2,Nov,1,132.6,25.09,8.25
"Ursu Lake, Romania",SRR5861439,SAMN07409468,NOV2-5,2.5,Nov,0.75,131.4,25.26,8.2
"Ursu Lake, Romania",SRR5861437,SAMN07409471,NOV3,3,Nov,0.5,132.5,26.16,8.08
"Ursu Lake, Romania",SRR5861441,SAMN07409470,NOV3-5,3.5,Nov,0.23,-311.6,27.24,6.18
"Ursu Lake, Romania",SRR5861438,SAMN07409472,NOV4,4,Nov,0.07,-334,26.92,6.12
"Ursu Lake, Romania",SRR5861450,SAMN07409473,NOV5,5,Nov,0.06,-353.8,25.96,6.1
"Ursu Lake, Romania",SRR5861451,SAMN07409474,NOV9,9,Nov,0.1,-359.4,23.05,6.07
NA,,,,11,Nov,0.08,-358.1,22.06,6.03
