name,Run,BioSample,SampleID,Aquifer,Filter,Date,"ORP (mV)",pH,"Specific Conductivity","Temp (° C)","Arsenic (ug/L)"
"Ohio Aquifers",4L11,NA,"Licking 0.1 4/15/15",Licking,0.1,2015-04-15,-89,7.36,798,11.5,6.1
"Ohio Aquifers",PL11,NA,"Licking 0.1 7/2016",Licking,0.1,2016-07-19,-88,7.32,796,12,6
"Ohio Aquifers",3812,NA,"Licking-PW 0.1",Licking-PW,0.1,NA,NA,NA,NA,NA,NA
"Ohio Aquifers",4A12,NA,"Athens 0.1 4/15/15",Athens,0.1,2015-04-15,-171,7.53,1688,14.1,3.3
"Ohio Aquifers",A102,NA,"Athens 0.1 1/19/15",Athens,0.1,2015-01-21,-155,7.35,1404,13.7,3
"Ohio Aquifers",XA02,NA,"Greene 0.1 7/8/14",Greene,0.1,2014-07-08,14,7.27,646,12.3,0
"Ohio Aquifers",4G11,NA,"Greene 0.1 4/15/15",Greene,0.1,2015-04-15,16,7.25,648,11.8,0
"Ohio Aquifers",3822,NA,"Licking-PW 0.2",Licking-PW,0.2,NA,NA,NA,NA,NA,NA
"Ohio Aquifers",G102,NA,"Greene 0.1 1/19/15",Greene,0.1,2015-01-21,61,7.1,657,11.2,0
"Ohio Aquifers",G101,NA,"Greene 0.1 1/19/15",Greene,0.1,2015-01-21,61,7.1,657,11.2,0
"Ohio Aquifers",3821,NA,"Licking-PW 0.2",Licking-PW,0.2,NA,NA,NA,NA,NA,NA
"Ohio Aquifers",HL12,NA,"Licking 0.1 2/2016",Licking,0.1,2016-02-02,-74,7.42,810,11.3,6.4
"Ohio Aquifers",TG12,NA,"Greene 0.1 4/2016",Greene,0.1,2016-04-13,23,NA,663,11.7,0
"Ohio Aquifers",XA12,NA,"Athens 0.1 10/27/15",Athens,0.1,2015-10-27,-172,7.49,1450,14.2,2.8
"Ohio Aquifers",XB04,NA,"Athens 0.1 7/8/14",Athens,0.1,2014-07-08,-181,7.54,1290,14.4,2.4
"Ohio Aquifers",L101,NA,"Licking 0.1 1/19/15",Licking,0.1,2015-01-21,-94,7.36,787,11,5.8
"Ohio Aquifers",XA06,NA,"Licking 0.1 7/8/14",Licking,0.1,2014-07-08,-109,7.38,771,12,5.7
"Ohio Aquifers",TL11,NA,"Licking 0.1 4/2016",Licking,0.1,2016-04-13,-66,NA,794,11.5,6.3
"Ohio Aquifers",XA05,NA,"Licking 0.2 7/8/14",Licking,0.2,2014-07-08,-109,7.38,771,12,5.7
"Ohio Aquifers",4L22,NA,"Licking 0.2 4/15/15",Licking,0.2,2015-04-15,-89,7.36,798,11.5,6.1
"Ohio Aquifers",XB03,NA,"Athens 0.2 7/8/14",Athens,0.2,2014-07-08,-181,7.54,1290,14.4,2.4
"Ohio Aquifers",7A12,NA,"Athens 0.1 7/22/15",Athens,0.1,2015-07-22,-180,7.47,1434,15.4,3.1
"Ohio Aquifers",L102,NA,"Licking 0.1 1/19/15",Licking,0.1,2015-01-21,-94,7.36,787,11,5.8
"Ohio Aquifers",A101,NA,"Athens 0.1 1/19/15",Athens,0.1,2015-01-21,-155,7.35,1404,13.7,3
"Ohio Aquifers",TA11,NA,"Athens 0.1 4/2016",Athens,0.1,2016-04-13,-164,NA,1322,13.9,3
"Ohio Aquifers",7A11,NA,"Athens 0.1 7/22/15",Athens,0.1,2015-07-22,-180,7.47,1434,15.4,3.1
"Ohio Aquifers",XA04,NA,"Athens 0.1 7/8/14",Athens,0.1,2014-07-08,-181,7.54,1290,14.4,2.4
"Ohio Aquifers",7L12,NA,"Licking 0.1 7/22/15",Licking,0.1,2015-07-22,-108,7.31,808,12.3,5.9
