Name,Run,BioSample,Sample,Latitude,Longitude,"T (°C)",pH,"Eh (mV)","O2 (mg/L)",Port,Region
"Port Microbes",SRR9053148,SAMN11641770,SEA12,47.597775,-122.385811,13.22,7.85,74,7.78,Seattle,"West Coast U.S."
"Port Microbes",SRR9053151,SAMN11641771,SEA12post,47.597775,-122.385811,13.22,7.85,74,7.78,Seattle,"West Coast U.S."
"Port Microbes",SRR9053262,SAMN11641773,SEA13post,47.612591,-122.384262,13.39,7.86,73.7,7.9,Seattle,"West Coast U.S."
"Port Microbes",SRR9049879,SAMN11635889,SING1,1.260424,103.803703,29.33,6.3,77.4,5.82,Singapore,Asia
"Port Microbes",SRR9049880,SAMN11635890,SING10,1.209931,103.857292,29.28,7.81,21.7,5.69,Singapore,Asia
"Port Microbes",SRR9049881,SAMN11635891,SING10post,1.209931,103.857292,29.28,7.81,21.7,5.69,Singapore,Asia
"Port Microbes",SRR9049873,SAMN11635893,SING12,1.209097,103.829437,29.33,7.89,22.5,5.72,Singapore,Asia
"Port Microbes",SRR9049874,SAMN11635894,SING12post,1.209097,103.829437,29.33,7.89,22.5,5.72,Singapore,Asia
"Port Microbes",SRR9050242,SAMN11635896,SING13post,1.22094,103.817543,30.06,7.89,17.4,7,Singapore,Asia
"Port Microbes",SRR9053388,SAMN11641825,BALT1,39.124435,-76.27636,24.67,7.25,68.8,7.84,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053387,SAMN11641826,BALT10,39.228081,-76.539024,25.5,8.52,95,9.07,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053386,SAMN11641827,BALT10post,39.228081,-76.539024,25.5,8.52,95,9.07,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053385,SAMN11641828,BALT11,39.233925,-76.536453,25.56,8.57,95.8,9.14,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053392,SAMN11641829,BALT11post,39.233925,-76.536453,25.56,8.57,95.8,9.14,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053390,SAMN11641831,BALT12post,39.242607,-76.543556,25.72,8.61,94.7,9.47,Baltimore,"East Coast U.S."
"Port Microbes",SRR9053218,SAMN11641886,CHA10,32.829613,-79.931465,26.5,7.6,68.9,5.65,Charleston,"East Coast U.S."
"Port Microbes",SRR9053223,SAMN11641891,CHA12post,32.815758,-79.917404,26.39,7.53,69.7,5.59,Charleston,"East Coast U.S."
"Port Microbes",SRR9053224,SAMN11641892,CHA13,32.821873,-79.904404,26.33,7.65,72.8,5.64,Charleston,"East Coast U.S."
"Port Microbes",SRR9053065,SAMN11641895,CHA14post,32.832432,-79.896683,26.39,7.68,73.8,5.55,Charleston,"East Coast U.S."
"Port Microbes",SRR9053067,SAMN11641897,CHA15post,32.839684,-79.896294,26.44,7.69,75.6,5.6,Charleston,"East Coast U.S."
"Port Microbes",SRR9053066,SAMN11641898,CHA16,32.857979,-79.897705,26.44,7.72,90.5,5.65,Charleston,"East Coast U.S."
"Port Microbes",SRR9053460,SAMN11641949,DS1FALLzymo1,46.786251,-92.068367,9.67,7.69,262.1,11.1,Duluth,"Great Lakes"
"Port Microbes",SRR9053500,SAMN11641953,DS1FALLzymo13,46.712471,-92.037964,9.67,8.52,156,10.34,Duluth,"Great Lakes"
"Port Microbes",SRR9053499,SAMN11641954,DS1FALLzymo14,46.702477,-92.020798,9.72,7.85,212.8,10.31,Duluth,"Great Lakes"
"Port Microbes",SRR9050056,SAMN11635954,EUM1,43.405857,5.05193,15.06,7.96,97.5,9.06,Martigues,Europe
"Port Microbes",SRR9050272,SAMN11635955,EUM10,43.394081,4.974237,15.17,8.02,185.1,8.44,Martigues,Europe
"Port Microbes",SRR9050273,SAMN11635956,EUM10post,43.394081,4.974237,15.17,8.02,185.1,8.44,Martigues,Europe
"Port Microbes",SRR9050270,SAMN11635957,EUM11,43.394112,4.965407,15.72,8.01,166.1,8.74,Martigues,Europe
"Port Microbes",SRR9050271,SAMN11635958,EUM11post,43.394112,4.965407,15.72,8.01,166.1,8.74,Martigues,Europe
"Port Microbes",SRR9050277,SAMN11635960,EUM12post,43.393963,4.955158,15.56,8.03,151.2,8.99,Martigues,Europe
"Port Microbes",SRR9049922,SAMN11636016,EUV1,45.45613313,12.23503085,16.61,7.77,156.3,7.86,Venice,Europe
"Port Microbes",SRR9049923,SAMN11636017,EUV10,45.430134,12.311602,17,8.2,100.1,7.41,Venice,Europe
"Port Microbes",SRR9049924,SAMN11636018,EUV10post,45.430134,12.311602,17,8.2,100.1,7.41,Venice,Europe
"Port Microbes",SRR9049917,SAMN11636019,EUV11,45.436512,12.304082,17.22,8.19,94,7.07,Venice,Europe
"Port Microbes",SRR9049918,SAMN11636020,EUV11post,45.436512,12.304082,17.22,8.19,94,7.07,Venice,Europe
"Port Microbes",SRR9049920,SAMN11636022,EUV13post,45.436512,12.304082,17.22,8.19,94,7.07,Venice,Europe
"Port Microbes",SRR9053730,SAMN11641983,GAL1,29.336462,-94.727753,26.89,7.4,214.3,7.52,Galveston,"East Coast U.S."
"Port Microbes",SRR9053289,SAMN11641985,GAL10post,29.371645,-94.808739,27.17,8.24,140.6,7.51,Galveston,"East Coast U.S."
"Port Microbes",SRR9053113,SAMN11641986,GAL11,29.411531,-94.827751,27.44,8.24,120.3,7.41,Galveston,"East Coast U.S."
"Port Microbes",SRR9053463,SAMN11641988,GAL12,29.451868,-94.847878,27.44,8.28,129.5,7.39,Galveston,"East Coast U.S."
"Port Microbes",SRR9053402,SAMN11641989,GAL12post,29.451868,-94.847878,27.44,8.28,129.5,7.39,Galveston,"East Coast U.S."
"Port Microbes",SRR9053404,SAMN11641991,GAL13post,29.486792,-94.870659,27.39,8.26,124.4,7.37,Galveston,"East Coast U.S."
"Port Microbes",SRR9053343,SAMN11642039,GBFALLzymo1,44.450191,-88.067932,18.33,8.15,160.5,9.78,"Green Bay","Great Lakes"
"Port Microbes",SRR9053342,SAMN11642040,GBFALLzymo10,44.501266,-88.023186,20.06,8.18,198.6,9.67,"Green Bay","Great Lakes"
"Port Microbes",SRR9053345,SAMN11642041,GBFALLzymo11,44.507313,-88.021873,20.06,8.16,133.7,9.83,"Green Bay","Great Lakes"
"Port Microbes",SRR9053331,SAMN11642113,NY1,40.551949,-73.986977,18.33,7.2,110.7,7,"New York","East Coast U.S."
"Port Microbes",SRR9053655,SAMN11642115,NY10post,40.649452,-74.090034,20.06,7.79,137.8,6.19,"New York","East Coast U.S."
"Port Microbes",SRR9053654,SAMN11642116,NY11,40.646053,-74.111938,20.06,7.78,140,6.28,"New York","East Coast U.S."
"Port Microbes",SRR9053656,SAMN11642118,NY12,40.643208,-74.137306,20.72,7.76,140.3,6.16,"New York","East Coast U.S."
"Port Microbes",SRR9053659,SAMN11642119,NY12post,40.643208,-74.137306,20.72,7.76,140.3,6.16,"New York","East Coast U.S."
"Port Microbes",SRR9053661,SAMN11642121,NY13post,40.644482,-74.153313,20.78,7.76,143.5,6.23,"New York","East Coast U.S."
"Port Microbes",SRR9050003,SAMN11636073,EUN10,40.803192,14.314319,18.94,8.13,64,8.46,Naples,Europe
"Port Microbes",SRR9050004,SAMN11636074,EUN10post,40.803192,14.314319,18.94,8.13,64,8.46,Naples,Europe
"Port Microbes",SRR9049905,SAMN11636076,EUN11post,40.806545,14.289018,18.83,8.14,61.5,8.46,Naples,Europe
"Port Microbes",SRR9049908,SAMN11636077,EUN12,40.809647,14.265303,18.67,8.14,63.7,8.42,Naples,Europe
"Port Microbes",SRR9049907,SAMN11636078,EUN12post,40.809647,14.265303,18.67,8.14,63.7,8.42,Naples,Europe
"Port Microbes",SRR9049902,SAMN11636079,EUN13,40.812302,14.242334,18.56,8.14,60.6,8.39,Naples,Europe
"Port Microbes",SRR9049813,SAMN11636130,EUR1,51.903225,4.54956,13.17,9.33,53,10.71,Rotterdam,Europe
"Port Microbes",SRR9050314,SAMN11636131,EUR10,51.89674,4.339108,12.56,8.34,124.5,10.96,Rotterdam,Europe
"Port Microbes",SRR9050110,SAMN11636132,EUR10post,51.89674,4.339108,12.56,8.34,124.5,10.96,Rotterdam,Europe
"Port Microbes",SRR9049814,SAMN11636133,EUR11,51.879128,4.326083,12.72,8.86,100.9,11.23,Rotterdam,Europe
"Port Microbes",SRR9049815,SAMN11636134,EUR11post,51.879128,4.326083,12.72,8.86,100.9,11.23,Rotterdam,Europe
"Port Microbes",SRR9049979,SAMN11636136,EUR12post,51.865139,4.332334,12.61,8.65,98.6,11.14,Rotterdam,Europe
"Port Microbes",SRR9050146,SAMN11636197,EUW10,53.6275,8.154333333,9.7,7.88,150.5,9.12,Wilhelmshaven,Europe
"Port Microbes",SRR9050147,SAMN11636198,EUW10post,53.6275,8.154333333,9.7,7.88,150.5,9.12,Wilhelmshaven,Europe
"Port Microbes",SRR9050148,SAMN11636199,EUW11,53.6275278,8.154277778,9.7,7.89,150.3,9.12,Wilhelmshaven,Europe
"Port Microbes",SRR9050149,SAMN11636200,EUW11post,53.6275278,8.154277778,9.7,7.89,150.3,9.12,Wilhelmshaven,Europe
"Port Microbes",SRR9050150,SAMN11636201,EUW12,53.6440556,8.136527778,9.6,8.64,80.6,9.14,Wilhelmshaven,Europe
"Port Microbes",SRR9050151,SAMN11636202,EUW12post,53.6440556,8.136527778,9.6,8.64,80.6,9.14,Wilhelmshaven,Europe
"Port Microbes",SRR9053475,SAMN11642183,NEW1,29.95701,-90.147583,23.78,7.52,141.5,5.42,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053477,SAMN11642184,NEW10,29.911188,-90.101723,23.83,7.52,122.3,5.53,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053755,SAMN11642185,NEW10post,29.911188,-90.101723,23.83,7.52,122.3,5.53,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053752,SAMN11642186,NEW11,29.911016,-90.097229,23.83,7.52,124.3,5.59,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053168,SAMN11642187,NEW11post,29.911016,-90.097229,23.83,7.52,124.3,5.59,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053174,SAMN11642189,NEW12post,29.911114,-90.091614,23.78,7.54,128.8,5.52,"New Orleans","East Coast U.S."
"Port Microbes",SRR9053883,SAMN11642245,NOF1,36.899937,-75.938744,22.44,6.34,148.2,7.04,Norfolk,"East Coast U.S."
"Port Microbes",SRR9053884,SAMN11642246,NOF10,36.919903,-76.337349,24.78,7.97,236.6,6.96,Norfolk,"East Coast U.S."
"Port Microbes",SRR9053885,SAMN11642247,NOF10post,36.919903,-76.337349,24.78,7.97,236.6,6.96,Norfolk,"East Coast U.S."
"Port Microbes",SRR9053886,SAMN11642248,NOF11,36.919525,-76.337219,24.78,7.97,225.7,6.96,Norfolk,"East Coast U.S."
"Port Microbes",SRR9053887,SAMN11642249,NOF11post,36.919525,-76.337219,24.78,7.97,225.7,6.96,Norfolk,"East Coast U.S."
"Port Microbes",SRR9053616,SAMN11642251,NOF12post,36.900173,-76.336945,24.89,7.91,216.5,6.77,Norfolk,"East Coast U.S."
