Name,Run,BioSample,SampleName,"Depth (mm)","Eh (mV)"
"Soil-Water Interface",SRR18741214,SAMN27561804,CA25.,0-2,186
"Soil-Water Interface",SRR18741215,SAMN27561803,CA24.,2-4,137
"Soil-Water Interface",SRR18741216,SAMN27561802,CA23.,4-6,89
"Soil-Water Interface",SRR18741217,SAMN27561801,CA22.,6-8,61
"Soil-Water Interface",SRR18741218,SAMN27561800,CA21.,8-10,30
"Soil-Water Interface",SRR18741220,SAMN27561799,CA20.,10-12,16
"Soil-Water Interface",SRR18741221,SAMN27561798,CA19.,12-14,-6
"Soil-Water Interface",SRR18741222,SAMN27561797,CA18.,14-16,-28
"Soil-Water Interface",SRR18741223,SAMN27561796,CA17.,16-18,-47
"Soil-Water Interface",SRR18741224,SAMN27561795,CA16.,18-20,-65
"Soil-Water Interface",SRR18741225,SAMN27561794,CA15.,20-22,-87
"Soil-Water Interface",SRR18741226,SAMN27561793,CA14.,22-24,-105
"Soil-Water Interface",SRR18741227,SAMN27561792,CA13.,24-26,-125
"Soil-Water Interface",SRR18741228,SAMN27561791,CA12.,26-28,-131
"Soil-Water Interface",SRR18741229,SAMN27561790,CA11.,28-30,-135
"Soil-Water Interface",SRR18741207,SAMN27561789,CA10.,30-32,-141
"Soil-Water Interface",SRR18741208,SAMN27561788,CA9.,32-34,-144
"Soil-Water Interface",SRR18741209,SAMN27561787,CA8.,34-36,-148
"Soil-Water Interface",SRR18741210,SAMN27561786,CA7.,36-38,-152
"Soil-Water Interface",SRR18741211,SAMN27561785,CA6.,38-40,-158
"Soil-Water Interface",SRR18741212,SAMN27561784,CA5.,40-42,-164
"Soil-Water Interface",SRR18741213,SAMN27561783,CA4.,42-44,-168
"Soil-Water Interface",SRR18741219,SAMN27561782,CA3.,44-46,-172
"Soil-Water Interface",SRR18741230,SAMN27561781,CA2.,46-48,-174
"Soil-Water Interface",SRR18741231,SAMN27561780,CA1.,48-50,-178
