name,Run,LibraryName,BioSample,sample,Field,latlong,"T (°C)",pH,"EC (mS/cm)","TDS (g/L)","ORP (mV)","DO (%)"
"Eastern Tibetan Plateau",SRR10580898,SC2,SAMN13430419,BT1,Batang,"29.96 N 99.08 E",43.3,6.7,1.49,0.74,127,26.2
"Eastern Tibetan Plateau",SRR10580896,SC13,SAMN13430429,BT2,Batang,"30.15 N 99.19 E",45.5,7,1.94,0.98,-50,18
"Eastern Tibetan Plateau",SRR10580889,SC5,SAMN13430422,BT3,Batang,"30.28 N 99.34 E",64.4,7.7,1.58,0.79,-181,28.7
"Eastern Tibetan Plateau",SRR10580885,SC9,SAMN13430426,BT4,Batang,"30.26 N 99.46 E",65.4,7.1,1.2,0.6,-123,20.9
"Eastern Tibetan Plateau",SRR10580891,SC3,SAMN13430420,BT5,Batang,"30.40 N 99.39 E",88,9.2,1.53,0.77,-267,9.9
"Eastern Tibetan Plateau",SRR10580894,SC15,SAMN13430431,BT6,Batang,"30.40 N 99.38 E",87.8,8.4,0.82,0.41,-28,21.5
"Eastern Tibetan Plateau",SRR10580888,SC6,SAMN13430423,BT7,Batang,"30.40 N 99.40 E",88.2,9.9,1.43,0.72,-248,66.8
"Eastern Tibetan Plateau",SRR10580893,SC16,SAMN13430432,LT1,Litang,"29.99 N 100.22 E",34.6,6.9,3.4,1.51,104,17
"Eastern Tibetan Plateau",SRR10580887,SC7,SAMN13430424,LT2,Litang,"30.07 N 100.14 E",78.3,8.1,2.42,1.2,-163,32
"Eastern Tibetan Plateau",SRR10580886,SC8,SAMN13430425,KD2,Kangding,"30.28 N 101.94 E",37.4,6.7,1.24,0.62,105,27.5
"Eastern Tibetan Plateau",SRR10580895,SC14,SAMN13430430,KD3,Kangding,"30.26 N 101.87 E",60.8,7,1.75,0.88,57,28.4
"Eastern Tibetan Plateau",SRR10580892,SC17,SAMN13430433,KD4,Kangding,"30.12 N 101.94 E",40.4,6.4,2.32,1.01,-245,2.5
"Eastern Tibetan Plateau",SRR10580890,SC4,SAMN13430421,KD5,Kangding,"29.98 N 101.96 E",72.2,7.6,2.68,1.34,22,29
"Eastern Tibetan Plateau",SRR10580899,SC1,SAMN13430418,KD6,Kangding,"29.95 N 101.96 E",79.5,7.8,2.42,1,-161,24.6
"Eastern Tibetan Plateau",SRR10580884,SC10,SAMN13430427,"KD1 or KD7",Kangding,"30.18 N 101.87 E",NA,NA,NA,NA,NA,NA
"Eastern Tibetan Plateau",SRR10580897,SC12,SAMN13430428,"KD1 or KD7",Kangding,"30.18 N 101.87 E",NA,NA,NA,NA,NA,NA
