name,Run,BioSample,sample,LibraryName,name,Location,pH,"T (°C)","Eh (mV)",longitude,latitude
"Southern Tibetan Plateau",SRR12042860,SAMN15208251,ZBR5293101,Q9,QSYB09-3,Quseyongba,8.9,70,-278.8,81.5806,30.5848
"Southern Tibetan Plateau",SRR12042856,SAMN15208258,zbr5294101,Q10,QSYB09-4,Quseyongba,8.96,66,-274.1,81.5806,30.5848
"Southern Tibetan Plateau",SRR12042857,SAMN15208210,MJL5101,Q47,MLJ-05,Moluojiang,8.48,87,-94.8,80.4914,31.369
"Southern Tibetan Plateau",SRR12042850,SAMN15208175,DG013101,Q25,DG01-3,Daggyai,8.7,60,-102.9,85.7509,29.5982
"Southern Tibetan Plateau",SRR12042849,SAMN15208184,DG014101,Q26,DG01-4,Daggyai,8.71,55,-104.7,85.7509,29.5982
"Southern Tibetan Plateau",SRR12042859,SAMN15208191,DG015101,Q27,DG01-5,Daggyai,8.75,50,-106.4,85.7509,29.5982
"Southern Tibetan Plateau",SRR12042858,SAMN15208198,DG016101,Q28,DG01-6,Daggyai,8.6,46,-101.9,85.7509,29.5982
"Southern Tibetan Plateau",SRR12042861,SAMN15208204,DG022101,Q3,DG02-2,Daggyai,8.55,63,-102.6,85.7507,29.5988
"Southern Tibetan Plateau",SRR12042855,SAMN15208218,QZM04100,Q15,QZM04,Quzhuomu,6.87,72,-0.3,91.8127,28.2367
"Southern Tibetan Plateau",SRR12042854,SAMN15208228,QZM041101,Q16,QZM04-1,Quzhuomu,7.17,67,-18,91.8127,28.2367
"Southern Tibetan Plateau",SRR12042853,SAMN15208232,QZM042101,22,QZM04-2,Quzhuomu,6.98,62,-6.3,91.8127,28.2367
"Southern Tibetan Plateau",SRR12042852,SAMN15208239,QZM043101,Q18,QZM04-3,Quzhuomu,7.29,58,-24.7,91.8127,28.2367
"Southern Tibetan Plateau",SRR12042851,SAMN15208245,QZM044101,Q19,QZM04-4,Quzhuomu,7.6,54,-42.5,91.8127,28.2367
