name,Run,LibraryName,BioSample,SampleName,Compartment,Spartina,Depth,Location,Year,Eh,pH,Salinity
"Georgia Salt Marshes",SRR12995296,Spartina065,SAMN16678276,Sapelo2018_Rhizosphere_T4_P3_5-10,Rhizosphere,Short,10-05,Sapelo,2018,-271.5,6.5,43.63
"Georgia Salt Marshes",SRR12995293,Spartina068,SAMN16678279,Sapelo2019_Bulk_sediment_T1_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2019,-114,6.7,42.24
"Georgia Salt Marshes",SRR12995294,Spartina067,SAMN16678278,Sapelo2019_Bulk_sediment_T1_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2019,-140.7,6.6,44.03
"Georgia Salt Marshes",SRR12995291,Spartina070,SAMN16678281,Sapelo2019_Bulk_sediment_T1_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2019,-289,7.4,45.99
"Georgia Salt Marshes",SRR12995292,Spartina069,SAMN16678280,Sapelo2019_Bulk_sediment_T1_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2019,-385,6.6,37.15
"Georgia Salt Marshes",SRR12995288,Spartina072,SAMN16678283,Sapelo2019_Bulk_sediment_T1_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2019,-377,6.6,47.58
"Georgia Salt Marshes",SRR12995289,Spartina071,SAMN16678282,Sapelo2019_Bulk_sediment_T1_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2019,-397.5,7.1,41.16
"Georgia Salt Marshes",SRR12995286,Spartina074,SAMN16678285,Sapelo2019_Bulk_sediment_T1_P4_0-5,"Bulk sediment",Short,0-5,Sapelo,2019,-276.5,6.5,33.29
"Georgia Salt Marshes",SRR12995287,Spartina073,SAMN16678284,Sapelo2019_Bulk_sediment_T1_P4_5-10,"Bulk sediment",Short,10-05,Sapelo,2019,-326,6.7,41.16
"Georgia Salt Marshes",SRR12995284,Spartina076,SAMN16678287,Sapelo2019_Bulk_sediment_T3_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2019,-48.5,6.6,26.31
"Georgia Salt Marshes",SRR12995285,Spartina075,SAMN16678286,Sapelo2019_Bulk_sediment_T3_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2019,-109.5,6,24.58
"Georgia Salt Marshes",SRR12995282,Spartina078,SAMN16678289,Sapelo2019_Bulk_sediment_T3_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2019,-68,6.9,23.55
"Georgia Salt Marshes",SRR12995283,Spartina077,SAMN16678288,Sapelo2019_Bulk_sediment_T3_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2019,-63,6,22.61
"Georgia Salt Marshes",SRR12995280,Spartina080,SAMN16678291,Sapelo2019_Bulk_sediment_T3_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2019,-371,6.9,28.44
"Georgia Salt Marshes",SRR12995281,Spartina079,SAMN16678290,Sapelo2019_Bulk_sediment_T3_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2019,-388.5,6.6,27.63
"Georgia Salt Marshes",SRR12995277,Spartina082,SAMN16678293,Sapelo2019_Bulk_sediment_T4_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2019,86,6.9,29.29
"Georgia Salt Marshes",SRR12995278,Spartina081,SAMN16678292,Sapelo2019_Bulk_sediment_T4_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2019,42,6.4,25.43
"Georgia Salt Marshes",SRR12995275,Spartina083,SAMN16678294,Sapelo2019_Bulk_sediment_T4_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2019,-395.5,6.5,25.69
"Georgia Salt Marshes",SRR12995308,Spartina098,SAMN16678309,Sapelo2019_Endosphere_T3_P1_0-5,Root,Tall,0-5,Sapelo,2019,-48.5,6.6,26.31
"Georgia Salt Marshes",SRR12995309,Spartina097,SAMN16678308,Sapelo2019_Endosphere_T3_P1_0-5_b,Root,Tall,0-5,Sapelo,2019,-48.5,6.6,26.31
"Georgia Salt Marshes",SRR12995310,Spartina096,SAMN16678307,Sapelo2019_Endosphere_T3_P1_5-10,Root,Tall,10-05,Sapelo,2019,-109.5,6,24.58
"Georgia Salt Marshes",SRR12995311,Spartina095,SAMN16678306,Sapelo2019_Endosphere_T3_P1_5-10_b,Root,Tall,10-05,Sapelo,2019,-109.5,6,24.58
"Georgia Salt Marshes",SRR12995212,Spartina101,SAMN16678312,Sapelo2019_Endosphere_T3_P2_0-5_b,Root,Medium,0-5,Sapelo,2019,-68,6.9,23.55
"Georgia Salt Marshes",SRR12995305,Spartina100,SAMN16678311,Sapelo2019_Endosphere_T3_P2_5-10,Root,Medium,10-05,Sapelo,2019,-63,6,22.61
"Georgia Salt Marshes",SRR12995307,Spartina099,SAMN16678310,Sapelo2019_Endosphere_T3_P2_5-10_b,Root,Medium,10-05,Sapelo,2019,-63,6,22.61
"Georgia Salt Marshes",SRR12995316,Spartina010,SAMN16678221,Sapelo18_Bulk_sediment_T2_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2018,34.5,7.1,26.62
"Georgia Salt Marshes",SRR12995406,Spartina012,SAMN16678223,Sapelo18_Bulk_sediment_T2_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2018,-66,7.1,26.22
"Georgia Salt Marshes",SRR12995384,Spartina014,SAMN16678225,Sapelo18_Bulk_sediment_T2_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2018,-143,6.5,34.77
"Georgia Salt Marshes",SRR12995395,Spartina013,SAMN16678224,Sapelo18_Bulk_sediment_T2_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2018,-346,6.5,32.87
"Georgia Salt Marshes",SRR12995362,Spartina016,SAMN16678227,Sapelo18_Bulk_sediment_T3_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2018,-147,7.3,28.84
"Georgia Salt Marshes",SRR12995373,Spartina015,SAMN16678226,Sapelo18_Bulk_sediment_T3_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2018,36.5,6.5,27.7
"Georgia Salt Marshes",SRR12995340,Spartina018,SAMN16678229,Sapelo18_Bulk_sediment_T3_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2018,89.5,7,29.98
"Georgia Salt Marshes",SRR12995351,Spartina017,SAMN16678228,Sapelo18_Bulk_sediment_T3_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2018,119,5.5,29.24
"Georgia Salt Marshes",SRR12995329,Spartina019,SAMN16678230,Sapelo18_Bulk_sediment_T3_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2018,-340.5,6.7,33.64
"Georgia Salt Marshes",SRR12995323,Spartina084,SAMN16678295,Sapelo2019_Bulk_sediment_T4_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2019,-297.5,6.6,29.02
"Georgia Salt Marshes",SRR12995321,Spartina086,SAMN16678297,Sapelo2019_Bulk_sediment_T4_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2019,-334,6.9,28.95
"Georgia Salt Marshes",SRR12995322,Spartina085,SAMN16678296,Sapelo2019_Bulk_sediment_T4_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2019,-361,6.3,26.78
"Georgia Salt Marshes",SRR12995319,Spartina088,SAMN16678299,Sapelo2019_Endosphere_T1_P1_0-5,Root,Tall,0-5,Sapelo,2019,-114,6.7,42.24
"Georgia Salt Marshes",SRR12995320,Spartina087,SAMN16678298,Sapelo2019_Endosphere_T1_P1_5-10,Root,Tall,10-05,Sapelo,2019,-140.7,6.6,44.03
"Georgia Salt Marshes",SRR12995317,Spartina090,SAMN16678301,Sapelo2019_Endosphere_T1_P2_0-5,Root,Medium,0-5,Sapelo,2019,-289,7.4,45.99
