Name,Run,BioSample,SampleName,Lagoon,Date,Year,"Available data","Water height (cm)","Salinity (%, w/v)","Conductivity (mS/cm)","Temperature (°C)",pH,"Redox (mV)","DO (mg/L)"
"Monegros Desert, Spain",SRR8243231,SAMN10462361,MON_43,Salobral,2013-02-22,2013,Both,30,3.7,35.6,10.1,8.9,210,11.5
"Monegros Desert, Spain",SRR8243230,SAMN10462362,MON_44,Pito,2013-02-23,2013,Both,10,4.8,53.4,1.5,7.9,293.3,12.7
"Monegros Desert, Spain",SRR8243237,SAMN10462363,MON_45,Pez,2013-02-23,2013,Both,10,2.3,26.6,2,8,285.5,12.5
"Monegros Desert, Spain",SRR8243236,SAMN10462364,MON_46,Camaron,2013-02-23,2013,Bacteria,30,3.1,34.3,2.3,8,288.5,12.4
"Monegros Desert, Spain",SRR8243235,SAMN10462365,MON_47,Guallar,2013-03-20,2013,Both,10,6.8,80.6,13.6,8.2,245,10.3
"Monegros Desert, Spain",SRR8243234,SAMN10462366,MON_48,Piñol,2013-03-20,2013,Both,8,4,49.6,15,8.6,275,10.5
"Monegros Desert, Spain",SRR8243239,SAMN10462367,MON_49,Muerte,2013-03-20,2013,Eukarya,5,6.2,81.7,15.1,8.1,303,10.1
"Monegros Desert, Spain",SRR8243242,SAMN10462323,MON_5,Rollico,2012-11-12,2012,Both,10,1.1,11.6,12.5,8.6,345,10.5
"Monegros Desert, Spain",SRR8243238,SAMN10462368,MON_50,Camaron,2013-03-20,2013,Both,20,3.2,39.8,15.3,8.4,288,10.3
"Monegros Desert, Spain",SRR8243266,SAMN10462369,MON_51,Rollico,2013-03-20,2013,Both,5,3.2,40.3,15.4,8.2,245,10
"Monegros Desert, Spain",SRR8243267,SAMN10462370,MON_52,Rebollon,2013-03-20,2013,Both,5,2.2,26.2,14.8,9.1,258,10.5
"Monegros Desert, Spain",SRR8243268,SAMN10462371,MON_53,Pez,2013-03-20,2013,Both,5,4,50.1,14,8.3,303.3,10.1
"Monegros Desert, Spain",SRR8243269,SAMN10462372,MON_54,"Amarga Baja",2013-03-21,2013,Both,2,1.5,13.3,11.2,8.6,258,11.8
"Monegros Desert, Spain",SRR8243262,SAMN10462373,MON_55,"Amarga Alta",2013-03-21,2013,Both,2,1,10.4,15,8.4,265,12.5
"Monegros Desert, Spain",SRR8243263,SAMN10462374,MON_56,Pito,2013-03-21,2013,Both,5,3.8,45.4,13.9,8,240,11
"Monegros Desert, Spain",SRR8243264,SAMN10462375,MON_57,Playa,2013-03-21,2013,Both,30,5.8,67.5,16.3,8.6,250,12.4
"Monegros Desert, Spain",SRR8243265,SAMN10462376,MON_58,Salineta,2013-03-21,2013,Both,30,11,107.5,16.1,8.4,270,10.1
"Monegros Desert, Spain",SRR8243260,SAMN10462377,MON_59,Salobral,2013-03-21,2013,Bacteria,50,3,31.3,16,8.9,230,10.8
"Monegros Desert, Spain",SRR8243243,SAMN10462324,MON_6,Pez,2012-11-12,2012,Eukarya,5,1.1,11.8,10.9,8.2,343.5,10.5
"Monegros Desert, Spain",SRR8243261,SAMN10462378,MON_60,Guallar,2013-04-16,2013,Both,3,16.9,166.4,23.3,7.9,270,8.8
"Monegros Desert, Spain",SRR8243284,SAMN10462379,MON_61,Piñol,2013-04-16,2013,Both,5,7.8,102.2,24.9,8.8,235,10.6
"Monegros Desert, Spain",SRR8243283,SAMN10462380,MON_62,Muerte,2013-04-16,2013,Both,1,32,207.4,32,7.3,290,7.4
"Monegros Desert, Spain",SRR8243286,SAMN10462381,MON_63,Camaron,2013-04-16,2013,Both,10,4.3,68,29.5,9,220,12.3
"Monegros Desert, Spain",SRR8243285,SAMN10462382,MON_64,Pez,2013-04-16,2013,Both,2,13.8,165.5,31,7.8,260,8.4
"Monegros Desert, Spain",SRR8243288,SAMN10462383,MON_65,Pito,2013-04-17,2013,Both,3,7,94.1,22.1,8.1,325,9.7
"Monegros Desert, Spain",SRR8243287,SAMN10462384,MON_66,Playa,2013-04-17,2013,Both,40,10.1,124.4,23.5,8.1,312,9.4
"Monegros Desert, Spain",SRR8243290,SAMN10462385,MON_67,Salineta,2013-04-17,2013,Both,15,24,156.8,28,8.1,188.6,9
"Monegros Desert, Spain",SRR8243289,SAMN10462386,MON_68,Salobral,2013-04-17,2013,Both,40,2.9,34.3,25.8,9.3,170,8.2
"Monegros Desert, Spain",SRR8243282,SAMN10462387,MON_69,Guallar,2013-05-26,2013,Both,0.5,23,197.6,26.5,7.6,270,8.8
"Monegros Desert, Spain",SRR8243244,SAMN10462325,MON_7,Salobral,2012-11-13,2012,Both,20,3.3,31.7,5.9,9,341,9.4
"Monegros Desert, Spain",SRR8243281,SAMN10462388,MON_70,Piñol,2013-05-26,2013,Both,1,8.4,103,25.1,8.6,220,8.9
"Monegros Desert, Spain",SRR8243168,SAMN10462389,MON_71,Camaron,2013-05-26,2013,Both,5,9.8,117.3,22.5,8.2,220,8.8
"Monegros Desert, Spain",SRR8243174,SAMN10462390,MON_72,Rollico,2013-05-27,2013,Both,2,5.8,77.6,21.5,8.1,205,9.1
"Monegros Desert, Spain",SRR8243166,SAMN10462391,MON_73,Pez,2013-05-27,2013,Both,2,6,79.1,21.5,8.1,200,9.1
"Monegros Desert, Spain",SRR8243167,SAMN10462392,MON_74,Playa,2013-05-26,2013,Both,40,10.6,117.6,17.5,8.7,225,9.2
"Monegros Desert, Spain",SRR8243164,SAMN10462393,MON_75,Salineta,2013-05-26,2013,Both,5,23,152,19.1,8.2,235,12.9
"Monegros Desert, Spain",SRR8243178,SAMN10462394,MON_76,Salobral,2013-05-26,2013,Both,40,3.4,36.2,20,9.5,180,14.2
"Monegros Desert, Spain",SRR8243162,SAMN10462395,MON_77,"Balsa Molinos",2013-05-26,2013,Bacteria,NA,0.1,0.9,17.4,8.3,195,9.8
"Monegros Desert, Spain",SRR8243163,SAMN10462396,MON_78,Pito,2013-06-12,2013,Both,0.2,28,NA,34.5,7.5,260,7.5
"Monegros Desert, Spain",SRR8243156,SAMN10462397,MON_79,Playa,2013-06-12,2013,Both,25,14.8,169.3,27.9,8.1,225,8.8
"Monegros Desert, Spain",SRR8243245,SAMN10462326,MON_8,"Amarga Baja",2012-11-13,2012,Both,5,0.9,4.6,6.3,8.2,339,12
"Monegros Desert, Spain",SRR8243157,SAMN10462398,MON_80,Salineta,2013-06-12,2013,Both,5,35,150.3,34,7.9,220,9.5
"Monegros Desert, Spain",SRR8243175,SAMN10462399,MON_81,Salobral,2013-06-12,2013,Both,40,3,42.4,30.3,9.1,190,11.5
"Monegros Desert, Spain",SRR8243270,SAMN10462400,MON_82,NA,2013-06-12,2013,NA,NA,NA,NA,NA,NA,NA,NA
"Monegros Desert, Spain",SRR8243173,SAMN10462401,MON_83,Playa,2013-07-08,2013,Both,30,16.2,168.1,30,8.2,230,7.3
"Monegros Desert, Spain",SRR8243172,SAMN10462402,MON_84,Salineta,2013-07-08,2013,Both,1,38,142,32.5,7.9,230,7.9
"Monegros Desert, Spain",SRR8243171,SAMN10462403,MON_85,Salobral,2013-07-08,2013,Bacteria,30,3.8,47.1,29.6,8.8,122.6,8.1
"Monegros Desert, Spain",SRR8243170,SAMN10462404,MON_86,"Balsa Molinos",2013-07-08,2013,Eukarya,40,0.1,1,29.3,8.4,210,8.7
"Monegros Desert, Spain",SRR8243169,SAMN10462405,MON_87,Playa,2013-10-09,2013,Eukarya,10,34.8,184.3,22.6,7.7,250,8.4
"Monegros Desert, Spain",SRR8243199,SAMN10462406,MON_88,Salineta,2013-10-09,2013,Both,1,40,143.3,18.8,7.7,265,8.9
"Monegros Desert, Spain",SRR8243177,SAMN10462407,MON_89,"Balsa Molinos",2013-10-09,2013,Eukarya,40,0.1,0.9,18.8,9.2,199,9.7
"Monegros Desert, Spain",SRR8243240,SAMN10462327,MON_9,"Amarga Alta",2012-11-13,2012,Bacteria,10,1,4.7,8.6,7.9,326,11.8
"Monegros Desert, Spain",SRR8243176,SAMN10462408,MON_90,Guallar,2013-11-27,2013,Both,10,2.8,26.2,2,8.1,250,12.1
"Monegros Desert, Spain",SRR8243179,SAMN10462409,MON_91,Piñol,2013-11-27,2013,Bacteria,8,1.6,14.4,5,8,245,11.8
"Monegros Desert, Spain",SRR8243180,SAMN10462410,MON_92,Muerte,2013-11-27,2013,Both,5,2,20.3,7.5,8.3,270,11.2
"Monegros Desert, Spain",SRR8243181,SAMN10462411,MON_93,Camaron,2013-11-27,2013,Bacteria,15,2,22.7,10,8.3,270,10.9
"Monegros Desert, Spain",SRR8243182,SAMN10462412,MON_94,Rollico,2013-11-27,2013,Both,5,0.8,5.6,9,8.1,305,11
"Monegros Desert, Spain",SRR8243183,SAMN10462413,MON_95,Rebollon,2013-11-27,2013,Both,15,1,5.1,7.5,8.1,305,11.6
"Monegros Desert, Spain",SRR8243184,SAMN10462414,MON_96,Pez,2013-11-27,2013,Both,2,1.1,8.5,5.2,8,320,11.6
"Monegros Desert, Spain",SRR8243185,SAMN10462415,MON_97,"Amarga Baja",2013-11-28,2013,Both,4,0.9,4.3,1.5,9.2,280,11.7
"Monegros Desert, Spain",SRR8243186,SAMN10462416,MON_98,"Amarga Alta",2013-11-28,2013,Bacteria,20,0.9,3.6,3,8.1,320,12.1
"Monegros Desert, Spain",SRR8243187,SAMN10462417,MON_99,Pito,2013-11-28,2013,Bacteria,10,1.2,12,3.5,8,295,12.6
