name,Run,BioSample,SampleName,Station,Environment,Date,Season,Year,"Redox (mV)","O2 (%)","Water depth at sampling (low tide)",Salinity
"Bay of Biscay",ERR3711443,SAMEA6356430,EBI10_Wi2017,EBI10,Estuarine,2017-02-01,Winter,2017,246,82.5,0,16.8
"Bay of Biscay",ERR3711445,SAMEA6356431,EBI10_Wi2018,EBI10,Estuarine,2018-02-05,Winter,2018,54,99.7,0,6.5
"Bay of Biscay",ERR3711446,SAMEA6356432,EBI10_Wi2019,EBI10,Estuarine,2019-01-23,Winter,2019,1,97.9,0,16.8
"Bay of Biscay",ERR3711447,SAMEA6356433,EBI20_Wi2013,EBI20,Estuarine,2013-01-29,Winter,2013,479,96.7,0,20.3
"Bay of Biscay",ERR3711448,SAMEA6356434,EBI20_Wi2015,EBI20,Estuarine,2015-02-05,Winter,2015,383,90.9,0,22.5
"Bay of Biscay",ERR3711449,SAMEA6356435,EBI20_Wi2017,EBI20,Estuarine,2017-02-01,Winter,2017,396,91.6,0,26.6
"Bay of Biscay",ERR3711450,SAMEA6356436,EBI20_Wi2018,EBI20,Estuarine,2018-02-05,Winter,2018,340,99.5,0,13.7
"Bay of Biscay",ERR3711452,SAMEA6356437,EBI20_Wi2019,EBI20,Estuarine,2019-01-23,Winter,2019,327,99.1,0,18
"Bay of Biscay",ERR3711453,SAMEA6356438,ED05_Su2017,ED05,Estuarine,2017-08-11,Summer,2017,NA,69.5,0,10.8
"Bay of Biscay",ERR3711455,SAMEA6356439,ED05_Su2018,ED05,Estuarine,2018-08-20,Summer,2018,-122,73.5,0,6.4
"Bay of Biscay",ERR3711456,SAMEA6356440,ED05_Wi2013,ED05,Estuarine,2013-02-26,Winter,2013,119,99.7,0,0.2
"Bay of Biscay",ERR3711458,SAMEA6356441,ED05_Wi2015,ED05,Estuarine,2015-02-04,Winter,2015,-128,95.9,0,0.2
"Bay of Biscay",ERR3711459,SAMEA6356442,ED05_Wi2016,ED05,Estuarine,2016-01-27,Winter,2016,-61,91,0,6.2
"Bay of Biscay",ERR3711461,SAMEA6356443,ED05_Wi2017,ED05,Estuarine,2017-02-09,Winter,2017,188,110.4,0,8.9
"Bay of Biscay",ERR3711463,SAMEA6356444,ED05_Wi2018,ED05,Estuarine,2018-01-18,Winter,2018,83,100.4,0,0.2
"Bay of Biscay",ERR3711465,SAMEA6356445,ED05_Wi2019,ED05,Estuarine,2019-02-20,Winter,2019,-66,92.4,0,5.5
"Bay of Biscay",ERR3711466,SAMEA6356446,ED10_Su2017,ED10,Estuarine,2017-08-11,Summer,2017,NA,94.8,0,27.4
"Bay of Biscay",ERR3711467,SAMEA6356447,ED10_Su2018,ED10,Estuarine,2018-08-20,Summer,2018,401,81.2,0,21.3
"Bay of Biscay",ERR3711468,SAMEA6356448,ED10_Wi2013,ED10,Estuarine,2013-02-26,Winter,2013,512,97.4,0,16.7
"Bay of Biscay",ERR3711469,SAMEA6356449,ED10_Wi2015,ED10,Estuarine,2015-02-04,Winter,2015,173,71.2,0,32.6
"Bay of Biscay",ERR3711470,SAMEA6356450,ED10_Wi2016,ED10,Estuarine,2016-01-27,Winter,2016,283,83,1.5,18.1
"Bay of Biscay",ERR3711471,SAMEA6356451,ED10_Wi2017,ED10,Estuarine,2017-02-09,Winter,2017,176,82.3,0,20.3
"Bay of Biscay",ERR3711473,SAMEA6356452,ED10_Wi2018,ED10,Estuarine,2018-01-18,Winter,2018,375,84.1,0,5.8
"Bay of Biscay",ERR3711474,SAMEA6356453,ED10_Wi2019,ED10,Estuarine,2019-02-20,Winter,2019,359,100.2,0,21.3
"Bay of Biscay",ERR3711475,SAMEA6356454,EL05_Wi2013,EL05,Estuarine,2013-01-23,Winter,2013,160,105,0,0.2
"Bay of Biscay",ERR3711476,SAMEA6356455,EL05_Wi2015,EL05,Estuarine,2015-02-03,Winter,2015,-3,89.2,0,5.9
"Bay of Biscay",ERR3711477,SAMEA6356456,EL05_Wi2016,EL05,Estuarine,2016-01-26,Winter,2016,226,99.5,0,0.8
"Bay of Biscay",ERR3711478,SAMEA6356457,EL05_Wi2017,EL05,Estuarine,2017-02-13,Winter,2017,161,98.4,0,8.5
"Bay of Biscay",ERR3711479,SAMEA6356457,EL05_Wi2017,EL05,Estuarine,2017-02-13,Winter,2017,161,98.4,0,8.5
"Bay of Biscay",ERR3711481,SAMEA6356458,EL05_Wi2018,EL05,Estuarine,2018-01-17,Winter,2018,162,106.5,0,0.1
"Bay of Biscay",ERR3711483,SAMEA6356459,EL05_Wi2019,EL05,Estuarine,2019-01-21,Winter,2019,-26,104.7,0,17.5
"Bay of Biscay",ERR3711484,SAMEA6356460,EL10_Wi2013,EL10,Estuarine,2013-01-23,Winter,2013,296,102.2,0,0.3
"Bay of Biscay",ERR3711485,SAMEA6356461,EL10_Wi2015,EL10,Estuarine,2015-02-03,Winter,2015,228,93.8,0,10.8
"Bay of Biscay",ERR3711486,SAMEA6356462,EL10_Wi2016,EL10,Estuarine,2016-01-26,Winter,2016,402,93.7,0,18.2
"Bay of Biscay",ERR3711487,SAMEA6356463,EL10_Wi2017,EL10,Estuarine,2017-02-13,Winter,2017,319,81.6,0,25.2
"Bay of Biscay",ERR3711489,SAMEA6356464,EL10_Wi2018,EL10,Estuarine,2018-01-17,Winter,2018,282,99.1,0,1.5
"Bay of Biscay",ERR3711490,SAMEA6356465,EL10_Wi2019,EL10,Estuarine,2019-01-21,Winter,2019,41,106,0,32.8
"Bay of Biscay",ERR3711491,SAMEA6356466,EM05_Wi2013,EM05,Estuarine,2013-02-07,Winter,2013,265,102.6,0,0.1
"Bay of Biscay",ERR3711492,SAMEA6356467,EM05_Wi2015,EM05,Estuarine,2015-03-04,Winter,2015,20,103,0,0.16
"Bay of Biscay",ERR3711493,SAMEA6356468,EM05_Wi2016,EM05,Estuarine,2016-01-14,Winter,2016,259,78.3,0,23.3
"Bay of Biscay",ERR3711494,SAMEA6356469,EM05_Wi2017,EM05,Estuarine,2017-02-01,Winter,2017,129,91.6,0,16
"Bay of Biscay",ERR3711496,SAMEA6356470,EM05_Wi2018,EM05,Estuarine,2018-01-29,Winter,2018,-94,110.4,0,0.2
"Bay of Biscay",ERR3711497,SAMEA6356471,EM05_Wi2019,EM05,Estuarine,2019-02-21,Winter,2019,333,98.5,0,28.9
"Bay of Biscay",ERR3711498,SAMEA6356472,EM10_Wi2013,EM10,Estuarine,2013-02-18,Winter,2013,574,99.8,0,0.3
"Bay of Biscay",ERR3711499,SAMEA6356473,EM10_Wi2015,EM10,Estuarine,2015-03-04,Winter,2015,358,96.8,0,12.3
"Bay of Biscay",ERR3711501,SAMEA6356474,EM10_Wi2016,EM10,Estuarine,2016-01-14,Winter,2016,408,103.7,0,23.5
"Bay of Biscay",ERR3711502,SAMEA6356475,EM10_Wi2017,EM10,Estuarine,2017-02-01,Winter,2017,394,96.4,0,28.8
"Bay of Biscay",ERR3711503,SAMEA6356476,EM10_Wi2018,EM10,Estuarine,2018-01-29,Winter,2018,344,101.2,0,18.9
"Bay of Biscay",ERR3711508,SAMEA6356481,EN10_Wi2013,EN10,Estuarine,2013-02-19,Winter,2013,299,82.3,4,30
"Bay of Biscay",ERR3711509,SAMEA6356482,EN10_Wi2015,EN10,Estuarine,2015-03-03,Winter,2015,145,108,4,14.2
"Bay of Biscay",ERR3711510,SAMEA6356483,EN10_Wi2016,EN10,Estuarine,2016-01-21,Winter,2016,-15,78.9,4,31.7
"Bay of Biscay",ERR3711511,SAMEA6356484,EN10_Wi2017,EN10,Estuarine,2017-02-23,Winter,2017,-47,78.6,5,29.1
"Bay of Biscay",ERR3711504,SAMEA6356477,EN_Asua_Wi2019,EN_Asua,Estuarine,2019-03-12,Winter,2019,26,NA,NA,NA
"Bay of Biscay",ERR3711505,SAMEA6356478,EN_Axpe_Wi2019,EN_Axpe,Estuarine,2019-03-12,Winter,2019,-44,NA,NA,NA
"Bay of Biscay",ERR3711506,SAMEA6356479,EN_LasArenas_Wi2019,EN_LasArenas,Estuarine,2019-03-12,Winter,2019,70,NA,NA,NA
"Bay of Biscay",ERR3711507,SAMEA6356480,EN_Sestao_Wi2019,EN_Sestao,Estuarine,2019-03-12,Winter,2019,14,NA,NA,NA
"Bay of Biscay",ERR3711397,SAMEA6356392,EA05_Wi2013,EA05,Estuarine,2013-01-30,Winter,2013,232,96.7,0,0.2
"Bay of Biscay",ERR3711398,SAMEA6356393,EA05_Wi2015,EA05,Estuarine,2015-02-16,Winter,2015,135,90.5,0,0.2
"Bay of Biscay",ERR3711399,SAMEA6356394,EA05_Wi2016,EA05,Estuarine,2016-01-26,Winter,2016,40,93.5,0,0.2
"Bay of Biscay",ERR3711400,SAMEA6356395,EA05_Wi2017,EA05,Estuarine,2017-02-13,Winter,2017,353,95.9,0,0.3
"Bay of Biscay",ERR3711402,SAMEA6356396,EA05_Wi2018,EA05,Estuarine,2018-01-17,Winter,2018,217.7,111,0,0.1
"Bay of Biscay",ERR3711403,SAMEA6356397,EA05_Wi2019,EA05,Estuarine,2019-01-21,Winter,2019,168,95.3,0,0.2
"Bay of Biscay",ERR3711404,SAMEA6356398,EA10_Wi2013,EA10,Estuarine,2013-01-30,Winter,2013,176,93.9,2.5,28.3
"Bay of Biscay",ERR3711405,SAMEA6356399,EA10_Wi2015,EA10,Estuarine,2015-02-03,Winter,2015,-36,90.5,1.5,17.4
"Bay of Biscay",ERR3711406,SAMEA6356400,EA10_Wi2016,EA10,Estuarine,2016-01-26,Winter,2016,36,83.5,1.5,21.2
"Bay of Biscay",ERR3711407,SAMEA6356401,EA10_Wi2017,EA10,Estuarine,2017-02-13,Winter,2017,-94,74.7,1,27.3
"Bay of Biscay",ERR3711409,SAMEA6356402,EA10_Wi2018,EA10,Estuarine,2018-01-17,Winter,2018,-174,91.4,2,8.8
"Bay of Biscay",ERR3711410,SAMEA6356403,EA10_Wi2019,EA10,Estuarine,2019-01-21,Winter,2019,11,99.5,2,34.3
"Bay of Biscay",ERR3711411,SAMEA6356404,EB05_Wi2013,EB05,Estuarine,2013-02-04,Winter,2013,175,91.5,0,11.1
