name,Run,BioSample,SampleName,Station,Environment,Date,Season,Year,"Redox (mV)","O2 (%)","Water depth at sampling (low tide)",Salinity
"Bay of Biscay",ERR3711660,SAMEA6356598,EU10_Wi2016,EU10,Estuarine,2016-01-27,Winter,2016,-37,85.2,0,34
"Bay of Biscay",ERR3711661,SAMEA6356599,EU10_Wi2017,EU10,Estuarine,2017-02-09,Winter,2017,40,86.9,0,31.2
"Bay of Biscay",ERR3711662,SAMEA6356600,EU10_Wi2018,EU10,Estuarine,2018-02-02,Winter,2018,60,83.2,0,15.4
"Bay of Biscay",ERR3711663,SAMEA6356601,EU10_Wi2019,EU10,Estuarine,2019-02-20,Winter,2019,56,100.7,0,28
"Bay of Biscay",ERR3711664,SAMEA6356602,EUR05_Wi2013,EUR05,Estuarine,2013-02-25,Winter,2013,376,99.1,0,0.7
"Bay of Biscay",ERR3711665,SAMEA6356603,EUR05_Wi2015,EUR05,Estuarine,2015-02-18,Winter,2015,409,104,0,0.1
"Bay of Biscay",ERR3711667,SAMEA6356604,EUR05_Wi2016,EUR05,Estuarine,2016-01-25,Winter,2016,146,98.4,0,0.1
"Bay of Biscay",ERR3711669,SAMEA6356605,EUR05_Wi2017,EUR05,Estuarine,2017-02-10,Winter,2017,383,96.9,0,0.3
"Bay of Biscay",ERR3711671,SAMEA6356606,EUR05_Wi2018,EUR05,Estuarine,2018-01-19,Winter,2018,84,107.8,0,0.1
"Bay of Biscay",ERR3711673,SAMEA6356607,EUR05_Wi2019,EUR05,Estuarine,2019-01-21,Winter,2019,42,114,0,9.5
"Bay of Biscay",ERR3711675,SAMEA6356608,EUR10_Wi2013,EUR10,Estuarine,2013-02-25,Winter,2013,325,99.7,0,19.6
"Bay of Biscay",ERR3711676,SAMEA6356609,EUR10_Wi2015,EUR10,Estuarine,2015-02-18,Winter,2015,429,99.1,0,0.2
"Bay of Biscay",ERR3711677,SAMEA6356610,EUR10_Wi2016,EUR10,Estuarine,2016-01-25,Winter,2016,343,105.4,0,18.1
"Bay of Biscay",ERR3711678,SAMEA6356611,EUR10_Wi2017,EUR10,Estuarine,2017-02-10,Winter,2017,373,99.8,0,19.9
"Bay of Biscay",ERR3711679,SAMEA6356612,EUR10_Wi2018,EUR10,Estuarine,2018-01-19,Winter,2018,345,106.2,0,7.3
"Bay of Biscay",ERR3711680,SAMEA6356613,EUR10_Wi2019,EUR10,Estuarine,2019-01-21,Winter,2019,357,112,0,21.7
"Bay of Biscay",ERR3711681,SAMEA6356614,I01,I01,Offshore,2013,Winter,2013,NA,NA,136,35.7
"Bay of Biscay",ERR3711682,SAMEA6356615,I02,I02,Offshore,2013,Winter,2013,NA,NA,462,35.7
"Bay of Biscay",ERR3711683,SAMEA6356616,I03,I03,Offshore,2013,Winter,2013,NA,NA,133,35.7
"Bay of Biscay",ERR3711684,SAMEA6356617,I04,I04,Offshore,2013,Winter,2013,NA,NA,423,35.7
"Bay of Biscay",ERR3711685,SAMEA6356617,I04,I04,Offshore,2013,Winter,2013,NA,NA,423,35.7
"Bay of Biscay",ERR3711686,SAMEA6356618,I05,I05,Offshore,2013,Winter,2013,NA,NA,113,35.7
"Bay of Biscay",ERR3711687,SAMEA6356619,I06,I06,Offshore,2013,Winter,2013,NA,NA,124,35.7
"Bay of Biscay",ERR3711688,SAMEA6356620,I07,I07,Offshore,2013,Winter,2013,NA,NA,98,35.7
"Bay of Biscay",ERR3711689,SAMEA6356621,I08,I08,Offshore,2013,Winter,2013,NA,NA,128,35.7
"Bay of Biscay",ERR3711690,SAMEA6356622,I09,I09,Offshore,2013,Winter,2013,NA,NA,147,35.7
"Bay of Biscay",ERR3711691,SAMEA6356623,I10,I10,Offshore,2013,Winter,2013,NA,NA,164,35.7
"Bay of Biscay",ERR3711692,SAMEA6356624,I11,I11,Offshore,2013,Winter,2013,NA,NA,754,35.7
"Bay of Biscay",ERR3711693,SAMEA6356625,LBI10_Wi2013,LBI10,Coastal,2013-03-15,Winter,2013,420,98.9,33,35.4
"Bay of Biscay",ERR3711694,SAMEA6356626,LD10_Wi2013,LD10,Coastal,2013-03-07,Winter,2013,458,95.5,40,35.7
"Bay of Biscay",ERR3711695,SAMEA6356626,LD10_Wi2013,LD10,Coastal,2013-03-07,Winter,2013,458,95.5,40,35.7
"Bay of Biscay",ERR3711696,SAMEA6356627,LL10_Wi2013,LL10,Coastal,2013-03-07,Winter,2013,464,95.2,35,35.7
"Bay of Biscay",ERR3711697,SAMEA6356628,LN10_Wi2017,LN10,Coastal,2017-02-14,Winter,2017,286,94.7,33,35.5
"Bay of Biscay",ERR3711698,SAMEA6356629,LN20_Wi2013,LN20,Coastal,2013-02-18,Winter,2013,472,102.1,32,35.1
"Bay of Biscay",ERR3711699,SAMEA6356630,LN20_Wi2017,LN20,Coastal,2017-02-14,Winter,2017,433,94.7,34,35.6
"Bay of Biscay",ERR3711700,SAMEA6356631,LO10_Wi2013,LO10,Coastal,2013-03-07,Winter,2013,454,93.6,31,35.7
"Bay of Biscay",ERR3711701,SAMEA6356632,LOI10_Wi2013,LOI10,Coastal,2013-03-07,Winter,2013,484,94.2,36,35.6
"Bay of Biscay",ERR3711702,SAMEA6356633,LOK10_Wi2013,LOK10,Coastal,2013-03-06,Winter,2013,333,94.2,36,35.6
"Bay of Biscay",ERR3711704,SAMEA6356634,LRF10_Wi2013,LRF10,Offshore,2013-03-15,Winter,2013,120,90,105,35.7
"Bay of Biscay",ERR3711705,SAMEA6356635,LRF20_Wi2013,LRF20,Offshore,2013-03-06,Winter,2013,437,90.8,103,35.7
"Bay of Biscay",ERR3711706,SAMEA6356636,LU10_Wi2013,LU10,Coastal,2013-03-07,Winter,2013,458,92.9,33,35.7
"Bay of Biscay",ERR3711707,SAMEA6356637,LUR20_Wi2013,LUR20,Coastal,2013-03-07,Winter,2013,294,97.8,35,35.2
"Bay of Biscay",ERR3711708,SAMEA6356638,LUR20_Wi2017,LUR20,Coastal,2017-03-27,Winter,2017,340,93.8,37,35.5
"Bay of Biscay",ERR3711709,SAMEA6356639,PB01_Su2017,PB01,Port,2017,Summer,2017,NA,NA,NA,NA
"Bay of Biscay",ERR3711710,SAMEA6356640,PB02_Su2017,PB02,Port,2017,Summer,2017,NA,NA,NA,NA
"Bay of Biscay",ERR3711711,SAMEA6356641,PB03_Su2017,PB03,Port,2017,Summer,2017,NA,NA,NA,NA
"Bay of Biscay",ERR3711712,SAMEA6356642,PB04_Su2017,PB04,Port,2017,Summer,2017,NA,NA,NA,NA
"Bay of Biscay",ERR3711513,SAMEA6356485,EN10_Wi2018,EN10,Estuarine,2018-02-06,Winter,2018,263,108.8,5,0.1
"Bay of Biscay",ERR3711514,SAMEA6356486,EN15_Su2017,EN15,Estuarine,2017-08-25,Summer,2017,-54,NA,7,32.7
"Bay of Biscay",ERR3711515,SAMEA6356487,EN15_Su2018,EN15,Estuarine,2018-08-30,Summer,2018,-69,NA,7,22.4
"Bay of Biscay",ERR3711516,SAMEA6356488,EN15_Wi2013,EN15,Estuarine,2013-02-19,Winter,2013,-29,86.7,7,33.3
"Bay of Biscay",ERR3711517,SAMEA6356489,EN15_Wi2015,EN15,Estuarine,2015-03-03,Winter,2015,-149,97.2,7,30
"Bay of Biscay",ERR3711518,SAMEA6356490,EN15_Wi2016,EN15,Estuarine,2016-01-21,Winter,2016,-123,88.2,7,33.3
"Bay of Biscay",ERR3711519,SAMEA6356491,EN15_Wi2017,EN15,Estuarine,2017-02-23,Winter,2017,-130,77.6,8,30.6
"Bay of Biscay",ERR3711521,SAMEA6356492,EN15_Wi2018,EN15,Estuarine,2018-02-06,Winter,2018,-100,107.2,7,17.1
"Bay of Biscay",ERR3711523,SAMEA6356493,EN15_Wi2019,EN15,Estuarine,2019-02-12,Winter,2019,-130,93.9,7,33.1
"Bay of Biscay",ERR3711524,SAMEA6356493,EN15_Wi2019,EN15,Estuarine,2019-02-12,Winter,2019,-130,93.9,7,33.1
"Bay of Biscay",ERR3711525,SAMEA6356494,EN17_Su2017,EN17,Estuarine,2017-08-25,Summer,2017,-48,82.4,7,34
"Bay of Biscay",ERR3711526,SAMEA6356495,EN17_Su2018,EN17,Estuarine,2018-08-30,Summer,2018,-134,95.7,8,33.8
"Bay of Biscay",ERR3711527,SAMEA6356496,EN17_Wi2013,EN17,Estuarine,2013-02-19,Winter,2013,137,92.2,9,33.9
"Bay of Biscay",ERR3711529,SAMEA6356497,EN17_Wi2015,EN17,Estuarine,2015-03-03,Winter,2015,30,98.9,9,31.4
"Bay of Biscay",ERR3711530,SAMEA6356498,EN17_Wi2016,EN17,Estuarine,2016-01-21,Winter,2016,-145,96.1,9,34.7
"Bay of Biscay",ERR3711531,SAMEA6356499,EN17_Wi2017,EN17,Estuarine,2017-02-23,Winter,2017,-64,98.2,9,32.6
"Bay of Biscay",ERR3711533,SAMEA6356500,EN17_Wi2018,EN17,Estuarine,2018-02-06,Winter,2018,-123,102.8,8,32.4
"Bay of Biscay",ERR3711534,SAMEA6356501,EN17_Wi2019,EN17,Estuarine,2019-02-12,Winter,2019,-144,96.9,8,33.3
"Bay of Biscay",ERR3711535,SAMEA6356502,EN20_Su2017,EN20,Estuarine,2017-08-25,Summer,2017,-95,89.8,14,35.4
"Bay of Biscay",ERR3711536,SAMEA6356503,EN20_Su2018,EN20,Estuarine,2018-08-30,Summer,2018,-126,96.7,13,35.1
"Bay of Biscay",ERR3711537,SAMEA6356504,EN20_Wi2013,EN20,Estuarine,2013-02-19,Winter,2013,71,95.6,14,34.6
"Bay of Biscay",ERR3711539,SAMEA6356505,EN20_Wi2015,EN20,Estuarine,2015-03-03,Winter,2015,41,97,13,33.7
"Bay of Biscay",ERR3711540,SAMEA6356506,EN20_Wi2016,EN20,Estuarine,2016-01-21,Winter,2016,-91,99.5,14,35.3
"Bay of Biscay",ERR3711542,SAMEA6356507,EN20_Wi2017,EN20,Estuarine,2017-02-14,Winter,2017,-7,98.5,17,34.3
"Bay of Biscay",ERR3711544,SAMEA6356508,EN20_Wi2018,EN20,Estuarine,2018-02-06,Winter,2018,28,92.5,11,34.7
"Bay of Biscay",ERR3711546,SAMEA6356509,EN20_Wi2019,EN20,Estuarine,2019-02-12,Winter,2019,-4,97.3,15,35.3
"Bay of Biscay",ERR3711547,SAMEA6356510,EN30_Su2017,EN30,Estuarine,2017-08-25,Summer,2017,383,88.1,22,35.6
"Bay of Biscay",ERR3711549,SAMEA6356511,EN30_Su2018,EN30,Estuarine,2018-08-30,Summer,2018,316,92.3,21,35.4
"Bay of Biscay",ERR3711550,SAMEA6356512,EN30_Wi2013,EN30,Estuarine,2013-02-19,Winter,2013,450,100.3,23,35.1
"Bay of Biscay",ERR3711551,SAMEA6356513,EN30_Wi2016,EN30,Estuarine,2016-01-21,Winter,2016,300,103.2,23,35.4
"Bay of Biscay",ERR3711552,SAMEA6356514,EN30_Wi2017,EN30,Estuarine,2017-02-14,Winter,2017,370,95,21,35.2
