name,Run,BioSample,sample,Lake,Domain,depth,"ORP (mV)","T (°C)"
"Finnish Lakes",SRR8475309,SAMN10790806,Kuiva1_0m_Prok_515FB_806RB,Kuiva,Prokaryote,0,NA,11.1
"Finnish Lakes",SRR8475279,SAMN10790805,Kuiva2_1m_Prok_515FB_806RB,Kuiva,Prokaryote,1,NA,11.1
"Finnish Lakes",SRR8475301,SAMN10790817,Kuiva10_2m_Prok_515FB_806RB,Kuiva,Prokaryote,2,NA,11
"Finnish Lakes",SRR8475287,SAMN10790801,Kuiva4_3m_Prok_515FB_806RB,Kuiva,Prokaryote,3,NA,10.9
"Finnish Lakes",SRR8475278,SAMN10790799,Kuiva7_4m_Prok_515FB_806RB,Kuiva,Prokaryote,4,NA,10.9
"Finnish Lakes",SRR8475293,SAMN10790800,Kuiva5_5m_Prok_515FB_806RB,Kuiva,Prokaryote,5,NA,10.9
"Finnish Lakes",SRR8475292,SAMN10790797,Kuiva9_6m_Prok_515FB_806RB,Kuiva,Prokaryote,6,NA,10.9
"Finnish Lakes",SRR8475306,SAMN10790816,Kuiva11_7m_Prok_515FB_806RB,Kuiva,Prokaryote,7,216,10.8
"Finnish Lakes",SRR8475286,SAMN10790798,Kuiva8_8m_Prok_515FB_806RB,Kuiva,Prokaryote,8,198,7.9
"Finnish Lakes",SRR8475285,SAMN10790809,Kuiva14_9m_Arc_340F_806R,Kuiva,Archaea,9,203,6.2
"Finnish Lakes",SRR8475276,SAMN10790808,Kuiva14_9m_Bac_27F_338R,Kuiva,Bacteria,9,203,6.2
"Finnish Lakes",SRR8475288,SAMN10790807,Kuiva14_9m_Prok_515FB_806RB,Kuiva,Prokaryote,9,203,6.2
"Finnish Lakes",SRR8475296,SAMN10790815,Kuiva12_10m_Arc_340F_806R,Kuiva,Archaea,10,191,5.6
"Finnish Lakes",SRR8475273,SAMN10790814,Kuiva12_10m_Bac_27F_338R,Kuiva,Bacteria,10,191,5.6
"Finnish Lakes",SRR8475310,SAMN10790813,Kuiva12_10m_Prok_515FB_806RB,Kuiva,Prokaryote,10,191,5.6
"Finnish Lakes",SRR8475303,SAMN10790812,Kuiva13_11m_Arc_340F_806R,Kuiva,Archaea,11,164,5.4
"Finnish Lakes",SRR8475294,SAMN10790811,Kuiva13_11m_Bac_27F_338R,Kuiva,Bacteria,11,164,5.4
"Finnish Lakes",SRR8475291,SAMN10790810,Kuiva13_11m_Prok_515FB_806RB,Kuiva,Prokaryote,11,164,5.4
"Finnish Lakes",SRR8475275,SAMN10790804,Kuiva3_11_5m_Arc_340F_806R,Kuiva,Archaea,11.5,156,5.2
"Finnish Lakes",SRR8475284,SAMN10790803,Kuiva3_11_5m_Bac_27F_338R,Kuiva,Bacteria,11.5,156,5.2
"Finnish Lakes",SRR8475297,SAMN10790802,Kuiva3_11_5m_Prok_515FB_806RB,Kuiva,Prokaryote,11.5,156,5.2
"Finnish Lakes",SRR8475299,SAMN10790785,Lovo5_3_15m_Arc_340F_806R,Lovo,Archaea,3.15,95,11.7
"Finnish Lakes",SRR8475295,SAMN10790784,Lovo5_3_15m_Bac_27F_338R,Lovo,Bacteria,3.15,95,11.7
"Finnish Lakes",SRR8475282,SAMN10790783,Lovo5_3_15m_Prok_515FB_806RB,Lovo,Prokaryote,3.15,95,11.7
"Finnish Lakes",SRR8475283,SAMN10790782,Lovo7_3_4m_Arc_340F_806R,Lovo,Archaea,3.4,85,11.1
"Finnish Lakes",SRR8475281,SAMN10790781,Lovo7_3_4m_Prok_515FB_806RB,Lovo,Prokaryote,3.4,85,11.1
"Finnish Lakes",SRR8475289,SAMN10790780,Lovo9_3_65m_Prok_515FB_806RB,Lovo,Prokaryote,3.65,80,10.1
"Finnish Lakes",SRR8475274,SAMN10790796,Lovo11_3_9m_Arc_340F_806R,Lovo,Archaea,3.9,71,8.2
"Finnish Lakes",SRR8475277,SAMN10790795,Lovo11_3_9m_Bac_27F_338R,Lovo,Bacteria,3.9,71,8.2
"Finnish Lakes",SRR8475290,SAMN10790794,Lovo11_3_9m_Prok_515FB_806RB,Lovo,Prokaryote,3.9,71,8.2
"Finnish Lakes",SRR8475308,SAMN10790791,Lovo1_5_9m_Arc_340F_806R,Lovo,Archaea,5.9,50,5.6
"Finnish Lakes",SRR8475304,SAMN10790790,Lovo1_5_9m_Bac_27F_338R,Lovo,Bacteria,5.9,50,5.6
"Finnish Lakes",SRR8475302,SAMN10790789,Lovo1_5_9m_Prok_515FB_806RB,Lovo,Prokaryote,5.9,50,5.6
"Finnish Lakes",SRR8475298,SAMN10790788,Lovo3_7_9m_Arc_340F_806R,Lovo,Archaea,7.9,-10,4.8
"Finnish Lakes",SRR8475305,SAMN10790787,Lovo3_7_9m_Bac_27F_338R,Lovo,Bacteria,7.9,-10,4.8
"Finnish Lakes",SRR8475300,SAMN10790786,Lovo3_7_9m_Prok_515FB_806RB,Lovo,Prokaryote,7.9,-10,4.8
"Finnish Lakes",SRR8475307,SAMN10790793,Lovo13_13_9m_Arc_340F_806R,Lovo,Archaea,13.9,-145,4.7
"Finnish Lakes",SRR8475280,SAMN10790792,Lovo13_13_9m_Prok_515FB_806RB,Lovo,Prokaryote,13.9,-145,4.7
