protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
ERR7672491,CZH+22,NA,NA,699956,1347309,183157,948836,1016794,650025,1179679,371354,1094939,935734,1520076,398690,735755,653319,561048,825456,1046023,996171,1211585,191178,670533
ERR7672496,CZH+22,NA,NA,704853,2518857,245896,1197148,1337021,814939,1879580,517003,964574,681647,2714662,439653,618403,1149167,953914,1677009,1307568,1005625,1571747,341429,613065
ERR7672497,CZH+22,NA,NA,654974,1515979,138580,1157618,1480414,951094,1392641,432466,1503728,1395406,2058331,483447,909560,749603,866423,859451,1282431,1207015,1470809,193327,787132
ERR7672501,CZH+22,NA,NA,767560,1930992,228185,1353416,1576967,996276,1713249,536722,1669250,1439996,2302821,586198,1073736,941097,885515,1106207,1519962,1454789,1801687,255869,930305
ERR7672502,CZH+22,NA,NA,786914,1922188,252510,1412277,1605099,1057253,1714102,533238,1690582,1576766,2348641,583806,1174433,942428,920748,1159099,1571803,1500010,1772292,265230,1036343
ERR7672506,CZH+22,NA,NA,779451,1950825,275093,1335111,1637120,1055309,1742736,522404,1687854,1545970,2336940,596399,1118746,953948,892777,1179339,1523598,1383310,1717481,260703,993972
ERR7672511,CZH+22,NA,NA,746151,2116614,252298,1285484,1456593,1011567,1743779,522185,1521622,1367009,2313290,549454,1062146,964194,917735,1184610,1427669,1345111,1677236,268016,863455
ERR7672513,CZH+22,NA,NA,682523,1877208,235492,1126883,1232995,864533,1534191,500224,1501697,1084880,2321290,514315,950996,925187,982465,1096487,1352144,1193662,1451282,278272,730467
ERR7672515,CZH+22,NA,NA,557140,1133190,122497,1042910,1146473,759124,1135594,422043,1487552,1227373,1635786,432752,988027,598941,688027,650734,1096524,1042021,1233277,138203,694846
ERR7672519,CZH+22,NA,NA,681959,1967454,215851,1154232,1339875,920317,1590842,482633,1337252,1213576,2135694,488809,959814,887340,897156,1070700,1276956,1201226,1542518,253011,716630
ERR7672520,CZH+22,NA,NA,494746,976941,124669,930259,994609,659795,970564,355202,1201958,1140689,1445248,354736,887645,539718,623241,625841,1018393,946933,1058810,145877,656591
ERR7672526,CZH+22,NA,NA,694561,2222033,252779,1132000,1162583,872781,1680844,519184,1290393,875797,2412015,559217,836973,1012964,992572,1313674,1337471,1176070,1563065,339394,659158
ERR7672532,CZH+22,NA,NA,822554,2283606,233461,1484129,1704210,1035526,1922163,559989,1662013,1430489,2534608,589983,1046744,1075419,951175,1312072,1658768,1562119,1967821,285687,953245
ERR7672536,CZH+22,NA,NA,635646,1929024,209296,1072745,1230605,877744,1505962,457849,1224244,1116148,2001926,465449,878411,848426,843625,1039627,1182044,1120475,1433243,239910,660563
ERR7672539,CZH+22,NA,NA,747801,2236479,282823,1225220,1278776,950700,1760274,574765,1431343,999053,2548349,615274,944301,1054307,1031105,1353429,1444620,1341362,1729695,353764,728514
ERR7672540,CZH+22,NA,NA,677641,2065011,254880,1116045,1147687,846712,1615335,521894,1291388,887062,2325291,557772,851753,962250,944080,1265104,1294133,1205730,1555203,316799,655461
ERR7672545,CZH+22,NA,NA,695258,1594313,162454,1115147,1589544,1020264,1465484,427991,1634298,1509970,2171498,533589,1020682,808769,950021,885659,1326589,1350330,1547290,209878,833660
ERR7672546,CZH+22,NA,NA,653651,1703049,156490,1052309,1441480,891393,1456196,401731,1410074,1252527,2037313,488877,885851,817442,880638,894686,1236645,1308420,1537926,213055,720962
ERR7672548,CZH+22,NA,NA,747520,2580329,261863,1254830,1386896,884077,1936984,548249,1112258,793755,2804408,495969,720431,1181744,1026958,1681430,1389862,1119043,1672919,356039,678308
ERR7672551,CZH+22,NA,NA,687266,1179090,183568,908106,996658,668498,1090350,368061,1124195,1021660,1500813,401537,785503,607119,581880,744692,1026242,978713,1139905,176012,743622
ERR7672553,CZH+22,NA,NA,733569,1266134,203915,965290,1085036,726905,1162665,386537,1196631,1103482,1597134,430682,836489,647053,614833,814726,1082981,1029378,1203353,184149,788410
ERR7672559,CZH+22,NA,NA,770731,1896987,256658,1350694,1573211,1021516,1689485,551553,1660780,1504535,2368996,577582,1069233,950305,932830,1073322,1569599,1440003,1777772,263722,910478
ERR7672564,CZH+22,NA,NA,812463,2051285,289447,1439120,1602829,1066131,1808718,566653,1723596,1556002,2411642,615737,1203956,1004247,922385,1254196,1629718,1546845,1812132,289555,1079668
ERR7672583,CZH+22,NA,NA,590668,1453775,125397,1077850,1336325,827527,1269301,381155,1281816,1220972,1866257,411210,809226,675738,770140,801096,1166549,1078349,1338614,189563,710506
ERR7672586,CZH+22,NA,NA,777178,2081407,247390,1366015,1621904,991270,1795064,523880,1635408,1429898,2361539,563574,1063810,987163,880733,1175734,1534863,1421324,1789589,271663,882316
ERR7672587,CZH+22,NA,NA,807300,2349747,249204,1393118,1647777,1021769,1900244,555971,1555591,1342392,2492797,564897,1037247,1081800,939673,1339129,1606975,1510263,1905046,297058,890372
ERR7672590,CZH+22,NA,NA,793490,2179555,260086,1361844,1585522,1045037,1824949,557027,1608483,1431004,2473022,576327,1111530,1029723,959143,1262221,1570576,1470844,1793364,286135,965342
ERR7672593,CZH+22,NA,NA,722761,1688985,278437,1295659,1405206,1003638,1552332,523716,1546891,1490813,2122349,563362,1130914,868375,847673,1087764,1452768,1356805,1552188,259220,1007434
ERR7672594,CZH+22,NA,NA,799165,1934010,293900,1444459,1547725,1059352,1754262,571927,1722890,1581987,2331588,627762,1241329,969013,921709,1211545,1593963,1539515,1781254,286317,1100476
ERR7672597,CZH+22,NA,NA,802603,1972937,281125,1424181,1610227,1078304,1758872,538581,1748696,1641087,2353535,606208,1231617,958403,899407,1197816,1588043,1494394,1762044,271782,1059156
ERR7672601,CZH+22,NA,NA,776108,1860119,275581,1364727,1565477,1034998,1695200,524584,1691722,1565675,2305946,591957,1189545,924368,876806,1163069,1556823,1459385,1691094,266943,1077622
ERR7672602,CZH+22,NA,NA,735993,1759881,268045,1322023,1441013,988577,1607814,514974,1620555,1489497,2140808,586372,1157314,866335,836180,1091727,1452808,1400391,1643531,254082,1011428
ERR7672604,CZH+22,NA,NA,787696,2005516,262592,1393734,1588734,1031356,1760395,538046,1659538,1511287,2352977,584098,1144213,968930,883190,1207061,1583766,1476663,1814437,267027,997552
