protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
metaproteome,DffDRAFT,PMM+18,NA,26770,841280,38161,494783,527037,306175,737692,125473,601820,616587,671756,238418,431808,305800,273874,308381,518735,571555,665608,71056,275828
metaproteome,FcsdDRAFT,PMM+18,NA,10341,332258,16665,193968,182302,131176,304918,39124,193183,168335,276021,66444,147959,140574,106326,149267,188518,216788,251445,37308,114923
