Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR5962904,15172594,15172594,/home/ARAST/work/SRR5962904_pass_1.fastq,15172594,15020514,14996201,7388946,7388858,38071,7350787,6213722,31.5400853144058
SRR5950682,2536220,2536220,/home/ARAST/work/SRR5950682_pass_1.fastq,2536220,2530284,2530113,1931279,1896705,13054,1883651,1684756,31.886317662617
SRR5950714,4933373,4933373,/home/ARAST/work/SRR5950714_pass_1.fastq,4933373,4910462,4909838,3627017,3595123,13926,3581197,3209419,31.8525617876631
SRR5950737,7055799,7055799,/home/ARAST/work/SRR5950737_pass_1.fastq,7055799,7055799,7055770,5107729,5107674,21331,5086343,4580787,31.9258852245258
SRR5950719,7250952,7250952,/home/ARAST/work/SRR5950719_pass_1.fastq,7250952,7142997,7103375,5001330,5001300,18975,4982325,4087467,31.1523765207156
SRR5950715,13267975,13267975,/home/ARAST/work/SRR5950715_pass_1.fastq,13267975,13090626,13044075,6857084,6857042,29666,6827376,5705664,31.3255792840237
SRR5950723,14459928,14459928,/home/ARAST/work/SRR5950723_pass_1.fastq,14459928,14303747,14258519,10099685,10099601,39214,10060387,8386421,31.3423644007378
SRR5950751,747950,747950,/home/ARAST/work/SRR5950751_pass_1.fastq,747950,743088,742437,580358,526655,3477,523178,418476,31.2142918590313
SRR5950700,10687978,10687978,/home/ARAST/work/SRR5950700_pass_1.fastq,10687978,10595029,10583787,7503811,7502583,37068,7465515,6149736,31.3191532124306
SRR5950713,8614578,8614578,/home/ARAST/work/SRR5950713_pass_1.fastq,8614578,8501974,8481508,6213702,6202554,29615,6172939,5256832,31.5081039302759
SRR5950762,44454,44454,/home/ARAST/work/SRR5950762_pass_1.fastq,44454,44026,43832,35695,29807,242,29565,22680,30.7952821869489
SRR5950763,10021425,10021425,/home/ARAST/work/SRR5950763_pass_1.fastq,10021425,9876507,9854687,7496558,7496497,32166,7464331,6489147,31.6304468060286
SRR5950765,5243135,5243135,/home/ARAST/work/SRR5950765_pass_1.fastq,5243135,5188470,5156369,4159232,4159216,16430,4142786,3324524,31.0430365369599
SRR5950764,11768638,11768638,/home/ARAST/work/SRR5950764_pass_1.fastq,11768638,11643972,11611018,8623614,8623576,34024,8589552,7244591,31.4241793636107
SRR5950793,10655239,10655239,/home/ARAST/work/SRR5950793_pass_1.fastq,10655239,10522236,10491768,6870081,6869709,25976,6843733,5796667,31.4480407447935
