Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR12328886,9592566,9592566,/home/ARAST/work/SRR12328886_pass_1.fastq,9592566,9546027,9523933,6381142,6377574,23738,6353836,6106058,47.1535301498938
SRR12328887,15816087,15816087,/home/ARAST/work/SRR12328887_pass_1.fastq,15816087,15748281,15529137,5159046,5150938,21393,5129545,4738433,45.1570124553835
SRR12328888,20058241,20058241,/home/ARAST/work/SRR12328888_pass_1.fastq,20058241,19911241,19537455,4906714,4899459,18481,4880978,4482043,45.2963055017544
SRR12328889,29477369,29477369,/home/ARAST/work/SRR12328889_pass_1.fastq,29477369,29314965,28466151,12830788,12828826,72409,12756417,11899008,44.9847300716161
SRR12328890,36009689,36009689,/home/ARAST/work/SRR12328890_pass_1.fastq,36009689,35727469,34802359,18242542,18241593,96083,18145510,16926479,45.0676568942661
SRR12328891,17594695,17594695,/home/ARAST/work/SRR12328891_pass_1.fastq,17594695,17464470,17042115,4834794,4810921,18157,4792764,4371776,45.0122083107643
SRR12328892,10534480,10534480,/home/ARAST/work/SRR12328892_pass.fastq,10534480,10485353,10460078,5650990,5650409,16877,5633532,5374139,46.9437457795565
SRR12328893,15679480,15679480,/home/ARAST/work/SRR12328893_pass_1.fastq,15679480,15599171,15553191,11582659,11579208,65797,11513411,11070796,46.793709594143
SRR12328894,6081353,6081353,/home/ARAST/work/SRR12328894_pass_1.fastq,6081353,6047366,5918353,4933208,4932261,32312,4899949,4588275,45.7101385596984
SRR12328895,11332780,11332780,/home/ARAST/work/SRR12328895_pass_1.fastq,11332780,11277093,11251739,9430475,9429777,60500,9369277,8979203,46.7286020819442
SRR12328896,8836985,8836985,/home/ARAST/work/SRR12328896_pass_1.fastq,8836985,8793502,8772991,7239228,7226926,38695,7188231,6892568,47.0187883529042
SRR12328897,12313208,12313208,/home/ARAST/work/SRR12328897_pass_1.fastq,12313208,12245345,12193960,8516352,8512571,46649,8465922,8100128,46.2316567096224
SRR12328898,12922326,12922326,/home/ARAST/work/SRR12328898_pass_1.fastq,12922326,12856496,12821827,11232289,11230500,65814,11164686,10763884,46.7743750304258
SRR12328899,15240111,15240111,/home/ARAST/work/SRR12328899_pass_1.fastq,15240111,15168651,15091594,11324711,11324172,56793,11267379,10787741,45.9435910632263
SRR12328900,5776935,5776935,/home/ARAST/work/SRR12328900_pass_1.fastq,5776935,5748589,5726888,5092459,5091650,30180,5061470,4842950,45.9983805325267
SRR12328901,53599606,53599606,/home/ARAST/work/SRR12328901_pass_1.fastq,53599606,53310247,53113859,29084441,29006288,119437,28886851,27626475,46.5444741683476
SRR12328902,3751073,3751073,/home/ARAST/work/SRR12328902_pass_1.fastq,3751073,3729766,3706791,3411046,3410932,22125,3388807,3246497,46.7840044207649
SRR12328903,13018722,13018722,/home/ARAST/work/SRR12328903_pass_1.fastq,13018722,12953852,12839757,10255255,10254847,57374,10197473,9681490,45.8309991540558
SRR12328904,11404379,11404379,/home/ARAST/work/SRR12328904_pass_1.fastq,11404379,11347336,11313989,9249014,9246836,57352,9189484,8801394,46.6532041401623
SRR12328905,5235501,5235501,/home/ARAST/work/SRR12328905_pass_1.fastq,5235501,5206745,5185662,4498001,4496640,27143,4469497,4284829,46.2643361030277
SRR12328906,13730310,13730310,/home/ARAST/work/SRR12328906_pass_1.fastq,13730310,13660264,13621917,11754266,11751549,69345,11682204,11215406,46.5794105893269
SRR12328907,10776976,10776976,/home/ARAST/work/SRR12328907_pass_1.fastq,10776976,10720605,10666427,9113294,9112609,54663,9057946,8638214,45.7486861288688
SRR12328908,85814201,85814201,/home/ARAST/work/SRR12328908_pass_1.fastq,85814201,85336729,82371687,50054578,50053111,247106,49806005,46187799,44.717230149893
SRR12328909,23525722,23525722,/home/ARAST/work/SRR12328909_pass_1.fastq,23525722,23399280,23315082,17623784,17619271,98071,17521200,16799154,46.7172093904253
SRR12328910,11141802,11141802,/home/ARAST/work/SRR12328910_pass_1.fastq,11141802,11074249,10988869,10225636,1517960,46862,1471098,1361639,45.722320673835
SRR12328911,14738919,14738919,/home/ARAST/work/SRR12328911_pass_1.fastq,14738919,14671323,14467612,8302975,8302609,32164,8270445,7784826,45.3925290045018
SRR12328912,12381579,12381579,/home/ARAST/work/SRR12328912_pass_1.fastq,12381579,12323918,12273192,8833238,8831868,35678,8796190,8432653,46.8997115142767
SRR12328913,8255096,8255096,/home/ARAST/work/SRR12328913_pass_1.fastq,8255096,8218811,8189771,6102442,6099627,29885,6069742,5823302,46.4913686427391
SRR12328914,17866166,17866166,/home/ARAST/work/SRR12328914_pass_1.fastq,17866166,17776679,17178735,12868273,12867935,61230,12806705,11797495,44.5213015983478
SRR12328915,7788038,7788038,/home/ARAST/work/SRR12328915_pass_1.fastq,7788038,7744972,7691648,5430600,4850286,22905,4827381,4554212,46.3163473724982
SRR12328916,11624990,11624990,/home/ARAST/work/SRR12328916_pass_1.fastq,11624990,11569237,11490982,9287400,9286920,54415,9232505,8819926,46.2395818286911
SRR12328917,12704539,12704539,/home/ARAST/work/SRR12328917_pass_1.fastq,12704539,12646282,12588783,9198858,9193725,57121,9136604,8774157,46.5823718449533
SRR12328918,1359977,1359977,/home/ARAST/work/SRR12328918_pass_1.fastq,1359977,1353691,1349249,1266028,1265998,9080,1256918,1210804,47.0279169873902
SRR12328919,142899343,142899343,/home/ARAST/work/SRR12328919_pass_1.fastq,142899343,142174048,138529724,47607140,47492676,182857,47309819,44241808,45.0788379172931
SRR12328920,10954218,10954218,/home/ARAST/work/SRR12328920_pass_1.fastq,10954218,10906143,10859250,7474689,7471918,35977,7435941,7167272,46.8957303420325
SRR12328921,10172347,10172347,/home/ARAST/work/SRR12328921_pass_1.fastq,10172347,10124697,10079143,7481320,7481114,34095,7447019,7103262,46.2022218805951
SRR12328922,11922311,11922311,/home/ARAST/work/SRR12328922_pass_1.fastq,11922311,11870217,11840792,8596686,8595170,45010,8550160,8205403,46.9786644239168
SRR12328923,7205573,7205573,/home/ARAST/work/SRR12328923_pass_1.fastq,7205573,7166341,7125787,5207196,5206741,20043,5186698,4978686,46.2055072362467
SRR12328924,22991423,22991423,/home/ARAST/work/SRR12328924_pass_1.fastq,22991423,22880908,22846224,13219871,13219117,41997,13177120,12709858,47.2010081465898
SRR12328925,33409210,33409210,/home/ARAST/work/SRR12328925_pass_1.fastq,33409210,33243605,33165141,10912115,10911492,35174,10876318,10494321,47.2301471433931
SRR12328926,10119197,10119197,/home/ARAST/work/SRR12328926_pass_1.fastq,10119197,10078295,9976379,3646977,3606388,26993,3579395,3268083,45.7543048937252
SRR12328927,18255705,18255705,/home/ARAST/work/SRR12328927_pass_1.fastq,18255705,18152173,17950371,8684509,8578238,74112,8504126,7458768,45.4244416772314
SRR12328928,14802725,14802725,/home/ARAST/work/SRR12328928_pass_1.fastq,14802725,14721532,14613013,8380100,6961070,59876,6901194,6361251,45.5769248847436
SRR12328929,9149165,9149165,/home/ARAST/work/SRR12328929_pass_1.fastq,9149165,9109121,9070056,3094603,3093900,15229,3078671,2990434,46.7167498095594
SRR12328930,24217709,24217709,/home/ARAST/work/SRR12328930_pass_1.fastq,24217709,24107029,23911895,10846639,10826865,49784,10777081,10213125,45.8155892540236
SRR12328931,16442256,16442256,/home/ARAST/work/SRR12328931_pass.fastq,16442256,16366569,16286511,9519474,9518493,31333,9487160,9125360,46.3963910464902
SRR12328932,4034412,4034412,/home/ARAST/work/SRR12328932_pass_1.fastq,4034412,4015764,4006930,3228385,3228079,16098,3211981,3092730,47.0106026067584
SRR12328933,9075756,9075756,/home/ARAST/work/SRR12328933_pass_1.fastq,9075756,9037141,9007896,5575300,5575092,27771,5547321,5343229,47.0896667539422
