protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
SRR12328886,ZZL+20,9592566,COVID-19,6106058,21316616,3783781,15964662,19253139,12762924,20713196,5473044,19626106,17627650,26526166,7450209,13308721,11317799,10118337,13501540,17821157,16119141,19234502,3306629,12524016
SRR12328887,ZZL+20,15816087,COVID-19,4738433,14713369,1845331,11581182,15211127,10179991,13931911,3967404,16186617,15018179,20739821,5094242,10352436,7508189,8456742,8733373,13292658,12199416,14380054,2057168,8363531
SRR12328888,ZZL+20,20058241,COVID-19,4482043,14127775,1640034,10851180,14724358,9689457,13090117,3797441,15634946,14435622,20023973,4860841,9566891,6949844,8227526,8144256,12475534,11506064,13782282,1799382,7523283
SRR12328889,ZZL+20,29477369,COVID-19,11899008,42459543,7394711,30824934,36910623,22454406,38118890,10925840,36589016,34132245,47683001,14742695,22986838,19825016,18634743,25060213,32351490,29991325,37596823,5413142,20802684
SRR12328890,ZZL+20,36009689,COVID-19,16926479,60580196,10556923,43425593,50913499,32024817,53882514,15926458,52141057,47564835,68995189,20947931,34079417,28300525,26916456,35999551,45725012,42589961,53264791,8113009,30367723
SRR12328891,ZZL+20,17594695,COVID-19,4371776,13736498,1609119,10539730,14218691,9353595,12744504,3682160,15010362,13876301,19334805,4684940,9287357,6807737,7899941,7996454,12140209,11182561,13370986,1786685,7362913
SRR12328892,ZZL+20,10534480,COVID-19,5374139,17197621,2855617,14100920,16777479,11689177,17306902,4630788,17822085,16445713,22896718,6189943,12924185,9610938,8964358,11177193,16020306,14525546,16485193,3058901,11454979
SRR12328893,ZZL+20,15679480,Control,11070796,45755230,7874945,29559154,34109563,21436649,37751952,10308397,33116479,30107705,47639033,13117272,21324754,20491007,17660257,26300507,30682309,29015272,36303681,5390343,19765948
SRR12328894,ZZL+20,6081353,Control,4588275,16595637,3112808,12193094,14861062,8645087,14595349,4123977,14765145,13798561,18490675,5725831,9238010,7379618,7100031,9497896,12504495,11738643,14646028,2012709,8560212
SRR12328895,ZZL+20,11332780,Control,8979203,33721276,6175433,23942657,28317054,17626975,29285430,8266832,29299278,27167605,37777070,11132479,18921394,15331096,14445400,19169723,24890941,23631175,28929485,4183330,17094599
SRR12328896,ZZL+20,8836985,COVID-19,6892568,24145166,4501256,18112539,22264143,14169267,22603903,6362662,22468055,21072604,29113710,8544734,15038926,12095781,11165042,15238949,19584519,18064923,21803106,3536808,13984437
SRR12328897,ZZL+20,12313208,Control,8100128,29524236,5480362,21220085,25370411,16074623,25988611,7575734,25122961,24372374,33739881,9914965,17042679,13690624,13211377,17580466,22491998,20757870,25355969,3984936,15740808
SRR12328898,ZZL+20,12922326,Control,10763884,42054339,7456396,28629694,33577569,21424773,36043170,10319175,32840763,30420742,46334462,13088679,20946148,19485445,17539506,25336799,29608584,27985423,34804586,5151948,20103389
SRR12328899,ZZL+20,15240111,Control,10787741,41044247,6823025,26973343,32261632,21180136,35580774,10050479,32577961,29410628,46791294,12742386,21489532,19543426,18103660,24619452,29745842,27403269,33947473,5704599,19317253
SRR12328900,ZZL+20,5776935,Control,4842950,17744514,3180209,12420093,15132364,9563329,15751870,4422397,14904350,13850242,20193343,5817224,9875112,8506756,7820319,10806077,13378567,12435980,15203080,2416312,9206564
SRR12328901,ZZL+20,53599606,Control,27626475,94687179,18307328,71069053,93596916,55601738,89650914,24739645,92036790,87655263,115059695,35194157,57654926,45709040,44831805,57717176,76871424,70651765,86815936,12733114,54399677
SRR12328902,ZZL+20,3751073,Control,3246497,12087017,2268675,8679573,10232596,6477008,10681749,3039384,10212924,9576075,13693398,4000993,6690803,5703143,5250767,7293709,9143313,8438930,10374977,1569831,6370203
SRR12328903,ZZL+20,13018722,Control,9681490,34952210,6676972,24892065,31178672,18845186,31575561,8516335,30658293,29092039,39880893,11850654,19289589,16308524,15083953,20505232,26436077,24637231,30588978,4307081,18144429
SRR12328904,ZZL+20,11404379,Control,8801394,31976609,5893984,23406133,27941949,17620214,28460760,8095167,28547152,26987094,36760807,10869139,18827787,14876291,14132680,18646837,24816838,23044862,28197851,4177815,17063043
SRR12328905,ZZL+20,5235501,Control,4284829,16286707,2876195,11100911,13045817,8551760,14090807,4097811,12721654,12111582,18164043,5125909,8652261,7758800,7002713,9955280,11912311,11013462,13417572,2204650,8020963
SRR12328906,ZZL+20,13730310,Control,11215406,41830612,7581627,29528390,34974620,22091401,36621116,9938385,36122962,33488316,47566293,12986080,24252744,19693490,16998185,25293670,31643430,29014064,35552988,5200957,21700306
SRR12328907,ZZL+20,10776976,COVID-19,8638214,31338335,6009095,22447346,26786338,16892730,27658198,7725469,26840227,25143566,35637794,10330837,17498025,14632269,13487970,18610487,23880153,22230455,27162180,3953030,16672472
SRR12328908,ZZL+20,85814201,Control,46187799,172264453,31548692,117541129,140082237,85504203,149066395,41488364,135582008,125457960,187098843,55030287,87002906,78485056,71726219,99610152,121710354,116334039,143905021,21060698,83628275
SRR12328909,ZZL+20,23525722,Control,16799154,62567168,11703554,44284557,54534468,33344231,55216646,15645746,54175092,51191476,70694975,21129834,34279785,28602478,26972543,36584345,46361232,43512269,53707541,7721742,32064469
SRR12328910,ZZL+20,11141802,COVID-19,1361639,4378358,972274,3250829,4534068,2660534,4365829,1358782,4435838,4099901,5637778,1962164,2921851,2192417,2264029,2844679,3692654,3206989,3997970,890370,2537354
