Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR12442171,39001313,39001313,SRR12442171_pass_1.fastq,39001313,39001313,39000884,32232529,13048180,139333,12908847,12026916,47.3147598270413
SRR12442172,43525453,43525453,SRR12442172_pass_1.fastq,43525453,43525453,43525135,35431132,21902008,157288,21744720,20299215,47.4249293876635
SRR12442173,39316301,39316301,SRR12442173_pass_1.fastq,39316301,39208035,39207043,33758777,2359598,105628,2253970,1982870,46.8981072889297
SRR12442174,42535616,42535616,SRR12442174_pass_1.fastq,42535616,42535616,42534979,36286842,4996167,121165,4875002,4495175,47.3309259372549
SRR12442175,45388564,45388564,SRR12442175_pass_1.fastq,45388564,45218541,45218173,37785514,17989440,167821,17821619,16711990,47.3732723631357
SRR12442176,36097031,36097031,SRR12442176_pass_1.fastq,36097031,36097031,36096539,30947727,5377548,111325,5266223,4905060,47.3043699771257
SRR12442177,39389189,39389189,SRR12442177_pass_1.fastq,39389189,39389189,39388896,32885120,17070655,148393,16922262,15866704,47.4539831334851
SRR12442178,38247136,38247136,SRR12442178_pass_1.fastq,38247136,38247136,38246671,31783785,10051328,113028,9938300,9223693,47.4096554384453
SRR12442179,41837436,41837436,SRR12442179_pass_1.fastq,41837436,41837436,41837043,35113356,14728570,149996,14578574,13566368,47.378801091051
