Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
ERR7672491,16650123,16650123,/home/ARAST/work/ERR7672491_pass_1.fastq,16650123,16555046,16266389,11743929,11743863,54153,11689710,10161143,23.6242032023366
ERR7672496,12714881,12714881,/home/ARAST/work/ERR7672496_pass_1.fastq,12714881,12611253,12602981,4792687,4792585,9188,4783397,4515116,32.1648876795192
ERR7672497,11730480,11730480,/home/ARAST/work/ERR7672497_pass_1.fastq,11730480,11682797,11677086,3791924,3791841,23558,3768283,3521501,32.0692832403001
ERR7672501,5888059,5888059,/home/ARAST/work/ERR7672501_pass_1.fastq,5888059,5863613,5857332,4070437,4070288,28249,4042039,3728087,31.8537236389601
ERR7672502,6656655,6656655,/home/ARAST/work/ERR7672502_pass_1.fastq,6656655,6627216,6623177,4855029,4854848,34461,4820387,4516798,31.9927344548063
ERR7672506,42568349,42568349,/home/ARAST/work/ERR7672506_pass_1.fastq,42568349,42383042,42352546,20167329,20167325,122095,20045230,18898344,32.0001004849949
ERR7672511,21592691,21592691,/home/ARAST/work/ERR7672511_pass_1.fastq,21592691,21498775,21491634,10218892,10218891,70381,10148510,9576260,32.1459119739857
ERR7672513,44209279,44209279,/home/ARAST/work/ERR7672513_pass_1.fastq,44209279,44036143,44022540,7897083,7897082,30660,7866422,7324433,32.1787360195663
ERR7672515,11164920,11164920,/home/ARAST/work/ERR7672515_pass_1.fastq,11164920,11133675,11124417,2477999,2477893,14971,2462922,2220826,31.9852901578062
ERR7672519,51162933,51162933,/home/ARAST/work/ERR7672519_pass_1.fastq,51162933,50969443,50932334,12421000,12421000,69003,12351997,11638064,32.0388102351044
ERR7672520,22265888,22265888,/home/ARAST/work/ERR7672520_pass_1.fastq,22265888,22168883,22141561,6416137,6416077,39753,6376324,5708248,31.8307557765535
ERR7672526,40215883,40215883,/home/ARAST/work/ERR7672526_pass_1.fastq,40215883,40006250,39990923,6580012,6580008,21964,6558044,6257989,32.2383727424257
ERR7672532,7629941,7629941,/home/ARAST/work/ERR7672532_pass_1.fastq,7629941,7596551,7594229,5902568,5902492,40915,5861577,5510866,32.1083174586354
ERR7672536,34927404,34927404,/home/ARAST/work/ERR7672536_pass_1.fastq,34927404,34788148,34776412,6856263,6856262,42356,6813906,6430995,32.1702372649955
ERR7672539,36546342,36546342,/home/ARAST/work/ERR7672539_pass_1.fastq,36546342,36382072,36368541,10613515,10613508,29193,10584315,10163508,32.2598838904835
ERR7672540,10952956,10952956,/home/ARAST/work/ERR7672540_pass_1.fastq,10952956,10899377,10892778,3513261,3513150,14470,3498680,3362633,32.2218907029105
ERR7672545,8470015,8470015,/home/ARAST/work/ERR7672545_pass_1.fastq,8470015,8437985,8433901,3480577,3480477,16556,3463921,3233878,32.1077369028764
ERR7672546,23630942,23630942,/home/ARAST/work/ERR7672546_pass_1.fastq,23630942,23541946,23526842,5478378,5478333,26820,5451513,5065043,32.0874130782305
ERR7672548,42787153,42787153,/home/ARAST/work/ERR7672548_pass_1.fastq,42787153,42493041,42472671,11922294,11922284,30390,11891894,11300833,32.1920751328685
ERR7672551,5197221,5197221,/home/ARAST/work/ERR7672551_pass_1.fastq,5197221,5165374,5063999,4119613,4119458,22717,4096741,3574455,23.6073918961072
ERR7672553,5480140,5480140,/home/ARAST/work/ERR7672553_pass_1.fastq,5480140,5446720,5384698,4592711,4592668,24675,4567993,4116106,23.6149141931719
ERR7672559,12490793,12490793,/home/ARAST/work/ERR7672559_pass_1.fastq,12490793,12439947,12430169,7795906,7795795,104593,7691202,6996687,31.8711997549697
ERR7672564,20648527,20648527,/home/ARAST/work/ERR7672564_pass_1.fastq,20648527,20554814,20545081,14074947,14074792,80548,13994244,13113161,32.0481279075274
ERR7672583,21691828,21691828,/home/ARAST/work/ERR7672583_pass_1.fastq,21691828,21598997,21586756,4430609,4430550,29329,4401221,4098810,32.0239625647444
ERR7672586,43351470,43351470,/home/ARAST/work/ERR7672586_pass_1.fastq,43351470,43072768,42989937,23732169,23732164,155074,23577090,21763283,31.8809985147921
ERR7672587,38646252,38646252,/home/ARAST/work/ERR7672587_pass_1.fastq,38646252,38477105,38455239,20412320,20412320,109523,20302797,19143685,32.0447260284527
ERR7672590,5740088,5740088,/home/ARAST/work/ERR7672590_pass_1.fastq,5740088,5714490,5713042,4276817,4276752,30731,4246021,3999150,32.1017048622832
ERR7672593,11077682,11077682,/home/ARAST/work/ERR7672593_pass_1.fastq,11077682,11026342,11020184,5227079,5227008,27791,5199217,4885296,32.1061161902984
ERR7672594,5387062,5387062,/home/ARAST/work/ERR7672594_pass_1.fastq,5387062,5361160,5358333,4200817,4200735,25538,4175197,3909421,32.063212685459
ERR7672597,6165098,6165098,/home/ARAST/work/ERR7672597_pass_1.fastq,6165098,6138731,6135467,4684233,4684134,29603,4654531,4378868,31.9093809176253
ERR7672601,6381102,6381102,/home/ARAST/work/ERR7672601_pass_1.fastq,6381102,6352892,6348712,4353867,4353761,28663,4325098,4051723,32.0069190317305
ERR7672602,8900102,8900102,/home/ARAST/work/ERR7672602_pass_1.fastq,8900102,8861791,8857191,5025416,5025331,26457,4998874,4683238,32.0813706243415
ERR7672604,5432432,5432432,/home/ARAST/work/ERR7672604_pass_1.fastq,5432432,5407953,5404908,4086860,4086776,26599,4060177,3787823,31.9446352165875
ERR7672605,5716266,5716266,/home/ARAST/work/ERR7672605_pass_1.fastq,5716266,5688156,5686444,4558337,4558264,32047,4526217,4243424,32.1658130321175
ERR7672608,13532554,13532554,/home/ARAST/work/ERR7672608_pass_1.fastq,13532554,13472065,13466452,8052169,8052110,45044,8007066,7488492,32.0170401464006
ERR7672610,11720775,11720775,/home/ARAST/work/ERR7672610_pass_1.fastq,11720775,11669391,11660769,7287163,7287086,41491,7245595,6805038,31.9232639112375
ERR7672611,5275643,5275643,/home/ARAST/work/ERR7672611_pass_1.fastq,5275643,5250329,5247307,4326373,4326282,30793,4295489,4034790,32.0296032755112
ERR7672613,16816672,16816672,/home/ARAST/work/ERR7672613_pass_1.fastq,16816672,16745374,16734687,9853763,9853678,52479,9801199,9215830,32.0003432137963
ERR7672614,12712535,12712535,/home/ARAST/work/ERR7672614_pass_1.fastq,12712535,12655962,12647871,6995310,6995215,34959,6960256,6511848,32.0005631273949
ERR7672619,5472918,5472918,/home/ARAST/work/ERR7672619_pass_1.fastq,5472918,5446919,5444362,3959825,3959684,24923,3934761,3692757,31.9753187117376
ERR7672627,25092305,25092305,/home/ARAST/work/ERR7672627_pass_1.fastq,25092305,24979266,24959924,13500571,13500506,75775,13424731,12606132,31.9988629343243
ERR7672628,8985231,8985231,/home/ARAST/work/ERR7672628_pass_1.fastq,8985231,8943419,8937953,6517532,6517456,45074,6472382,6067939,31.954405111851
ERR7672629,27950924,27950924,/home/ARAST/work/ERR7672629_pass_1.fastq,27950924,27823449,27809037,18300959,18300868,104394,18196474,17169907,32.037672364795
ERR7672630,21517914,21517914,/home/ARAST/work/ERR7672630_pass_1.fastq,21517914,21417111,21407057,11979797,11979763,55197,11924566,11261303,32.0976041582399
ERR7672633,31592953,31592953,/home/ARAST/work/ERR7672633_pass_1.fastq,31592953,31448568,31434075,15715929,15715896,64496,15651400,14706084,32.0930502640948
ERR7672634,15364316,15364316,/home/ARAST/work/ERR7672634_pass_1.fastq,15364316,15293261,15286593,11445055,11444984,72340,11372644,10676573,32.074464999209
ERR7672635,5562512,5562512,/home/ARAST/work/ERR7672635_pass_1.fastq,5562512,5535575,5533758,4538834,4538809,33053,4505756,4225591,32.1210843642937
ERR7672637,19693675,19693675,/home/ARAST/work/ERR7672637_pass_1.fastq,19693675,19595879,19588894,11192154,11192111,55901,11136210,10406201,32.1314225047162
ERR7672638,6555947,6555947,/home/ARAST/work/ERR7672638_pass_1.fastq,6555947,6524720,6521719,4860885,4860795,33213,4827582,4522777,32.0692581128806
ERR7672639,17137293,17137293,/home/ARAST/work/ERR7672639_pass_1.fastq,17137293,17052345,17046853,10726883,10726844,54346,10672498,9970787,32.1164747577097
ERR7672641,5951408,5951408,/home/ARAST/work/ERR7672641_pass_1.fastq,5951408,5924217,5920574,4912452,4912342,35481,4876861,4576288,31.9247630393891
ERR7672642,11268222,11268222,/home/ARAST/work/ERR7672642_pass_1.fastq,11268222,11217478,11210502,8355592,8355472,58318,8297154,7839483,32.0075351907772
ERR7672645,9619581,9619581,/home/ARAST/work/ERR7672645_pass_1.fastq,9619581,9574884,9570158,7550897,7550811,54755,7496056,7047831,31.9951482945604
ERR7672649,13272906,13272906,/home/ARAST/work/ERR7672649_pass_1.fastq,13272906,13213696,13205908,6406850,6406756,33757,6372999,5909328,31.9475771187519
ERR7672653,5197759,5197759,/home/ARAST/work/ERR7672653_pass_1.fastq,5197759,5172620,5167722,3893993,3893881,31846,3862035,3618905,31.9039201084306
ERR7672655,25468300,25468300,/home/ARAST/work/ERR7672655_pass_1.fastq,25468300,25355152,25344433,15391275,15391221,81277,15309944,14403578,32.0521976553326
ERR7672660,6399603,6399603,/home/ARAST/work/ERR7672660_pass_1.fastq,6399603,6372433,6370560,4678608,4678475,36901,4641574,4409266,32.0865847059352
ERR7672662,6851144,6851144,/home/ARAST/work/ERR7672662_pass_1.fastq,6851144,6811887,6805660,5017165,5017088,32542,4984546,4621445,31.9870735235408
ERR7672663,5681553,5681553,/home/ARAST/work/ERR7672663_pass_1.fastq,5681553,5656274,5654486,4319034,4318958,24313,4294645,4029925,32.0500535369765
ERR7672664,6050631,6050631,/home/ARAST/work/ERR7672664_pass_1.fastq,6050631,6025155,6023221,4429378,4429301,29574,4399727,4150626,32.0922834290538
ERR7672666,14260016,14260016,/home/ARAST/work/ERR7672666_pass_1.fastq,14260016,14199241,14192784,8758775,8758702,42741,8715961,8204179,32.0160106209287
ERR7672667,7865447,7865447,/home/ARAST/work/ERR7672667_pass_1.fastq,7865447,7828913,7824567,5790193,5790110,30270,5759840,5394735,32.0614565868388
ERR7672668,5924004,5924004,/home/ARAST/work/ERR7672668_pass_1.fastq,5924004,5897827,5894747,4370521,4370390,31501,4338889,4101548,32.0301603199572
ERR7672670,8177355,8177355,/home/ARAST/work/ERR7672670_pass_1.fastq,8177355,8138965,8130382,5668583,5668319,33092,5635227,5266982,31.8135279368716
ERR7672675,7858750,7858750,/home/ARAST/work/ERR7672675_pass_1.fastq,7858750,7821702,7818905,5595830,5595761,37804,5557957,5252261,32.1333663730725
ERR7672679,5169484,5169484,/home/ARAST/work/ERR7672679_pass_1.fastq,5169484,5146043,5144202,3731604,3731470,22024,3709446,3472672,32.0972858939744
ERR7672681,6233581,6233581,/home/ARAST/work/ERR7672681_pass_1.fastq,6233581,6205458,6203217,4955954,4955899,33374,4922525,4635209,32.1006258833205
ERR7672686,5116312,5116312,/home/ARAST/work/ERR7672686_pass_1.fastq,5116312,5093450,5091602,3762407,3762334,22094,3740240,3500887,32.0832334776872
ERR7672687,9781882,9781882,/home/ARAST/work/ERR7672687_pass_1.fastq,9781882,9735987,9731012,6795211,6795126,35789,6759337,6313749,32.0426331487045
ERR7672689,5782781,5782781,/home/ARAST/work/ERR7672689_pass_1.fastq,5782781,5756381,5752584,4456507,4456378,25603,4430775,4120472,31.909267918821
ERR7672695,18819027,18819027,/home/ARAST/work/ERR7672695_pass_1.fastq,18819027,18730262,18721952,10867917,10867866,53708,10814158,10122307,31.9686063661179
ERR7672697,8808982,8808982,/home/ARAST/work/ERR7672697_pass_1.fastq,8808982,8770232,8766608,6310348,6310312,35233,6275079,5903851,32.043193502004
ERR7672698,7212857,7212857,/home/ARAST/work/ERR7672698_pass_1.fastq,7212857,7179371,7176997,5413984,5413842,33820,5380022,5069850,32.0661928853911
ERR7672700,10224933,10224933,/home/ARAST/work/ERR7672700_pass_1.fastq,10224933,10179649,10176655,7776243,7776165,51263,7724902,7310482,32.0861945901789
ERR7672703,6166156,6166156,/home/ARAST/work/ERR7672703_pass_1.fastq,6166156,6139787,6136995,5017441,5017328,32216,4985112,4587716,31.9153829487266
ERR7672704,14493289,14493289,/home/ARAST/work/ERR7672704_pass_1.fastq,14493289,14431173,14422734,9556828,9556779,62000,9494779,8975999,32.0178052604507
ERR7672705,8550947,8550947,/home/ARAST/work/ERR7672705_pass_1.fastq,8550947,8504693,8496375,6394498,6394387,35928,6358459,5898628,31.9875955900253
ERR7672706,68203229,68203229,/home/ARAST/work/ERR7672706_pass_1.fastq,68203229,67922511,67898241,23636978,23636801,125120,23511681,22211901,32.1150552129689
ERR7672708,5938152,5938152,/home/ARAST/work/ERR7672708_pass_1.fastq,5938152,5908413,5903479,4495805,4495710,25371,4470339,4178278,31.9776826721439
