protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
SRR12442171,LLZ+21,COVID-19,NA,372488,1270997,174179,955146,1236446,808375,1170605,334237,1278002,1298292,1668817,399886,918491,609736,620965,762087,1080754,967612,1176289,187981,692131
SRR12442172,LLZ+21,COVID-19,NA,546253,2040951,298120,1457652,1661943,1096854,1787177,540957,1744349,1629492,2392047,604139,1227379,979145,898087,1270592,1648220,1511191,1810575,288854,1001644
SRR12442173,LLZ+21,Control,NA,56656,194414,35158,124252,188783,106957,205532,56050,165920,157520,238673,77326,140761,106729,88812,132687,168898,141258,171163,59541,83514
SRR12442174,LLZ+21,COVID-19,NA,117254,385584,64470,284823,393227,250112,389514,109446,396169,388642,511459,143249,292496,201773,186220,254986,349248,295516,356179,81202,207007
SRR12442175,LLZ+21,Control,NA,422619,1634028,202367,1114263,1351164,837025,1414690,395549,1335215,1250169,1894652,438614,912622,781101,676484,988701,1266793,1154756,1414085,226940,729513
SRR12442176,LLZ+21,Control,NA,152434,568536,74091,367918,497928,326084,510091,148589,474850,475557,693509,174636,367067,270976,283688,327460,429543,387451,484401,103984,241424
SRR12442177,LLZ+21,COVID-19,NA,465372,1933502,235624,1236551,1419445,893574,1606680,459013,1405377,1249716,2081482,501586,943047,892354,774048,1124713,1392012,1285698,1610690,264262,766234
SRR12442178,LLZ+21,COVID-19,NA,293205,1181894,163854,766669,867988,559909,1013839,301574,869082,777282,1280605,333431,623946,565883,482112,727088,882216,812859,995255,188446,498315
SRR12442179,LLZ+21,COVID-19,NA,372295,1360943,195634,970165,1189935,760544,1215757,341943,1210702,1196799,1632986,405858,877899,651197,581588,844326,1110853,995310,1201280,203508,689289
