protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
SRR12328886,ZZL+20,COVID-19,NA,807704,2753022,488183,2113150,2512575,1698991,2709116,715331,2607454,2349077,3481544,965893,1801075,1487047,1334144,1761177,2367508,2139079,2524088,443902,1681011
SRR12328887,ZZL+20,COVID-19,NA,664975,2013640,250237,1580789,2122540,1415084,1895223,547864,2269627,2116687,2898459,704456,1423599,1016674,1180816,1194449,1824954,1678715,1983635,274022,1139861
SRR12328888,ZZL+20,COVID-19,NA,640043,1970058,232607,1519401,2078635,1369305,1831740,529929,2214272,2056114,2821557,686970,1355476,974433,1157448,1146012,1750105,1619098,1931537,252574,1067968
SRR12328889,ZZL+20,COVID-19,NA,738646,2576579,454220,1889716,2265829,1374176,2321063,667020,2229787,2106185,2883583,897795,1393527,1207152,1130697,1526381,1983345,1836206,2298503,330408,1271166
SRR12328890,ZZL+20,COVID-19,NA,775860,2734590,478380,1975092,2263233,1441082,2421256,728904,2343878,2158289,3088490,945107,1558617,1272667,1208284,1630123,2065571,1932430,2416758,368666,1379968
SRR12328891,ZZL+20,COVID-19,NA,634766,1932487,229689,1498429,2045579,1351392,1806480,523545,2174350,2022246,2779954,674944,1336598,961571,1135230,1133851,1728491,1594778,1905215,251423,1057543
SRR12328892,ZZL+20,COVID-19,NA,800091,2536151,421737,2110572,2466702,1747109,2566809,684209,2654542,2460133,3395789,911431,1956139,1435303,1331819,1659783,2394810,2173010,2447312,460865,1735371
SRR12328893,ZZL+20,Control,NA,855087,3616770,614282,2287338,2592453,1633890,2933982,802947,2509594,2264523,3673355,1006640,1616039,1595170,1349146,2058573,2356471,2236639,2823490,418368,1493586
SRR12328894,ZZL+20,Control,NA,795875,2833717,537188,2104544,2570079,1497905,2512353,712309,2568069,2397160,3188891,986575,1602081,1264688,1221065,1633551,2162479,2025005,2529051,347940,1489516
SRR12328895,ZZL+20,Control,NA,846893,3152981,578482,2251832,2648752,1657673,2743175,777525,2781804,2569737,3550237,1045333,1790317,1436883,1354627,1792174,2340934,2219324,2716185,393171,1613389
SRR12328896,ZZL+20,COVID-19,NA,839927,2900745,546239,2199717,2698712,1725194,2730626,774473,2741715,2577701,3528664,1034049,1839275,1464031,1355342,1839636,2382200,2196650,2645154,430154,1710945
SRR12328897,ZZL+20,Control,NA,795500,2817439,528718,2076577,2459837,1582339,2495645,745185,2465919,2438112,3269853,966404,1710040,1311530,1295352,1694852,2211036,2013801,2447495,397141,1557643
SRR12328898,ZZL+20,Control,NA,857623,3326266,591148,2273805,2668737,1705035,2858868,823261,2614090,2427590,3678643,1034630,1667114,1546844,1392342,2019013,2348038,2219499,2764553,410642,1601557
SRR12328899,ZZL+20,Control,NA,831792,3179735,515527,2053344,2427905,1621522,2732039,781233,2478513,2206204,3627245,971002,1635598,1515141,1407251,1924354,2284653,2094971,2601168,450672,1454814
SRR12328900,ZZL+20,Control,NA,843501,3073517,551298,2157006,2624102,1659237,2735763,767818,2589818,2404883,3506000,1007656,1716853,1475522,1357033,1880116,2322334,2160933,2638137,421625,1599560
SRR12328901,ZZL+20,Control,NA,834157,2788751,554157,2133390,2824073,1670838,2664595,744931,2789630,2681939,3432709,1059268,1743437,1353902,1348165,1714368,2303094,2122247,2596590,382251,1652832
SRR12328902,ZZL+20,Control,NA,843357,3112326,588212,2251025,2648829,1682604,2758233,790518,2657495,2489871,3543494,1035358,1742052,1477797,1357247,1887062,2373818,2185996,2688850,408970,1657550
SRR12328903,ZZL+20,Control,NA,825545,2930244,564814,2115059,2640982,1602396,2656413,720488,2623355,2498409,3371555,1000918,1656401,1373986,1273974,1724904,2248994,2094637,2589532,364804,1553962
SRR12328904,ZZL+20,Control,NA,844005,3025923,564399,2237625,2662722,1689395,2704210,771121,2745803,2600368,3504863,1036147,1812000,1411399,1342603,1767629,2376312,2200886,2694141,396614,1641005
SRR12328905,ZZL+20,Control,NA,835902,3128751,558933,2158529,2526735,1667225,2720960,798994,2484510,2375174,3521473,994057,1700314,1498330,1361245,1923070,2322253,2137339,2602535,430304,1570096
SRR12328906,ZZL+20,Control,NA,854867,3144706,574343,2249661,2651618,1680726,2768775,752804,2768372,2571914,3597443,981276,1867264,1490703,1282473,1905693,2415150,2203627,2699074,396329,1655666
SRR12328907,ZZL+20,COVID-19,NA,842320,3026407,585209,2181046,2594074,1641518,2673934,748090,2619316,2456353,3450874,998414,1708210,1414682,1300435,1796824,2321953,2163588,2639614,379437,1622580
SRR12328908,ZZL+20,Control,NA,793254,2898178,534118,2008008,2367424,1443144,2511678,708298,2302165,2150483,3152314,937797,1492872,1319319,1220514,1673128,2054895,1978312,2438337,358917,1441174
SRR12328909,ZZL+20,Control,NA,840708,3084928,578953,2201554,2702629,1668771,2730043,783134,2733001,2585126,3522793,1052055,1729571,1413115,1339687,1806322,2304989,2159902,2666404,382418,1603378
SRR12328910,ZZL+20,COVID-19,NA,128086,404067,91573,302904,424167,248903,406859,128661,417733,386006,525670,184757,280434,204757,212049,265263,346450,300445,373490,85717,238795
SRR12328911,ZZL+20,COVID-19,NA,788393,2559714,450089,1959820,2303536,1583291,2464806,683058,2412140,2236863,3167353,888569,1775422,1353098,1247608,1626504,2212346,2038832,2332908,443212,1607502
SRR12328912,ZZL+20,COVID-19,NA,827440,2780112,496151,2095253,2682146,1737297,2684573,762034,2704349,2503091,3556965,1011093,1778361,1460180,1391718,1814334,2350136,2136447,2564387,428300,1669623
SRR12328913,ZZL+20,COVID-19,NA,825145,3004855,507295,2061844,2455773,1651535,2682734,787738,2539031,2237076,3622250,983478,1729049,1517289,1437899,1889581,2336977,2132762,2579647,469412,1526642
SRR12328914,ZZL+20,COVID-19,NA,776365,2619726,449722,1877076,2252015,1477160,2429103,693776,2307382,2063076,3188251,877696,1579873,1356843,1255153,1711133,2101509,1920587,2307073,409585,1419910
SRR12328915,ZZL+20,COVID-19,NA,730771,2395499,449467,1849700,2442898,1491619,2353079,634578,2527358,2220318,3113066,909269,1532828,1203369,1112506,1496970,2076885,1808116,2259299,335995,1424421
SRR12328916,ZZL+20,COVID-19,NA,832542,3396439,501047,2109926,2513991,1635214,2876637,781777,2366601,2088833,3641125,957449,1523408,1644525,1329355,2064865,2340189,2082002,2701204,433583,1362728
SRR12328917,ZZL+20,COVID-19,NA,799834,3122092,497026,2022205,2416338,1578482,2756168,736025,2403129,2175539,3486296,926858,1615684,1548303,1264288,1960777,2225395,2001744,2529747,409772,1394207
SRR12328918,ZZL+20,COVID-19,NA,838044,3087443,579914,2166623,2595984,1716821,2760056,798634,2583670,2437547,3607046,1008512,1782024,1512318,1395653,1901215,2356360,2221291,2668581,437492,1684565
SRR12328919,ZZL+20,COVID-19,NA,759784,2907326,522964,1881335,2211651,1403967,2549127,686466,2115571,1836513,3262166,874157,1353482,1420432,1248211,1878724,1975064,1871564,2347321,373412,1328202
SRR12328920,ZZL+20,COVID-19,NA,808106,3327553,506828,2088495,2427568,1585433,2860110,797097,2303441,2008111,3500817,958838,1526667,1667426,1304031,2067491,2319378,2083687,2622428,457455,1355799
SRR12328921,ZZL+20,COVID-19,NA,823463,2765542,513226,2115795,2569355,1659059,2631208,752562,2613695,2458080,3368925,992921,1813014,1406405,1316336,1744681,2311008,2148709,2525110,436338,1673380
SRR12328922,ZZL+20,COVID-19,NA,828385,2927906,533651,2143240,2556901,1709200,2709698,780634,2615059,2460047,3509226,1000970,1844902,1488340,1349711,1835583,2333299,2197952,2590579,453337,1701326
SRR12328923,ZZL+20,COVID-19,NA,810600,2846633,540562,2035943,2682470,1620623,2667342,736241,2569023,2316648,3407831,1030029,1544240,1391047,1279966,1787086,2231915,2015025,2522745,386493,1576388
SRR12328924,ZZL+20,COVID-19,NA,825830,3065043,518286,2133738,2531108,1744140,2779465,781935,2514973,2284375,3565432,976220,1754640,1571925,1337211,2003935,2352905,2161537,2619692,460174,1687697
SRR12328925,ZZL+20,COVID-19,NA,745570,2553030,428680,1952826,2292816,1594618,2451625,699522,2389131,2140397,3233117,875704,1652297,1411102,1193575,1770535,2174283,1960022,2326286,407849,1571702
SRR12328926,ZZL+20,COVID-19,NA,619343,2046419,227165,1541238,1778384,1176760,1854112,693851,2168281,1774417,2629517,624502,1429383,1069885,1115781,1244828,1769134,1628700,1936144,252976,1050633
SRR12328927,ZZL+20,COVID-19,NA,685847,1836125,395333,1736717,1997643,1382562,1715797,701351,2157288,2064840,3047445,640299,1640857,1223098,1194836,1335202,2402870,1840959,2036882,318733,1161678
SRR12328928,ZZL+20,COVID-19,NA,675602,3002209,341349,1650484,1889960,1205146,2328693,685063,1556779,1247518,3524903,598818,1069816,1470454,1258312,2024219,1921229,1474507,2093068,415206,902468
SRR12328929,ZZL+20,COVID-19,NA,662051,2941604,346238,1584631,1708751,1242914,2278517,716288,1773456,1331013,3287765,778802,1187706,1368096,1309885,1773239,1824555,1691804,2235345,451945,878437
SRR12328930,ZZL+20,COVID-19,NA,766828,2564503,439489,1928888,2298819,1527999,2397224,708802,2377040,2187043,3128969,897879,1680289,1309195,1240961,1637115,2121601,1984148,2330886,418628,1512889
SRR12328931,ZZL+20,COVID-19,NA,843113,3026543,487522,2174616,2522375,1758771,2794917,784280,2592778,2307464,3640506,978113,1777682,1598343,1375525,2046575,2369617,2168510,2646385,465332,1652948
SRR12328932,ZZL+20,COVID-19,NA,816974,2836471,489299,2101934,2564139,1710453,2664156,774173,2649364,2384735,3572259,996811,1747782,1481665,1389988,1854174,2327054,2108705,2576346,434826,1600773
SRR12328933,ZZL+20,COVID-19,NA,787871,2879014,461822,1962160,2338439,1629723,2561058,792678,2437502,2139185,3575868,935469,1699782,1477889,1448612,1865363,2264819,2067348,2512912,468400,1436893
SRR12328934,ZZL+20,COVID-19,NA,752337,2534373,456245,1870506,2289622,1590076,2395390,726851,2316523,2190405,3234960,886654,1685206,1341902,1299592,1679798,2135098,1958027,2334068,429791,1513430
SRR12328935,ZZL+20,COVID-19,NA,787547,2808901,477787,1968012,2382638,1655012,2556989,786271,2425714,2221381,3494794,941880,1737723,1456660,1415366,1843486,2257524,2071894,2500166,465406,1517906
SRR12328936,ZZL+20,COVID-19,NA,835169,2807559,513746,2120112,2573469,1731660,2703093,769234,2645499,2450648,3494912,995656,1844762,1501439,1357198,1843724,2380918,2163190,2545908,453157,1731433
SRR12328937,ZZL+20,COVID-19,NA,837591,2863143,524264,2149348,2621758,1767832,2769324,784771,2686638,2474926,3557982,1022526,1856531,1535530,1369463,1899241,2412219,2188675,2595458,460284,1750062
SRR12328938,ZZL+20,COVID-19,NA,787376,3133447,360618,2062227,2372867,1458317,2551432,744894,2317736,1997027,3420822,804517,1438429,1438221,1258074,1836318,2361366,2055401,2654765,394234,1204320
SRR12328939,ZZL+20,COVID-19,NA,763634,2754357,421597,1849528,2117570,1497129,2368994,749842,2237826,1936021,3282623,840174,1558470,1396383,1320802,1766595,2169350,1929343,2352954,435415,1302257
SRR12328940,ZZL+20,COVID-19,NA,820302,3109959,525997,2092329,2483177,1628188,2835908,816966,2543879,2195170,3602045,1063875,1628098,1542025,1406161,1912285,2316930,2112623,2650119,443953,1510111
SRR12328941,ZZL+20,COVID-19,NA,788981,3572130,431085,2013151,2056771,1458993,2786105,856281,2229399,1590633,3779820,946459,1426241,1637119,1495809,2108823,2260811,2060430,2700504,528277,1104954
SRR12328942,ZZL+20,COVID-19,NA,799097,3410182,429514,1893554,2074391,1455312,2666490,827092,2221508,1646200,3774458,915886,1415581,1580100,1505430,2041656,2163591,1958379,2577302,506157,1111483
SRR12328943,ZZL+20,COVID-19,NA,663064,2053433,383888,1633377,2006357,1397126,2009889,625551,2086790,2048630,2675678,767036,1551153,1128905,1075221,1413544,1832270,1688797,1916815,370005,1378664
SRR12328944,ZZL+20,COVID-19,NA,563877,1885975,342451,1425640,1785259,1176709,1770573,553147,1704273,1701846,2345195,643403,1245610,1012165,936855,1381993,1590298,1471711,1695705,302260,1123978
SRR12328945,ZZL+20,COVID-19,NA,760996,2391332,441505,1936882,2346734,1629538,2362447,703105,2471633,2378200,3145264,886096,1844368,1329947,1263486,1628940,2211181,2019457,2257128,444612,1656137
SRR12328946,ZZL+20,COVID-19,NA,771454,2445668,453661,1971145,2402717,1674812,2398116,722489,2513572,2433796,3223094,900939,1866331,1360183,1294958,1683538,2245425,2055023,2296751,446813,1677596
SRR12328947,ZZL+20,COVID-19,NA,766249,2416214,441136,1961034,2341937,1645299,2384660,702201,2474930,2366160,3178187,890404,1849423,1351467,1274706,1648293,2240515,2039466,2273304,448796,1675583
SRR12328948,ZZL+20,COVID-19,NA,778095,2401266,439454,1971832,2355943,1661715,2383377,694551,2511106,2396587,3195542,887082,1888546,1349750,1274185,1631147,2265767,2053992,2278834,454568,1700242
SRR12328949,ZZL+20,COVID-19,NA,828103,3207849,536939,2235427,2556430,1669474,2786690,761907,2544266,2313779,3476558,961998,1697015,1527737,1290032,2000606,2380142,2209226,2729406,416990,1545914
SRR12328950,ZZL+20,COVID-19,NA,834480,3087777,534452,2124420,2574554,1707378,2825084,798824,2550329,2341788,3580217,1011341,1737565,1594080,1358745,1984266,2373073,2150504,2629704,459517,1580174
SRR12328951,ZZL+20,COVID-19,NA,795608,2828721,508382,2109256,2412291,1595679,2544600,780019,2544021,2452505,3305121,1003656,1714967,1335830,1294271,1708665,2222401,2063319,2554735,385583,1478793
SRR12328952,ZZL+20,COVID-19,NA,758735,2637516,446241,1786910,2133258,1456211,2448912,679890,2105250,1903845,3027143,844794,1478347,1411545,1131760,1754225,2020014,1825211,2217588,409962,1357110
SRR12328953,ZZL+20,COVID-19,NA,825328,2942547,519360,2104346,2598934,1721596,2784959,778441,2589801,2397532,3544622,1007632,1773243,1577444,1339941,1926457,2389349,2131375,2566365,459398,1605598
SRR12328954,ZZL+20,COVID-19,NA,822106,2931769,506960,2071040,2507431,1716195,2776340,777938,2510399,2324257,3535722,982657,1790073,1609017,1339595,1934578,2393116,2129162,2529012,482388,1610608
SRR12328955,ZZL+20,COVID-19,NA,738763,2459635,394666,1830359,2085533,1496581,2293980,675712,2257643,1967123,3166511,818702,1559067,1345412,1197180,1694050,2081747,1839922,2189688,409116,1406097
SRR12328956,ZZL+20,COVID-19,NA,811646,2714870,463886,2075573,2495044,1718123,2594548,753930,2651448,2417187,3496512,947686,1836090,1455826,1349906,1807291,2343145,2136952,2519438,436331,1657607
SRR12328957,ZZL+20,COVID-19,NA,836000,2961141,555515,2173253,2591218,1690330,2691863,765112,2611506,2477517,3464167,999220,1780953,1444013,1321984,1809424,2354277,2180932,2619756,420431,1665869
SRR12328958,ZZL+20,COVID-19,NA,842121,3333369,582600,2267087,2620664,1655781,2850862,795952,2556074,2334936,3585769,1015490,1661099,1528896,1338517,1977864,2395750,2209680,2768446,415818,1566694
