ID,available_spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR062335,32142746,2512656,/home/ARAST/work/SRR062335_pass_1.fastq,2512656,2512656,2343935,1464623,912545,9195,903350,805993,31.4937921297083
SRR062399,28840824,3419116,/home/ARAST/work/SRR062399_pass_1.fastq,3419116,3419116,2870584,2445468,2435600,19558,2416042,2012061,30.8352331266299
SRR062419,27155021,23390425,/home/ARAST/work/SRR062419_pass_1.fastq,23390425,23390425,22579871,20318429,20172770,126038,20046732,17386066,31.0775322606046
SRR062429,26405841,7872364,/home/ARAST/work/SRR062429_pass_1.fastq,7872364,7872364,7439580,6145830,5481870,42011,5439859,4629092,30.8306378443116
SRR062440,26791246,3219390,/home/ARAST/work/SRR062440_pass_1.fastq,3219390,1601979,1481350,644384,209512,3364,206148,155100,30.4443391360413
SRR062442,32170013,12845573,/home/ARAST/work/SRR062442_pass_1.fastq,12845573,12845573,7979577,2854530,2532508,25872,2506636,2027197,30.9592762814862
SRR062458,25356519,2202101,/home/ARAST/work/SRR062458_pass_1.fastq,2202101,2202101,2056976,1954452,1944602,16857,1927745,1606586,30.8523440388501
SRR062461,27479792,250856,/home/ARAST/work/SRR062461_pass_1.fastq,250856,250856,56367,48679,37115,651,36464,27214,30.5995810979643
SRR062522,36121891,22873570,/home/ARAST/work/SRR062522_pass_1.fastq,22873570,22873570,20763467,7566891,7353900,40948,7312952,5746767,30.6291466140875
SRR063912,28152739,3049785,/home/ARAST/work/SRR063912_pass_1.fastq,3049785,3049785,2093760,1277781,599990,6955,593035,461410,30.6202574716629
SRR063925,26658156,1339634,/home/ARAST/work/SRR063925_pass_1.fastq,1339634,1339634,864266,482046,466521,4165,462356,365724,30.3962359593573
SRR346655,31626755,2074786,/home/ARAST/work/SRR346655_pass_1.fastq,2074786,2074786,1773485,1039386,411194,5131,406063,345182,31.316969019242
SRR346690,106455830,6355014,/home/ARAST/work/SRR346690_pass_1.fastq,6355014,6355014,5543089,2528725,731330,13176,718154,534802,30.7477178469789
SRR346709,100413332,6521908,/home/ARAST/work/SRR346709_pass_1.fastq,6521908,6521908,5596262,2714961,953551,11509,942042,766247,30.8790207335233
SRR346717,27660488,7326326,/home/ARAST/work/SRR346717_pass_1.fastq,7326326,7326326,7105606,3909700,3904774,24092,3880682,3477609,31.4493826074179
SRR353633,36919617,9963516,/home/ARAST/work/SRR353633_pass_1.fastq,9963516,9963516,8811774,8013722,6958955,51626,6907329,6031139,31.2507726981587
SRR514852,103277769,3140387,/home/ARAST/work/SRR514852_pass_1.fastq,3140387,3140387,2871348,2315110,2284876,14844,2270032,2053853,31.4970740359704
