Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR061923,28837880,22087124,/home/ARAST/work/SRR061923_pass_1.fastq,22087124,19253595,18600673,11631109,61195,11569914,10147511,31.0743660194111
SRR061925,27515522,18663412,/home/ARAST/work/SRR061925_pass_1.fastq,18663412,16111460,15241815,8637193,45767,8591426,6882298,29.6825695429056
SRR061927,26401720,15563273,/home/ARAST/work/SRR061927_pass_1.fastq,15563273,15401493,14793960,10332956,62491,10270465,8740726,30.9055330186531
SRR061943,35717404,4857558,/home/ARAST/work/SRR061943_pass_1.fastq,4857558,2917175,2674590,1639218,38256,1600962,1129566,30.0609127753491
SRR061947,32524427,6026159,/home/ARAST/work/SRR061947_pass_1.fastq,6026159,4395570,4176272,2995498,51248,2944250,2334641,30.4673767829829
SRR061965,38111980,8395301,/home/ARAST/work/SRR061965_pass_1.fastq,8395301,7732175,7412367,6193335,68585,6124750,5297329,31.4312960361722
SRR062005,35441049,6407562,/home/ARAST/work/SRR062005_pass_1.fastq,6407562,5263005,4821661,3295810,46319,3249491,2385871,29.7120481367182
SRR062007,38163195,3381036,/home/ARAST/work/SRR062007_pass_1.fastq,3381036,2452955,2194865,1253779,35752,1218027,820938,29.9788826927247
SRR062015,29520246,20175524,/home/ARAST/work/SRR062015_pass_1.fastq,20175524,18081057,16762235,10354382,37454,10316928,8079933,29.5003207328576
SRR062017,31376109,14073073,/home/ARAST/work/SRR062017_pass_1.fastq,14073073,11876802,10665624,6333467,20036,6313431,4606364,29.0202142079957
SRR062019,29473508,13183863,/home/ARAST/work/SRR062019_pass_1.fastq,13183863,10775056,9940648,5773418,22625,5750793,4545932,29.6935112535779
SRR062025,33979237,3686563,/home/ARAST/work/SRR062025_pass_1.fastq,3686563,3202536,2797924,1769325,41044,1728281,1097844,29.4135387177049
SRR062060,27161565,1889579,/home/ARAST/work/SRR062060_pass_1.fastq,1889579,718195,683399,282621,4308,278313,201691,30.2445275198199
SRR062074,25029806,3616500,/home/ARAST/work/SRR062074_pass_1.fastq,3616500,3216465,3090489,1952284,33577,1918707,1681455,31.8041291619461
SRR062076,22964211,2062974,/home/ARAST/work/SRR062076_pass_1.fastq,2062974,1670376,1578736,909372,22458,886914,733680,31.1531880383819
