Name,Run,BioSample,SampleName
IBD,SRR6153593,SAMN07765601,sHT55.1_16s
IBD,SRR6153592,SAMN07765602,sHT55.2_16s
IBD,SRR6153601,SAMN07765603,sHT56.1_16s
IBD,SRR6153600,SAMN07765604,sHT56.2_16s
IBD,SRR6153632,SAMN07765665,sUC26a.T1_16s
IBD,SRR6153631,SAMN07765666,sUC26a.T2_16s
IBD,SRR6153630,SAMN07765667,sUC26i.T1_16s
IBD,SRR6153629,SAMN07765668,sUC26i.T2_16s
IBD,SRR6153636,SAMN07765669,sUC27a_16s
IBD,SRR6153635,SAMN07765670,sUC27i_16s
IBD,SRR6153634,SAMN07765671,sUC28a_16s
IBD,SRR6153633,SAMN07765672,sUC28i_16s
IBD,SRR6153628,SAMN07765673,sUC29a_16s
IBD,SRR6153627,SAMN07765674,sUC29i_16s
IBD,SRR6153602,SAMN07765703,sUC49a_16s
IBD,SRR6153613,SAMN07765735,sUC73a_16s
IBD,SRR6153612,SAMN07765736,sUC73i_16s
IBD,SRR6153611,SAMN07765737,sUC74a_16s
IBD,SRR6153610,SAMN07765738,sUC74i_16s
IBD,SRR6153609,SAMN07765739,sUC75a_16s
IBD,SRR6153608,SAMN07765740,sUC75i_16s
IBD,SRR6153607,SAMN07765741,sUC76a_16s
IBD,SRR6153606,SAMN07765742,sUC77a_16s
IBD,SRR6153605,SAMN07765743,sUC77i_16s
IBD,SRR6153604,SAMN07765744,sUC78a_16s
IBD,SRR6153637,SAMN07765749,sUC80i_16s
IBD,SRR6153624,SAMN07765750,sUC82a_16s
IBD,SRR6153625,SAMN07765753,sUC84i_16s
IBD,SRR6153626,SAMN07765754,sUC85a_16s
IBD,SRR6153603,SAMN07765777,sUC97i_16s
IBD,SRR6153654,SAMN07765445,sCD05i_16s
IBD,SRR6153655,SAMN07765446,sCD06a_16s
IBD,SRR6153652,SAMN07765447,sCD06i_16s
IBD,SRR6153653,SAMN07765448,sCD07a.T1_16s
IBD,SRR6153656,SAMN07765453,sCD09i_16s
IBD,SRR6153657,SAMN07765454,sCD10a_16s
IBD,SRR6153707,SAMN07765455,sCD10i_16s
IBD,SRR6153706,SAMN07765456,sCD11a_16s
IBD,SRR6153705,SAMN07765457,sCD11i_16s
IBD,SRR6153704,SAMN07765458,sCD12a_16s
IBD,SRR6153703,SAMN07765459,sCD12i_16s
IBD,SRR6153702,SAMN07765460,sCD13a_16s
IBD,SRR6153701,SAMN07765461,sCD13i_16s
IBD,SRR6153700,SAMN07765462,sCD16a_16s
IBD,SRR6153699,SAMN07765463,sCD16i_16s
IBD,SRR6153698,SAMN07765464,sCD17a_16s
IBD,SRR6153665,SAMN07765515,sCD51i_16s
IBD,SRR6153664,SAMN07765516,sCD52a_16s
IBD,SRR6153667,SAMN07765517,sCD52i_16s
IBD,SRR6153666,SAMN07765518,sCD53a_16s
IBD,SRR6153661,SAMN07765519,sCD53i_16s
IBD,SRR6153660,SAMN07765520,sCD54a_16s
IBD,SRR6153663,SAMN07765521,sCD54i_16s
IBD,SRR6153662,SAMN07765522,sCD55a_16s
IBD,SRR6153659,SAMN07765523,sCD55i_16s
IBD,SRR6153658,SAMN07765524,sCD56a_16s
IBD,SRR6153690,SAMN07765585,sHT46.1_16s
IBD,SRR6153691,SAMN07765586,sHT46.2_16s
IBD,SRR6153688,SAMN07765587,sHT47.1_16s
IBD,SRR6153689,SAMN07765588,sHT47.2_16s
IBD,SRR6153694,SAMN07765589,sHT48.1_16s
IBD,SRR6153695,SAMN07765590,sHT48.2_16s
IBD,SRR6153692,SAMN07765591,sHT49.1_16s
IBD,SRR6153693,SAMN07765592,sHT49.2_16s
IBD,SRR6153696,SAMN07765593,sHT50.1_16s
IBD,SRR6153697,SAMN07765594,sHT50.2_16s
IBD,SRR6153673,SAMN07765615,sUC05a_16s
IBD,SRR6153672,SAMN07765616,sUC05i_16s
IBD,SRR6153675,SAMN07765617,sUC06a_16s
IBD,SRR6153674,SAMN07765618,sUC06i_16s
IBD,SRR6153669,SAMN07765619,sUC08a_16s
IBD,SRR6153668,SAMN07765620,sUC08i_16s
IBD,SRR6153671,SAMN07765621,sUC100a.1_16s
IBD,SRR6153670,SAMN07765622,sUC100a.2_16s
IBD,SRR6153677,SAMN07765623,sUC100i.1_16s
IBD,SRR6153676,SAMN07765624,sUC101a.2_16s
IBD,SRR6153687,SAMN07765705,sUC50a_16s
IBD,SRR6153686,SAMN07765706,sUC50i_16s
IBD,SRR6153685,SAMN07765707,sUC51a_16s
IBD,SRR6153684,SAMN07765708,sUC51i_16s
IBD,SRR6153683,SAMN07765709,sUC52a_16s
IBD,SRR6153682,SAMN07765710,sUC52i_16s
IBD,SRR6153681,SAMN07765711,sUC57a.T2_16s
IBD,SRR6153680,SAMN07765712,sUC57i.T2_16s
IBD,SRR6153679,SAMN07765713,sUC58a_16s
IBD,SRR6153678,SAMN07765714,sUC58i_16s
IBD,SRR6153710,SAMN07765767,sUC91i_16s
IBD,SRR6153711,SAMN07765768,sUC92a_16s
IBD,SRR6153708,SAMN07765773,sUC95a_16s
IBD,SRR6153709,SAMN07765774,sUC96a_16s
IBD,SRR6153722,SAMN07765485,sCD29i_16s
IBD,SRR6153723,SAMN07765486,sCD30a_16s
IBD,SRR6153720,SAMN07765487,sCD30i_16s
IBD,SRR6153721,SAMN07765488,sCD31a_16s
IBD,SRR6153726,SAMN07765489,sCD31i_16s
IBD,SRR6153727,SAMN07765490,sCD32a_16s
IBD,SRR6153724,SAMN07765491,sCD32i_16s
IBD,SRR6153725,SAMN07765492,sCD36a_16s
IBD,SRR6153718,SAMN07765493,sCD36i_16s
IBD,SRR6153719,SAMN07765494,sCD38a_16s
IBD,SRR6153751,SAMN07765495,sCD38i_16s
IBD,SRR6153750,SAMN07765496,sCD41a_16s
IBD,SRR6153749,SAMN07765497,sCD41i_16s
IBD,SRR6153748,SAMN07765498,sCD42a_16s
IBD,SRR6153755,SAMN07765499,sCD42i_16s
IBD,SRR6153754,SAMN07765500,sCD43a_16s
IBD,SRR6153753,SAMN07765501,sCD43i_16s
IBD,SRR6153752,SAMN07765502,sCD44i_16s
IBD,SRR6153757,SAMN07765503,sCD45a_16s
IBD,SRR6153756,SAMN07765504,sCD45i_16s
IBD,SRR6153766,SAMN07765525,sCD56i_16s
IBD,SRR6153767,SAMN07765526,sCD57.1_16s
IBD,SRR6153764,SAMN07765527,sCD57.2_16s
IBD,SRR6153765,SAMN07765528,sCD58a_16s
IBD,SRR6153762,SAMN07765529,sCD58i_16s
IBD,SRR6153763,SAMN07765530,sCD59a_16s
IBD,SRR6153760,SAMN07765531,sCD59i_16s
IBD,SRR6153761,SAMN07765532,sCD60a_16s
IBD,SRR6153758,SAMN07765533,sCD60i_16s
IBD,SRR6153759,SAMN07765534,sCD61a_16s
IBD,SRR6153745,SAMN07765535,sCD61i_16s
IBD,SRR6153744,SAMN07765536,sCD62a.1_16s
IBD,SRR6153747,SAMN07765537,sCD62a.2_16s
IBD,SRR6153746,SAMN07765538,sCD62i.1_16s
IBD,SRR6153741,SAMN07765539,sCD62i.2_16s
IBD,SRR6153740,SAMN07765540,sCD63a.1_16s
IBD,SRR6153743,SAMN07765541,sCD63a.2_16s
IBD,SRR6153742,SAMN07765542,sCD63i.1_16s
IBD,SRR6153739,SAMN07765543,sCD63i.2_16s
IBD,SRR6153738,SAMN07765544,sHT02.1_16s
IBD,SRR6153734,SAMN07765635,sUC14a_16s
IBD,SRR6153735,SAMN07765636,sUC14i_16s
IBD,SRR6153732,SAMN07765637,sUC15a_16s
IBD,SRR6153733,SAMN07765638,sUC15i_16s
IBD,SRR6153730,SAMN07765639,sUC16a_16s
