old,new,source
Q8BU08,Q99P30,SBB+06
Q8BUV4,Q5DU14,SBB+06
Q8BVY2,Q4FK66,SBB+06
Q8BWG7,Q5S006,SBB+06
Q8BYH4,Q9JIG7,SBB+06
Q8BZV6,Q7TNV0,SBB+06
Q8C0Q6,Q0VGY8,SBB+06
Q8C1H2,Q3U3N6,SBB+06
Q8C2K2,Q9CZX0,SBB+06
Q8C2M6,Q6NZB0,SBB+06
Q8C3C0,Q0VDN7,SBB+06
Q8C6Z9,Q505D7,SBB+06
Q8CAK8,Q3UMB9,SBB+06
Q8CC56,Q8BFU3,SBB+06
Q8CCR2,A2ALU4,SBB+06
Q8CD89,O35691,SBB+06
Q8CDI4,Q4VBD2,SBB+06
Q8CDN3,Q32P12,SBB+06
Q8CDR4,Q99MV7,SBB+06
Q8CFK3,Q62086,SBB+06
Q8CFS0,B2RUR8,SBB+06
Q8CHA9,Q5SQX6,SBB+06
Q8CHQ7,Q4KML4,SBB+06
Q8JZU9,Q9DCU6,SBB+06
Q8K0K9,Q3UY34,SBB+06
Q8K1J7,Q9CZW4,SBB+06
Q8K1Y1,Q3TFQ1,SBB+06
Q8R0P9,Q9DCC4,SBB+06
Q8R1I8,E9Q6C8,SBB+06
Q8VCD9,O54781,SBB+06
Q8VD13,Q3TYS2,SBB+06
Q8VE03,Q3TTL0,SBB+06
Q8VI44,Q9JJ28,SBB+06
Q91VG7,Q5F2E8,SBB+06
Q91YQ0,Q3V209,SBB+06
Q921Z8,O35730,SBB+06
Q99J66,Q4PJX1,SBB+06
Q99KJ2,Q3TJZ6,SBB+06
Q9CQ16,P14115,SBB+06
Q9CQD2,Q3TBW2,SBB+06
Q9CR43,Q9Z0Y1,SBB+06
Q9CSW7,Q6NV83,SBB+06
Q9CTS8,Q6ZQK5,SBB+06
Q9EPF1,Q8R2Y2,SBB+06
Q9ERN6,E9Q401,SBB+06
Q9ES77,A2AVA0,SBB+06
Q9JIM6,Q32NY4,SBB+06
Q9JJG3,Q6NXZ1,SBB+06
Q9JJY5,F8VQB6,SBB+06
"Q69ZD8,Q9JJZ3",Q4ACU6,SBB+06
Q9JLF3,A2AVZ9,SBB+06
Q9QYC2,Q91Z31,SBB+06
Q9R114,Q3TRM4,SBB+06
Q9Z1K1,Q3TC93,SBB+06
Q9Z2T8,Q497I4,SBB+06
Q9CY38,Q99PT3,SBB+06
Q9D4A6,Q8R322,SBB+06
Q9D4H6,Q3V129,SBB+06
Q9DB37,Q8R5J9,SBB+06
Q69ZD8,Q4ACU6,SBB+06
Q9JJZ3,Q4ACU6,SBB+06
P30495,P01889,ODS+18
P30488,P01889,ODS+18
P02023,P68871,SXS+07
P01922,P69905,SXS+07
B1AKZ3,Q15121,GWS+17
E9PCI9,P14324,GWS+17
F5HFY4,Q99733,GWS+17
B4DJP7,P62318,GWS+17
E7EWS7,P68036,GWS+17
A8MYN5,P00325,GWS+17
G3V2B8,P11586,GWS+17
J3KQL0,P31327,GWS+17
B7Z8Z3,Q08477,GWS+17
J3KND9,Q16134,GWS+17
J3KNU8,Q02252,GWS+17
B3KR41,Q9Y6D9,QXC+16
B4DDF9,P09525,QXC+16
B4DMW2,Q8WU90,QXC+16
B4DUN5,P16118,QXC+16
B4DUS7,Q8IUC4,QXC+16
B4DW79,Q9UEW3,QXC+16
B4DWI1,Q9UJ83,QXC+16
B4DZW6,Q96DB5,QXC+16
B4E1D7,Q9NVS9,QXC+16
B4E241,P84103,QXC+16
B7ZKL7,Q86WA8,QXC+16
D9IX68,P16671,QXC+16
F5GZY3,P11532,QXC+16
F8W720,P49915,QXC+16
F8W8V8,P11168,QXC+16
H0Y6C3,Q53H96,QXC+16
Q53XA7,P16930,QXC+16
Q6MZV4,Q8IWE2,QXC+16
Q6NZ53,Q96J01,QXC+16
A0A0A0MR66,P98175,KHN+20
A0A0A0MTQ6,P01615,KHN+20
J9P5W0,E2RGI3,SPJ+20
Q9TNN7,P10321,EWK+19
P02751-15,P02751,CWG+19
P10242-8,P10242,CWG+19
Q6ZTY8,Q96N23,CWG+19
Q8IZL8-2,Q8IZL8,CWG+19
Q8NHP1-2,Q8NHP1,CWG+19
Q96B86-2,Q96B86,CWG+19
Q99873-4,Q99873,CWG+19
Q9H7R5-2,Q9H7R5,CWG+19
Q9UL68-2,Q9UL68,CWG+19
A2ICT2,O95757,KDS+14
A6NDZ0,Q9P0L0,KDS+14
A7MAP0,Q9ULV4,KDS+14
A8K024,Q96T88,KDS+14
A8K702,P57764,KDS+14
B2RAV1,Q14451,KDS+14
B2RBA8,P35237,KDS+14
B2RTQ1,Q9UII4,KDS+14
B3KUL1,P52594,KDS+14
B3KV44,P55209,KDS+14
B4DHM0,Q12765,KDS+14
B4DIF2,P07093,KDS+14
B4DIT6,Q9UPW5,KDS+14
B4DMU2,Q8N556,KDS+14
B4DRE6,Q9NUQ6,KDS+14
B4DTS2,Q9BZL6,KDS+14
B4DTY1,P46937,KDS+14
B4E2N6,Q05397,KDS+14
B5M451,Q9Y6M7,KDS+14
B7Z5L0,P54687,KDS+14
B9EGG0,Q4KMQ2,KDS+14
C9JSZ5,Q96HY6,KDS+14
Q2I5I4,Q14192,KDS+14
Q4LE55,Q96TA1,KDS+14
Q5TBT2,Q03001,KDS+14
Q6DLZ0,Q9UQB9,KDS+14
Q6P4H0,Q9Y2Q3,KDS+14
P09038-4,P09038,KDS+14
P39060-3,P39060,KDS+14
P45880-3,P45880,KDS+14
Q14157-2,Q14157,KDS+14
Q15165-2,Q15165,KDS+14
Q8N6R0-5,Q8N6R0,KDS+14
Q9BTC0-4,Q9BTC0,KDS+14
Q9NRG7-2,Q9NRG7,KDS+14
Q9Y2H0-2,Q9Y2H0,KDS+14
Q9Y6M1-2,Q9Y6M1,KDS+14
P13746,P04439,KDS+14
P13746-2,P04439-2,KDS+14
Q96FX7-2,Q96FX7,KDS+14
Q96PU5-8,Q96PU5,KDS+14
Q9NXS2-2,Q9NXS2,KDS+14
A0A087X1I8,Q7Z3E5,LLL+19
A8K2T4,P10643,GPT+19
R4GN35,Q5VZ89,GPT+19
Q6QHF9-2,Q6QHF9,GPT+19
A0A075B5P2,P01837,SMS+18
A0A0R4J064,Q3UDS7,SMS+18
Q564G0,Q64520,SMS+18
D4A8B7,A0A0G2K602,CCW+13
P97546-2,P97546,CCW+13
D4A4M6,B5DF67,CCW+13
D3ZSX3,A0A0G2KAE6,CCW+13
D3ZPZ9,A0A0G2KAL9,CCW+13
D4AC52,A0A0G2JZF6,CCW+13
P62204,P0DP26,SFKD17
Q07439,P0DMW0,MFD+10
Q07439,P0DMW1,MFD+10
Q4V8M8,O35952,MFD+10
Q9P0G7,Q9Y2S2,DTS+07
B4DYP2,P40939,SCL+20
B7Z5W8,P36957,SCL+20
E9PDB2,P40926,SCL+20
G3XAB4,P24752,SCL+20
E7EUE5,P05091,SCL+20
B4DPI2,Q9UL12,SCL+20
G3V1U9,Q71U36,SCL+20
E9PBJ5,P31040,SCL+20
E9PGK1,P08133,SCL+20
F5H628,Q15063,SCL+20
B4DPP1,P36537,SCL+20
B4DDW0,Q8TC12,SCL+20
Q9BUB1,P13861,SCL+20
B8ZZS7,P40121,SCL+20
E7EM71,Q00341,SCL+20
B7Z1R5,P38606,SCL+20
F5H667,Q12797,SCL+20
B3KQ63,P32754,SCL+20
A6NE29,O14579,SCL+20
B3KW71,P09417,SCL+20
A8K3Z3,P62195,SCL+20
B4E363,Q9Y285,SCL+20
F5H0T1,P31948,SCL+20
Q2YDC2,O75340,SCL+20
C9JL12,P13674,SCL+20
E7EMI0,P04424,SCL+20
G5E9P0,P54727,SCL+20
E9PAV2,P28074,SCL+20
E7EV16,P55058,SCL+20
B4DWJ2,P47897,SCL+20
Q8IYJ9,P51452,SCL+20
Q5SRP4,O95445,SCL+20
B4DVY1,O15371,SCL+20
A6NNR3,P62136,SCL+20
B4DJE5,P37268,SCL+20
A8MY84,Q9BY76,SCL+20
Q9NW21,Q9NUQ9,SCL+20
Q9UII8,P12830,SCL+20
F5H6N3,P09496,SCL+20
B4DKD7,P61020,SCL+20
C8C9T5,Q14318,SCL+20
B7Z333,Q9NP72,SCL+20
B4DDS3,O96005,SCL+20
B4DP17,P62633,SCL+20
Q5R370,Q9HB71,SCL+20
G3V1I6,Q9NVI7,SCL+20
B4DDG1,P68036,SCL+20
Q86TV2,Q99538,SCL+20
C0H5W9,Q9UNH7,SCL+20
B4DMX0,Q06136,SCL+20
Q96CG1,P62495,SCL+20
F5H5M6,Q14520,SCL+20
A6XMW0,P13727,SCL+20
G3V1Q6,O00233,SCL+20
A8MRB2,Q00059,SCL+20
B4E1N2,Q16270,SCL+20
B4DK30,Q15029,SCL+20
Q2LEK4,P21741,SCL+20
B3KRH1,Q99496,SCL+20
Q6P052,P33908,SCL+20
B7Z452,P33121,SCL+20
D3DTL2,P13929,SCL+20
B7Z6M1,P13797,SCL+20
G3V0E8,Q15366,SCL+20
B7Z800,P55263,SCL+20
E9PJJ1,Q9BYV7,SCL+20
Q7Z451,P63010,SCL+20
B4E3P0,P53396,SCL+20
A8MYF6,Q15800,SCL+20
E9PBF5,Q96HC4,SCL+20
C9JEX1,P01042,SCL+20
B4DDT2,O75191,SCL+20
B4DPN6,Q92499,SCL+20
B3KR80,Q92597,SCL+20
F5GYZ3,Q15233,SCL+20
E9PEE1,P38435,SCL+20
B7Z3X2,Q9NTN3,SCL+20
B7Z9D1,Q99685,SCL+20
E9PIC0,O14521,SCL+20
F5GXF2,P42357,SCL+20
B4DPS5,O95861,SCL+20
B4DR63,P62191,SCL+20
B4DZ15,Q8IYM0,SCL+20
E9PEU4,P48444,SCL+20
Q9H8S1,P28799,SCL+20
B3KUU5,Q9UHB9,SCL+20
B4DEK4,O60749,SCL+20
F5H4D7,P78539,SCL+20
F5GWV9,Q9UKN1,SCL+20
Q9H6Y6,Q9ULV0,SCL+20
A6NG06,P30044,SCL+20
A6NC19,P30044,SCL+20
P08575-2,P08575,SCL+20
Q9Y3Z3-2,Q9Y3Z3,SCL+20
P32132,P0DTT0,SKV+16
D9IX93,A0A0G3HUT6,SKV+16
P69407,P0DMC7,SKV+16
Q5H776,A0A0G3HLV0,SKV+16
Q5H772,A0A0G3HVX2,SKV+16
P00892,P0DP90,SKV+16
P14376,P0DMC5,SKV+16
Q29960,P10321,ZZX+20
Q8VD05,Q9DBP5,MHN+08
Q5NCX0,P63242,MHN+08
Q8C2C7,P63038,MHN+08
Q8BU21,Q8BML9,MHN+08
Q9R122,Q9R0P9,MHN+08
A0A0C4DFX3,Q9Y6C2,DKM+20
