taxid	lineage	name	rank	3811	3812	3821	3822	4A11	4A12	4A21	4A22	4G11	4G12	4G21	4G22	4L11	4L21	4L22	7A11	7A12	7A21	7A22	7G11	7G12	7G21	7G22	7L12	7L21	7L22	A101	A102	A201	A202	G101	G102	G201	G202	HA11	HA12	HA21	HA22	HG11	HG12	HG21	HG22	HL11	HL12	HL21	HL22	L101	L102	L201	L202	PA11	PA12	PA21	PA22	PG11	PG12	PG21	PG22	PL11	PL12	PL21	PL22	TA11	TA12	TA21	TA22	TG11	TG12	TG21	TG22	TL11	TL12	TL21	TL22	XA01	XA02	XA03	XA04	XA05	XA06	XA11	XA12	XA21	XA22	XB01	XB02	XB03	XB04	XB05	XB06	XG11	XG12	XG21	XG22	XL11	XL12	XL21	XL22	YA01	YA02	YA03	YA04	YB01	YB02	YB03
0	null	Root	rootrank	9641	9532	9630	9624	9691	9935	9483	9716	9987	9888	9427	5320	8328	9665	9915	9966	9988	9746	9686	9940	9901	9418	9512	4426	9858	9855	8560	7039	9162	9246	9755	5800	9105	9157	9832	9867	9716	9719	9874	9893	9801	9796	9912	9911	9546	9881	5185	4013	9443	9442	9744	9751	9736	9715	9934	9912	9794	9825	6834	5690	9850	9852	9947	9904	9732	9717	9785	9715	9813	9799	9950	9900	9789	9794	9194	7077	9363	1937	9820	8506	9950	5802	9557	9468	9248	5672	9351	3806	9785	7899	9869	9905	9485	9504	9918	9886	9877	9719	9143	9837	9200	9593	8978	9821	9223
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	9221	9257	9440	9504	9589	8218	8743	8978	5976	5617	8321	4690	7497	8317	8662	9800	9782	8706	8709	6573	6576	8380	8522	4425	8556	8599	7942	6652	8399	8483	5111	3053	8091	8104	9591	9680	9199	9268	6102	5777	9003	9101	9616	9233	9414	9060	5102	3794	8574	8832	9464	9312	9227	9153	7621	7680	9491	9452	6183	5666	9147	9184	9651	9406	9077	9056	7179	6930	8881	8845	9883	9754	8853	8848	8119	4387	8752	1696	9314	7521	8367	4421	8501	8599	7989	4058	8685	3597	9329	7187	5241	5297	8547	8484	8017	8200	9100	8909	8508	5366	8348	9032	8298	5296	8415
4511	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;	Campilobacterota	phylum	1324	1685	2840	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	229	440	0	0	12	11	0	5	2	6	0	0	1	3	11	7	0	0	1	0	149	0	4	0	13	32	0	1	3	0	6	8	0	378	7	0	24	21	0	0	1	1	10	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
1477	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;	Campylobacteria	class	1324	1685	2840	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	229	440	0	0	12	11	0	5	2	6	0	0	1	3	11	7	0	0	1	0	149	0	4	0	13	32	0	1	3	0	6	8	0	378	7	0	24	21	0	0	1	1	10	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
1478	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;	Campylobacterales	order	1324	1685	2840	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	229	440	0	0	12	11	0	5	2	6	0	0	1	3	11	7	0	0	1	0	149	0	4	0	13	32	0	1	3	0	6	8	0	378	7	0	24	21	0	0	1	1	10	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
4501	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;Thiovulaceae;family;	Thiovulaceae	family	1324	1651	2840	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	8	0	5	2	0	0	0	0	1	11	7	0	0	1	0	0	0	4	0	13	32	0	1	0	0	5	8	0	0	7	0	0	21	0	0	1	1	8	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
1486	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;Thiovulaceae;family;Sulfuricurvum;genus;	Sulfuricurvum	genus	1324	1651	2840	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1	11	6	0	0	1	0	0	0	0	0	13	32	0	1	0	0	3	6	0	0	7	0	0	21	0	0	1	1	8	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1487	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;Thiovulaceae;family;Sulfurimonas;genus;	Sulfurimonas	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
4497	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;Arcobacteraceae;family;	Arcobacteraceae	family	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3651	Root;rootrank;Bacteria;domain;Campilobacterota;phylum;Campylobacteria;class;Campylobacterales;order;Arcobacteraceae;family;Pseudarcobacter;genus;	Pseudarcobacter	genus	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
