taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
4515	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Caproicibacter;genus;	Caproicibacter	genus	0	0	1	32	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4520	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Tepidibaculum;genus;	Tepidibaculum	genus	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3026	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Anaerobacterium;genus;	Anaerobacterium	genus	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3982	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Caproiciproducens;genus;	Caproiciproducens	genus	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3282	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Ercella;genus;	Ercella	genus	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	7
3992	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Thermoclostridium;genus;	Thermoclostridium	genus	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2492	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Ruminococcus;genus;	Ruminococcus	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4148	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Colidextribacter;genus;	Colidextribacter	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4518	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Massiliimalia;genus;	Massiliimalia	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2622	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Saccharofermentans;genus;	Saccharofermentans	genus	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0
2485	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Faecalibacterium;genus;	Faecalibacterium	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2488	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Anaerofilum;genus;	Anaerofilum	genus	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	4
4257	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Monoglobus;genus;	Monoglobus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3049	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Intestinimonas;genus;	Intestinimonas	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2491	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Anaerotruncus;genus;	Anaerotruncus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3272	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Peptoniphilaceae;family;	Peptoniphilaceae	family	46	0	0	0	1	40	0	0	2	9	1	0	10	0	0	0	1	0	0	0
