taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	6149	9515	9846	8062	9784	6125	9956	9056	9612	2625	8192	8638	6904	9509	9117	9180	9136	1824	9017	8587
2259	Root;rootrank;Bacteria;domain;Firmicutes;phylum;	Firmicutes	phylum	1595	166	111	5911	18	3444	343	400	745	164	86	1099	1047	118	188	205	661	367	425	1265
2260	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;	Bacilli	class	1349	63	1	49	11	2445	312	19	448	62	24	249	461	88	77	79	65	71	38	198
2333	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;	Lactobacillales	order	1019	3	0	8	0	270	213	13	102	47	3	5	407	88	9	72	11	71	19	152
2371	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Streptococcaceae;family;	Streptococcaceae	family	854	2	0	5	0	211	189	13	75	25	2	2	85	0	1	0	6	0	16	0
2372	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Streptococcaceae;family;Streptococcus;genus;	Streptococcus	genus	854	2	0	5	0	211	189	13	23	25	2	2	84	0	1	0	6	0	16	0
2373	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Streptococcaceae;family;Lactococcus;genus;	Lactococcus	genus	0	0	0	0	0	0	0	0	52	0	0	0	1	0	0	0	0	0	0	0
2363	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;	Lactobacillaceae	family	114	1	0	1	0	35	2	0	6	4	0	1	30	0	0	4	0	71	1	0
2369	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Leuconostoc;genus;	Leuconostoc	genus	96	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0
2364	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Lactobacillus;genus;	Lactobacillus	genus	10	1	0	1	0	26	1	0	0	4	0	1	8	0	0	0	0	0	1	0
2368	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Weissella;genus;	Weissella	genus	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2364	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;unclassified_Lactobacillaceae;;	unclassified_Lactobacillaceae		0	0	0	0	0	7	1	0	0	0	0	0	2	0	0	0	0	2	0	0
4416	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Limosilactobacillus;genus;	Limosilactobacillus	genus	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0
