T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-20.905449,-20.905449,-20.905449,-20.905449
5,-20.567438,-20.567438,-20.567438,-20.567438
10,-20.235844,-20.235844,-20.235844,-20.235844
15,-19.911834,-19.911834,-19.911834,-19.911834
20,-19.595652,-19.595652,-19.595652,-19.595652
25,-19.287381,-19.287381,-19.287381,-19.287381
30,-18.986999,-18.986999,-18.986999,-18.986999
35,-18.69441,-18.69441,-18.69441,-18.69441
40,-18.409472,-18.409472,-18.409472,-18.409472
45,-18.132008,-18.132008,-18.132008,-18.132008
50,-17.861824,-17.861824,-17.861824,-17.861824
55,-17.598709,-17.598709,-17.598709,-17.598709
60,-17.34245,-17.34245,-17.34245,-17.34245
65,-17.092829,-17.092829,-17.092829,-17.092829
70,-16.849629,-16.849629,-16.849629,-16.849629
75,-16.612636,-16.612636,-16.612636,-16.612636
80,-16.381638,-16.381638,-16.381638,-16.381638
85,-16.156431,-16.156431,-16.156431,-16.156431
90,-15.936815,-15.936815,-15.936815,-15.936815
95,-15.722596,-15.722596,-15.722596,-15.722596
100,-15.513588,-15.513588,-15.513588,-15.513588
105,-15.309629,-15.309629,-15.309629,-15.309629
110,-15.110527,-15.110527,-15.110527,-15.110527
115,-14.916116,-14.916116,-14.916116,-14.916116
120,-14.726232,-14.726232,-14.726232,-14.726232
125,-14.540722,-14.540722,-14.540722,-14.540722
130,-14.359435,-14.359435,-14.359435,-14.359435
135,-14.182229,-14.182229,-14.182229,-14.182229
140,-14.008964,-14.008964,-14.008964,-14.008964
145,-13.839509,-13.839509,-13.839509,-13.839509
150,-13.673735,-13.673735,-13.673735,-13.673735
155,-13.51152,-13.51152,-13.51152,-13.51152
160,-13.352745,-13.352745,-13.352745,-13.352745
165,-13.197296,-13.197296,-13.197296,-13.197296
170,-13.045064,-13.045064,-13.045064,-13.045064
175,-12.895943,-12.895943,-12.895943,-12.895943
180,-12.74983,-12.74983,-12.74983,-12.74983
185,-12.606628,-12.606628,-12.606628,-12.606628
190,-12.466241,-12.466241,-12.466241,-12.466241
195,-12.328578,-12.328578,-12.328578,-12.328578
200,-12.193548,-12.193548,-12.193548,-12.193548
205,-12.061065,-12.061065,-12.061065,-12.061065
210,-11.931046,-11.931046,-11.931046,-11.931046
215,-11.803408,-11.803408,-11.803408,-11.803408
220,-11.678072,-11.678072,-11.678072,-11.678072
225,-11.554959,-11.554959,-11.554959,-11.554959
230,-11.433994,-11.433994,-11.433994,-11.433994
235,-11.315102,-11.315102,-11.315102,-11.315102
240,-11.198208,-11.198208,-11.198208,-11.198208
245,-11.083239,-11.083239,-11.083239,-11.083239
250,-10.970123,-10.970123,-10.970123,-10.970123
255,-10.858786,-10.858786,-10.858786,-10.858786
260,-10.749156,-10.749156,-10.749156,-10.749156
265,-10.641159,-10.641159,-10.641159,-10.641159
270,-10.534718,-10.534718,-10.534718,-10.534718
275,-10.429756,-10.429756,-10.429756,-10.429756
280,-10.326193,-10.326193,-10.326193,-10.326193
285,-10.223943,-10.223943,-10.223943,-10.223943
290,-10.122916,-10.122916,-10.122916,-10.122916
295,-10.023015,-10.023015,-10.023015,-10.023015
300,-9.924132,-9.924132,-9.924132,-9.924132
