T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-14.435953,-13.27852,-14.435953,-13.27852
5,-14.16399,-13.006557,-14.16399,-13.006557
10,-13.899225,-12.741792,-13.899225,-12.741792
15,-13.642057,-12.484623,-13.642057,-12.484623
20,-13.392284,-12.23485,-13.392284,-12.23485
25,-13.149678,-11.992245,-13.149678,-11.992245
30,-12.913998,-11.756565,-12.913998,-11.756565
35,-12.684998,-11.527565,-12.684998,-11.527565
40,-12.462431,-11.304997,-12.462431,-11.304997
45,-12.246053,-11.08862,-12.246053,-11.08862
50,-12.035628,-10.878195,-12.035628,-10.878195
55,-11.830927,-10.673494,-11.830927,-10.673494
60,-11.631728,-10.474295,-11.631728,-10.474295
65,-11.437819,-10.280386,-11.437819,-10.280386
70,-11.248996,-10.091563,-11.248996,-10.091563
75,-11.065065,-9.907632,-11.065065,-9.907632
80,-10.885839,-9.728405,-10.885839,-9.728405
85,-10.71114,-9.553707,-10.71114,-9.553707
90,-10.540799,-9.383366,-10.540799,-9.383366
95,-10.374654,-9.217221,-10.374654,-9.217221
100,-10.212555,-9.055122,-10.212555,-9.055122
105,-10.054394,-8.89696,-10.054394,-8.89696
110,-9.899993,-8.74256,-9.899993,-8.74256
115,-9.74922,-8.591786,-9.74922,-8.591786
120,-9.601947,-8.444514,-9.601947,-8.444514
125,-9.458053,-8.30062,-9.458053,-8.30062
130,-9.317423,-8.159989,-9.317423,-8.159989
135,-9.179945,-8.022512,-9.179945,-8.022512
140,-9.045515,-7.888082,-9.045515,-7.888082
145,-8.914033,-7.756599,-8.914033,-7.756599
150,-8.7854,-7.627967,-8.7854,-7.627967
155,-8.659527,-7.502093,-8.659527,-7.502093
160,-8.536324,-7.378891,-8.536324,-7.378891
165,-8.415707,-7.258274,-8.415707,-7.258274
170,-8.297596,-7.140163,-8.297596,-7.140163
175,-8.181914,-7.024481,-8.181914,-7.024481
180,-8.068587,-6.911154,-8.068587,-6.911154
185,-7.957544,-6.800111,-7.957544,-6.800111
190,-7.848718,-6.691285,-7.848718,-6.691285
195,-7.742044,-6.584611,-7.742044,-6.584611
200,-7.63746,-6.480027,-7.63746,-6.480027
205,-7.534908,-6.377475,-7.534908,-6.377475
210,-7.43433,-6.276897,-7.43433,-6.276897
215,-7.335672,-6.178239,-7.335672,-6.178239
220,-7.238882,-6.081449,-7.238882,-6.081449
225,-7.14391,-5.986477,-7.14391,-5.986477
230,-7.050709,-5.893276,-7.050709,-5.893276
235,-6.959231,-5.801798,-6.959231,-5.801798
240,-6.869434,-5.712001,-6.869434,-5.712001
245,-6.781274,-5.62384,-6.781274,-5.62384
250,-6.694709,-5.537276,-6.694709,-5.537276
255,-6.6097,-5.452267,-6.6097,-5.452267
260,-6.526209,-5.368775,-6.526209,-5.368775
265,-6.444196,-5.286763,-6.444196,-5.286763
270,-6.363626,-5.206193,-6.363626,-5.206193
275,-6.284462,-5.127028,-6.284462,-5.127028
280,-6.206667,-5.049234,-6.206667,-5.049234
285,-6.130207,-4.972774,-6.130207,-4.972774
290,-6.055046,-4.897613,-6.055046,-4.897613
295,-5.981149,-4.823716,-5.981149,-4.823716
300,-5.90848,-4.751047,-5.90848,-4.751047
