old,new,source
C6TP87,P08736,FKL+19
X2JC80,P38979,FKL+19
Q9VWB8,Q8IQV9,FKL+19
Q9W1Y0,F3YDF1,FKL+19
A4V2J1,Q24400,FKL+19
T2GGB6,Q9W088,FKL+19
A1Z945,A0A0B4K859,FKL+19
Q59E65,A8DYP0,FKL+19
Q2EZ47,Q8I8U7,FKL+19
B7FNR1,A1Z877,FKL+19
Q9VGX3,C0HK95,FKL+19
M9MRS7,Q23978,FKL+19
M9MRQ9,Q94522,FKL+19
Q8SZH5,A1YK02,FKL+19
Q9VBU7,A0A0B4K7J2,FKL+19
Q1EC13,Q9VWI0,FKL+19
