Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q7K173,1.81,6,1.375,1.564
P23128,-0.31,2,4.209,5.237
Q9VX69,2.08,5,3.711,2.653
Q9V6K1,-1.81,8,2.682,3
O77410,-1.16,9,4.124,4.615
Q9VCK0,-1.23,12,3.598,4.473
P19109,-1.6,9,4.296,4.495
Q27415,-1.51,8,4.555,4.646
Q9VD61,2.39,4,0.437,2.305
Q9VWP2,1.95,9,3.169,1.884
M9PBL3,-2.07,8,6.343,4.67
Q9NJH0,-1.38,16,5.612,5.898
E4NKN3,-0.94,5,2.072,4.242
M9PG62,-1.64,8,3.944,3.116
P55830,-1.25,11,5.097,6.941
Q9VXR5,-1.67,10,4.382,3.656
O96299,1.66,7,1.614,2.277
Q7K3J0,-1.97,7,3.121,3.517
Q7K485,0.23,4,5.051,3.368
M9PCC1,-1.45,12,6.874,6.465
Q8IQX8,-1.98,7,2.81,2.171
C6TP87,-1.68,14,7.396,7.645
Q7K5N8,2.88,6,4.007,0.306
O16797,-1.33,9,5.793,6.095
Q9VCA5,-1.54,8,1.909,2.228
Q9VMF0,2.3,9,4.114,1.633
Q8IN02,-1.38,7,2.343,3.125
X2JD55,-2.59,7,10.813,-3.123
Q9VXI1,1.99,8,5.005,4.158
F0JAN1,2.24,8,4.278,2.875
X2JEX8,-2.86,6,9.176,-1.439
X2JB25,-2.98,7,9.176,-3.215
D1Z363,2.13,5,4.351,-5.398
X2JC82,-3.34,6,5.322,3.588
X2JDU0,-1.14,12,5.719,6.919
A4V303,-2.13,7,3.262,3.271
G3M3A2,-1.21,11,6.934,7.342
Q9VLG9,2.31,9,2.088,1.78
Q9W3L4,2.62,8,6.478,3.241
Q9VNE2,-1.44,13,5.125,4.917
Q7K084,2.24,5,2.522,4.477
M9PB84,-1.25,8,5.885,6.984
Q9VV60,-1.42,10,3.094,3.387
Q9V3G7,-1.57,9,3.553,3.601
Q9W4W5,0.6,1,2.688,0.288
C9QP42,-1.5,8,5.73,6.13
Q9VAJ9,1.54,10,3.218,2.785
X2JF59,-1.27,5,5.035,4.652
Q9VG32,3.02,11,4.908,4.162
Q961R8,-1.37,8,2.646,2.824
Q9VKZ8,-1.59,10,2.875,3.264
E8NH46,-1.1,7,4.981,4.452
M9NF14,-1.93,11,1.386,1.49
Q95S79,2.46,11,3.88,3.279
O02195,-1.02,11,3.325,4.729
P36241,-1.03,11,6.037,6.891
X2JGM9,-1.28,8,5.417,7.348
O97428,-1.98,6,5.339,3.944
X2JGG6,-3.51,6,4.295,3.805
Q9U1L2,1.37,5,4.063,3.855
Q9VEG6,-1.16,8,1.721,2.415
Q8MLY8,-1.28,12,6.111,6.859
B8A416,1.05,2,1.559,1.684
O96827,-1.25,9,5.11,5.764
Q7K8X7,3.74,7,3.211,2.419
Q8IRJ9,1.15,7,3.161,2.329
P22464,1.18,11,4.018,4.421
M9NDC3,-2.85,5,3.064,2.946
Q9VNB9,-1.09,11,5.086,5.982
Q8T0L3,-1.6,7,3.308,3.396
Q9VV72,1.48,6,3.915,3.739
Q9VG42,1.77,3,3.491,2.017
Q9VK69,-2.13,8,3.031,3.906
X2JCS6,-1.11,14,6.291,6.884
Q9W0J9,1.43,7,4.042,3.032
Q9VTP4,-1.09,8,6.041,6.449
E2QCY2,0.73,2,3.094,1.266
Q9VSD6,-1.29,8,4.114,3.503
X2J5G6,-1.12,12,5.362,7.133
Q9VFC2,1.27,11,2.279,3.35
Q9V405,-1.36,5,3.62,3.28
Q9U9Q4,-1.26,14,4.274,4.544
Q6NL44,1.29,5,1.536,1.278
M9PI17,-0.19,2,4.869,3.574
P28668,-1.26,10,2.516,2.435
T2FFB7,-1.51,8,2.461,2.47
Q9VHL2,-2.13,8,3.18,3.752
Q9VLI0,2.73,7,5.39,0.594
Q9VPN5,-1.86,8,3.781,3.385
Q9VLH9,3.56,7,5.741,2.194
M9PE14,-0.37,0,1.376,3.023
P41094,-1.25,8,5.376,6.982
M9PHM6,-1.12,9,6.203,7.041
P13060,-1.46,12,6.174,6.634
Q9VY87,1.31,7,4.836,4.065
A1ZAX1,-1.22,13,4.24,4.165
Q9GU68,-1.14,7,6.152,6.885
E4NKG1,-1.45,7,3.247,3.051
Q9W392,-2.19,7,3.59,3.836
P22769,-1.42,7,3.8,4.184
Q9VM19,0.65,2,2.659,4.184
C7LAB1,2.76,12,2.664,1.784
A5XCL5,2.64,11,4.239,2.597
Q9VZU7,-1.49,8,1.07,0.768
Q9VV82,-1.68,8,2.092,2.326
Q9U5W6,1.09,2,1.906,2.649
Q9Y112,0.94,9,4.991,3.616
Q9W3Y3,-2.45,7,2.785,3.31
Q8T4E1,2.14,2,1.711,2.222
M9PFF0,-1.33,10,5.405,6.77
M9NCS8,2.39,12,6.274,3.692
