study,name,Run,BioSample,sample,lake,depth,date,LibraryName,O2 (umol L-1)
MZG+20,Swiss Lakes,ERR2756362,SAMEA4853934,L02r,Lake Lugano,71,2015-11-04,c,55.88
MZG+20,Swiss Lakes,ERR2756363,SAMEA4853935,Z03r,Lake Zug,104,2015-10-12,c,23.85
MZG+20,Swiss Lakes,ERR2756297,SAMEA4853091,G03,Greifensee,6.5,2015-08-20,c,47.32
MZG+20,Swiss Lakes,ERR2756298,SAMEA4853092,G04,Greifensee,6.9,2015-08-20,c,2
MZG+20,Swiss Lakes,ERR2756299,SAMEA4853093,G05,Greifensee,7.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756300,SAMEA4853094,G06,Greifensee,7.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756301,SAMEA4853095,G07,Greifensee,8.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756234,SAMEA4853095,G07,Greifensee,8.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756235,SAMEA4853096,G08,Greifensee,8.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756302,SAMEA4853096,G08,Greifensee,8.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756303,SAMEA4853097,G09,Greifensee,8.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756236,SAMEA4853097,G09,Greifensee,8.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756237,SAMEA4853098,G10,Greifensee,9.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756304,SAMEA4853098,G10,Greifensee,9.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756305,SAMEA4853099,G11,Greifensee,9.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756238,SAMEA4853099,G11,Greifensee,9.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756239,SAMEA4853100,G12,Greifensee,10.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756306,SAMEA4853100,G12,Greifensee,10.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756307,SAMEA4853101,G13,Greifensee,10.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756240,SAMEA4853101,G13,Greifensee,10.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756241,SAMEA4853102,G14,Greifensee,10.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756308,SAMEA4853102,G14,Greifensee,10.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756309,SAMEA4853103,G15,Greifensee,11.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756242,SAMEA4853103,G15,Greifensee,11.3,2015-08-20,c,0.02
