study,name,Run,BioSample,sample,sDII,type
MMA+20,"Pennsylvania Streams 2017",SRR9115166,SAMN11830873,PASFUOG_Bark_Camp_Sed_0916,21.43,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115163,SAMN11830874,PASFUOG_Bark_Camp_Sed_0917,21.43,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115164,SAMN11830875,PASFUOG_Boone_Dup_Sed_0417,60.71,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115157,SAMN11830876,PASFUOG_Boone_Dup_Sed_0917,60.71,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115158,SAMN11830877,PASFUOG_Boone_Johnson_Dup_Sed_0416,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115074,SAMN11830890,PASFUOG_Browns_Sed_0417,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115156,SAMN11830891,PASFUOG_Browns_Sed_0916,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115075,SAMN11830898,PASFUOG_Canada_Lower_Sed_0916,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115127,SAMN11830899,PASFUOG_Canada_Lower_Sed_0917,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115077,SAMN11830900,PASFUOG_Cedar_Sed_0416,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115076,SAMN11830901,PASFUOG_Cedar_Sed_0417,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115124,SAMN11830902,PASFUOG_Cedar_Sed_0916,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115123,SAMN11830903,PASFUOG_Cedar_Sed_0917,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115126,SAMN11830904,PASFUOG_Dam_Sed_0416,35.71,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115125,SAMN11830905,PASFUOG_Dam_Sed_0417,35.71,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115079,SAMN11830906,PASFUOG_Dam_Sed_0916,35.71,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115078,SAMN11830907,PASFUOG_Dam_Sed_0917,35.71,"high disturbance"
