protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
species,Luteitalea pratensis,1,,1,45.64,2.7,20.29,17.77,12.13,30.79,7.8,14.2,7.78,35.76,7.27,7.99,20.5,11.68,29.29,19.14,21.55,30.28,5.51,8.02
species,Candidatus Marinimicrobia bacterium,1,,1,31,1,19.25,16.75,20,29.75,5.75,37,16.25,46.25,12.25,18.75,16.5,11.5,24,30,18,25.75,5,13.5
genus,Azorhizobium,4,Xanthobacteraceae,1,45.02,2.59,17.62,17.45,11.93,29.12,6.43,15.35,9.51,34.57,7.61,7.62,18.4,9.78,23.34,17.02,17.94,25.71,4.11,6.96
genus,Buchnera,1,Erwiniaceae,1,13.73,4.22,13.49,16.62,16.98,17.17,6.98,39.88,34.36,32.62,7.01,25.06,9.67,10.74,11.67,23.42,14.99,15.36,2.93,12.63
genus,Cellulomonas,71,Cellulomonadaceae,1,48.19,1.86,21.83,16.97,8.16,31.11,7.07,9.24,4.49,34.34,4.99,4.82,19.94,8.86,26.1,16.28,21.44,34.44,5.22,5.98
genus,Dictyoglomus,3,Dictyoglomaceae,1,16.82,2.29,16.26,26.65,16.72,21.63,4.49,32.42,28.36,34.12,6.41,15.82,13.11,7.07,14.38,18.49,13.72,21.02,3.65,14.4
genus,Methylophilus,15,Methylophilaceae,1,32.6,2.8,16.67,17.62,12.22,22.66,7.95,18.84,15.43,34.11,8.56,12.48,13.81,16.52,15.68,19.33,17.59,23.01,4.24,9.2
genus,Syntrophotalea,3,Syntrophotaleaceae,1,31.03,4.51,17.88,20.77,12.85,25.77,7.02,18.07,13.84,36.45,7.88,9.91,14.92,12.9,21.87,17.81,15.73,23.22,3.54,8.49
genus,Phenylobacterium,14,Caulobacteraceae,1,44.17,2.34,17.84,17.83,11.1,28.37,5.66,13.24,9.31,31.36,7.01,7.12,17.56,9.89,23.52,15.54,15.86,23.64,4.44,6.76
genus,Shewanella,141,Shewanellaceae,1,30.72,3.45,18.56,19.47,13.32,22.86,7.58,20.77,16.96,35.66,8.68,14.07,13.1,16.37,15.01,22.21,17.8,22.54,4.22,10.03
genus,Myxococcus,29,Myxococcaceae,1,44.46,3.56,18.94,23.72,12.49,32.23,7.85,10.69,10.37,41.71,7.4,7.68,22.46,12.31,29.73,21.55,20.03,30.95,5.16,7.6
genus,Corallococcus,32,Myxococcaceae,1,47.65,3.62,21.67,24.79,13.53,35.11,8.66,11.73,12.94,43.82,7.72,9.01,24.57,13.65,30.73,22.22,22.53,32.74,5.6,8.72
genus,Stigmatella,2,Archangiaceae,1,45.52,3.63,17.93,25.02,13.06,33.66,8.14,12.04,11.65,42.75,7.25,8.83,23.88,14.52,29.09,22.25,20.75,29.57,5.29,8.39
genus,Cystobacter,2,Archangiaceae,1,41.91,3.48,18.02,24.73,12.48,31.82,8.18,11.44,10.49,41.63,7.19,8.35,22.49,12.88,29.87,21.83,19.89,28.99,5.45,8.17
genus,Archangium,4,Archangiaceae,1,43.69,3.58,18.47,25.65,12.7,33.17,8.19,11.15,10.97,43.03,7.33,8.23,23.43,13.2,30.67,22,20.65,30.25,5.48,8.21
genus,Chondromyces,2,Polyangiaceae,1,52.15,4.49,22.27,25.14,12.12,37.03,8.64,14.18,9.72,41.35,7.26,7.51,25.77,12.23,31.99,22.92,21.77,30.71,5.11,7.63
genus,Nannocystis,1,Nannocystaceae,1,49.34,5.01,22.61,21.9,11.17,32.63,7.86,12.12,8.09,37.57,6.03,6.67,23.67,10.7,29.04,17.87,19.49,27.6,5.16,7.1
genus,Sorangium,1,Polyangiaceae,1,55.22,4.47,22.21,24.57,11.75,36.42,7.92,13.86,8.92,39.62,6.58,6.79,24.8,10.42,33.43,21.49,18.3,29.19,4.96,7.62
genus,Vitreoscilla,4,Neisseriaceae,1,33.6,3.17,16.33,16.74,11.5,22.65,8.08,16.52,13.27,33.02,8.12,11.54,13.69,16.31,16.13,17.59,16.51,23.06,4.76,8.44
genus,Herpetosiphon,4,Herpetosiphonaceae,1,37.38,2.62,17.35,19.48,12.84,25.92,8.66,22.28,9.31,39.77,8.15,13.64,17.47,18.01,20.69,21,20.6,23.26,5.6,9.81
genus,Lysobacter,63,Xanthomonadaceae,1,43.64,2.73,20.05,17.82,11.08,28.56,7.39,13.68,8.93,34.89,7.19,8.25,17.83,11.78,25.85,17.29,16.36,24.74,5.05,7.71
genus,Simonsiella,1,Neisseriaceae,1,27.81,2.92,15.94,17.67,12.54,19.82,6.91,19.19,17.59,29.97,7.83,15.71,11.87,15.52,13.77,17.4,16.77,19.88,3.81,9.3
genus,Hyphomicrobium,14,Hyphomicrobiaceae,1,38.47,2.61,17.54,17.78,11.4,25.73,6.24,16.58,12.1,30.46,7.08,8.54,16.24,9.55,21.54,18.06,16.86,22.94,4.1,7.1
genus,Hyphomonas,19,Hyphomonadaceae,1,37.85,2.51,19.52,19.64,11.75,26.34,5.84,16.24,10.99,30.07,8.17,8.58,16.14,9.48,20.55,17.72,16.85,21.5,4.39,7.46
genus,Stella,3,Acetobacteraceae,1,48.08,2.44,19.99,17.89,11.9,30.04,7.28,13.55,6.06,35.48,7.42,6.08,20.62,9.27,31.85,14.18,15.74,24.39,4.77,7.22
genus,Ancylobacter,5,Xanthobacteraceae,1,43.93,2.49,17.49,18.11,11.9,29.03,6.35,15.56,8.8,34.03,7.49,7.35,18.08,8.96,23.63,16.36,16.98,24.9,4.2,6.86
genus,Polaribacter,41,Flavobacteriaceae,1,21.21,2.35,18.9,22.61,19.09,21.51,5.7,29.1,30.16,31.69,6.97,23.32,10.87,11.04,10.86,22.89,20.68,21.15,3.54,13.72
genus,Flectobacillus,2,Cytophagaceae,1,24.94,2.9,18.14,21.19,17.78,23.52,6.45,26.11,25.53,34.02,7.69,20.29,13.36,15.04,13.1,23.63,21.14,22.67,4.55,14.68
genus,Cyclobacterium,10,Cyclobacteriaceae,1,25.28,2.52,20.4,25.57,18.8,26.97,7.16,25.27,23.29,36.69,8.86,19,15.46,13.77,15.92,24.02,18.7,22.6,5.05,14.11
