seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
23,-70.024,-70.086,-70.055,-70.086,-70.18,-70.196,-70.196,-70.604,-70.243,-70.29,-70.353,-70.463,-70.118,-70.29,-70.306,-70.071,-70.18
24,-69.914,-70.008,-69.961,-69.976,-70.133,-70.18,-70.165,-70.635,-70.133,-70.212,-70.29,-70.431,-69.976,-70.243,-70.29,-69.961,-70.133
25,-70.714,-70.792,-70.745,-70.761,-70.886,-70.918,-70.918,-71.137,-70.792,-70.839,-70.902,-70.98,-70.714,-70.918,-70.949,-70.745,-70.886
26,-71.012,-71.075,-71.059,-71.075,-71.169,-71.2,-71.184,-71.875,-71.341,-71.42,-71.498,-71.655,-71.169,-71.357,-71.388,-71.075,-71.169
27,-70.431,-70.494,-70.463,-70.478,-70.588,-70.62,-70.604,-70.918,-70.604,-70.651,-70.714,-70.776,-70.494,-70.682,-70.714,-70.478,-70.588
28,-70.337,-70.4,-70.369,-70.384,-70.463,-70.478,-70.478,-70.761,-70.478,-70.525,-70.573,-70.651,-70.384,-70.525,-70.541,-70.369,-70.463
29,-70.776,-70.839,-70.808,-70.824,-70.933,-70.965,-70.965,-71.216,-70.855,-70.902,-70.965,-71.043,-70.776,-70.98,-71.012,-70.808,-70.933
30,-70.259,-70.353,-70.306,-70.353,-70.478,-70.525,-70.51,-71.467,-70.761,-70.871,-70.965,-71.184,-70.494,-70.761,-70.824,-70.337,-70.478
31,-69.929,-69.992,-69.961,-69.992,-70.071,-70.102,-70.102,-70.761,-70.29,-70.369,-70.431,-70.573,-70.102,-70.29,-70.322,-69.992,-70.071
32,-70.667,-70.776,-70.714,-70.729,-70.902,-70.933,-70.933,-71.153,-70.729,-70.776,-70.871,-70.949,-70.635,-70.902,-70.949,-70.698,-70.902
33,-70.337,-70.447,-70.384,-70.416,-70.573,-70.604,-70.604,-71.059,-70.51,-70.588,-70.682,-70.808,-70.384,-70.651,-70.698,-70.384,-70.573
34,-70.29,-70.4,-70.337,-70.353,-70.541,-70.573,-70.573,-70.792,-70.337,-70.4,-70.494,-70.588,-70.259,-70.525,-70.573,-70.337,-70.541
35,-70.667,-70.761,-70.698,-70.714,-70.871,-70.902,-70.902,-71.31,-70.808,-70.871,-70.949,-71.075,-70.682,-70.933,-70.98,-70.698,-70.871
36,-70.667,-70.745,-70.698,-70.729,-70.855,-70.886,-70.886,-71.184,-70.839,-70.886,-70.949,-71.043,-70.729,-70.933,-70.965,-70.714,-70.855
37,-70.102,-70.196,-70.149,-70.165,-70.322,-70.353,-70.353,-70.792,-70.275,-70.337,-70.431,-70.557,-70.133,-70.4,-70.447,-70.149,-70.322
38,-70.698,-70.776,-70.729,-70.745,-70.886,-70.918,-70.918,-71.404,-70.886,-70.949,-71.027,-71.169,-70.745,-70.98,-71.012,-70.729,-70.886
39,-70.447,-70.541,-70.478,-70.51,-70.651,-70.698,-70.682,-71.184,-70.651,-70.714,-70.808,-70.949,-70.51,-70.761,-70.792,-70.494,-70.651
40,-71.357,-71.42,-71.373,-71.388,-71.498,-71.514,-71.514,-71.875,-71.467,-71.514,-71.576,-71.686,-71.357,-71.545,-71.576,-71.373,-71.498
41,-70.29,-70.337,-70.306,-70.337,-70.4,-70.416,-70.416,-70.729,-70.494,-70.525,-70.573,-70.635,-70.384,-70.51,-70.541,-70.322,-70.4
42,-70.384,-70.447,-70.416,-70.447,-70.541,-70.573,-70.573,-70.933,-70.62,-70.667,-70.729,-70.808,-70.494,-70.667,-70.698,-70.431,-70.541
43,-70.306,-70.384,-70.353,-70.384,-70.494,-70.541,-70.525,-71.294,-70.714,-70.808,-70.886,-71.059,-70.494,-70.729,-70.776,-70.384,-70.494
44,-70.133,-70.165,-70.149,-70.165,-70.212,-70.243,-70.227,-70.604,-70.322,-70.369,-70.4,-70.494,-70.227,-70.337,-70.353,-70.165,-70.212
45,-70.635,-70.714,-70.667,-70.698,-70.808,-70.855,-70.839,-71.263,-70.855,-70.918,-70.98,-71.09,-70.714,-70.933,-70.965,-70.682,-70.808
46,-70.384,-70.478,-70.431,-70.447,-70.604,-70.635,-70.635,-70.965,-70.541,-70.604,-70.682,-70.776,-70.431,-70.667,-70.698,-70.431,-70.604
47,-70.478,-70.51,-70.494,-70.51,-70.557,-70.573,-70.573,-70.902,-70.651,-70.682,-70.729,-70.792,-70.557,-70.667,-70.682,-70.51,-70.557
48,-70.604,-70.682,-70.635,-70.667,-70.792,-70.824,-70.824,-71.059,-70.761,-70.808,-70.871,-70.933,-70.667,-70.871,-70.902,-70.651,-70.792
49,-70.839,-70.918,-70.871,-70.886,-70.996,-71.027,-71.027,-71.247,-70.902,-70.949,-71.012,-71.09,-70.839,-71.027,-71.059,-70.871,-70.996
50,-70.776,-70.855,-70.808,-70.824,-70.949,-70.98,-70.98,-71.341,-70.933,-70.98,-71.059,-71.153,-70.808,-71.027,-71.059,-70.808,-70.949
51,-70.918,-70.965,-70.933,-70.933,-71.027,-71.043,-71.043,-71.137,-70.902,-70.933,-70.98,-71.027,-70.871,-71.012,-71.027,-70.933,-71.027
52,-70.478,-70.573,-70.525,-70.541,-70.698,-70.745,-70.729,-71.184,-70.667,-70.745,-70.824,-70.949,-70.525,-70.792,-70.839,-70.525,-70.698
53,-70.024,-70.118,-70.071,-70.086,-70.243,-70.275,-70.275,-70.729,-70.243,-70.306,-70.4,-70.51,-70.102,-70.369,-70.416,-70.071,-70.243
54,-70.337,-70.447,-70.384,-70.4,-70.573,-70.62,-70.62,-71.012,-70.447,-70.525,-70.62,-70.761,-70.337,-70.62,-70.667,-70.384,-70.573
55,-70.635,-70.667,-70.651,-70.651,-70.714,-70.729,-70.714,-71.012,-70.714,-70.745,-70.792,-70.871,-70.651,-70.761,-70.776,-70.651,-70.714
56,-70.039,-70.118,-70.071,-70.102,-70.227,-70.275,-70.275,-70.824,-70.337,-70.416,-70.494,-70.635,-70.165,-70.416,-70.447,-70.086,-70.227
57,-70.557,-70.635,-70.588,-70.62,-70.729,-70.761,-70.761,-71.263,-70.808,-70.871,-70.933,-71.059,-70.651,-70.871,-70.902,-70.604,-70.729
58,-70.855,-70.949,-70.902,-70.933,-71.059,-71.09,-71.075,-71.608,-71.106,-71.184,-71.263,-71.388,-70.949,-71.184,-71.231,-70.918,-71.043
59,-69.898,-69.961,-69.929,-69.961,-70.039,-70.071,-70.055,-70.698,-70.275,-70.337,-70.4,-70.541,-70.086,-70.259,-70.29,-69.961,-70.039
60,-69.82,-69.882,-69.851,-69.867,-69.961,-69.976,-69.976,-70.384,-69.992,-70.055,-70.118,-70.212,-69.882,-70.071,-70.102,-69.851,-69.961
61,-70.4,-70.478,-70.431,-70.463,-70.573,-70.604,-70.588,-70.949,-70.604,-70.651,-70.714,-70.808,-70.478,-70.682,-70.714,-70.447,-70.557
62,-70.243,-70.322,-70.275,-70.306,-70.431,-70.463,-70.463,-70.965,-70.51,-70.573,-70.651,-70.776,-70.353,-70.588,-70.62,-70.29,-70.431
63,-70.949,-70.996,-70.965,-70.98,-71.075,-71.09,-71.09,-71.31,-70.98,-71.027,-71.09,-71.169,-70.918,-71.075,-71.106,-70.965,-71.075
64,-69.945,-70.055,-70.008,-70.024,-70.18,-70.227,-70.212,-70.965,-70.337,-70.431,-70.525,-70.714,-70.118,-70.416,-70.463,-70.024,-70.18
65,-70.996,-71.059,-71.012,-71.027,-71.137,-71.153,-71.153,-71.341,-71.027,-71.075,-71.122,-71.2,-70.965,-71.137,-71.153,-71.012,-71.137
66,-70.165,-70.275,-70.212,-70.227,-70.416,-70.447,-70.447,-70.761,-70.275,-70.337,-70.431,-70.541,-70.165,-70.447,-70.494,-70.212,-70.4
67,-70.306,-70.353,-70.337,-70.353,-70.416,-70.447,-70.431,-70.918,-70.557,-70.604,-70.667,-70.761,-70.431,-70.573,-70.604,-70.353,-70.416
68,-69.804,-69.867,-69.835,-69.851,-69.961,-69.976,-69.976,-70.431,-70.039,-70.102,-70.165,-70.275,-69.898,-70.086,-70.118,-69.851,-69.961
69,-70.384,-70.478,-70.431,-70.463,-70.588,-70.62,-70.62,-71.012,-70.635,-70.698,-70.761,-70.855,-70.494,-70.714,-70.761,-70.447,-70.588
70,-69.992,-70.118,-70.055,-70.086,-70.275,-70.322,-70.322,-70.776,-70.196,-70.275,-70.384,-70.525,-70.039,-70.369,-70.416,-70.055,-70.275
71,-70.18,-70.275,-70.243,-70.259,-70.416,-70.447,-70.447,-71.043,-70.494,-70.573,-70.651,-70.808,-70.306,-70.573,-70.62,-70.243,-70.4
72,-70.761,-70.792,-70.776,-70.776,-70.839,-70.855,-70.839,-71.122,-70.855,-70.886,-70.933,-70.996,-70.776,-70.902,-70.918,-70.776,-70.839
73,-70.541,-70.62,-70.573,-70.588,-70.714,-70.761,-70.745,-71.184,-70.682,-70.745,-70.824,-70.949,-70.557,-70.792,-70.824,-70.573,-70.729
74,-70.463,-70.51,-70.478,-70.494,-70.541,-70.557,-70.557,-70.933,-70.62,-70.667,-70.714,-70.808,-70.525,-70.635,-70.667,-70.494,-70.541
75,-71.153,-71.2,-71.169,-71.169,-71.263,-71.278,-71.278,-71.388,-71.137,-71.169,-71.216,-71.263,-71.09,-71.231,-71.247,-71.153,-71.263
76,-70.949,-71.027,-70.98,-70.98,-71.106,-71.122,-71.137,-70.98,-70.776,-70.808,-70.855,-70.886,-70.808,-70.98,-71.012,-70.965,-71.106
77,-70.024,-70.086,-70.055,-70.071,-70.165,-70.196,-70.196,-70.369,-70.086,-70.118,-70.18,-70.243,-70.008,-70.18,-70.212,-70.055,-70.165
78,-70.635,-70.714,-70.667,-70.698,-70.808,-70.855,-70.839,-71.075,-70.776,-70.824,-70.886,-70.949,-70.682,-70.886,-70.918,-70.682,-70.824
79,-69.851,-69.914,-69.898,-69.914,-69.992,-70.024,-70.008,-70.651,-70.18,-70.259,-70.306,-70.463,-70.008,-70.18,-70.212,-69.914,-69.992
80,-70.29,-70.337,-70.322,-70.337,-70.4,-70.416,-70.4,-71.012,-70.588,-70.651,-70.714,-70.839,-70.431,-70.573,-70.588,-70.337,-70.384
81,-70.024,-70.118,-70.071,-70.102,-70.259,-70.29,-70.29,-70.808,-70.243,-70.322,-70.416,-70.557,-70.086,-70.369,-70.416,-70.071,-70.243
82,-69.992,-70.055,-70.024,-70.039,-70.133,-70.149,-70.149,-70.573,-70.243,-70.29,-70.337,-70.431,-70.102,-70.275,-70.29,-70.039,-70.133
83,-70.494,-70.541,-70.51,-70.525,-70.588,-70.62,-70.604,-70.902,-70.541,-70.588,-70.651,-70.745,-70.478,-70.635,-70.667,-70.51,-70.588
84,-70.635,-70.729,-70.667,-70.682,-70.824,-70.855,-70.871,-70.902,-70.62,-70.651,-70.714,-70.776,-70.557,-70.776,-70.808,-70.651,-70.824
85,-69.694,-69.82,-69.741,-69.773,-69.976,-70.024,-70.008,-70.541,-69.976,-70.055,-70.149,-70.306,-69.788,-70.086,-70.133,-69.757,-69.976
86,-70.604,-70.651,-70.62,-70.62,-70.682,-70.698,-70.698,-70.729,-70.588,-70.604,-70.635,-70.651,-70.573,-70.667,-70.667,-70.62,-70.682
87,-70.698,-70.792,-70.745,-70.761,-70.918,-70.949,-70.949,-71.106,-70.745,-70.792,-70.871,-70.949,-70.667,-70.918,-70.949,-70.729,-70.918
88,-70.886,-70.965,-70.918,-70.933,-71.043,-71.059,-71.059,-71.325,-70.965,-70.996,-71.075,-71.153,-70.886,-71.075,-71.09,-70.918,-71.043
89,-70.212,-70.259,-70.227,-70.243,-70.322,-70.337,-70.337,-70.745,-70.416,-70.463,-70.51,-70.604,-70.29,-70.447,-70.463,-70.243,-70.322
90,-70.165,-70.212,-70.196,-70.212,-70.29,-70.306,-70.306,-70.651,-70.353,-70.4,-70.431,-70.525,-70.243,-70.384,-70.4,-70.196,-70.29
91,-69.882,-69.945,-69.914,-69.945,-70.024,-70.055,-70.039,-70.62,-70.165,-70.243,-70.306,-70.431,-70.008,-70.196,-70.227,-69.929,-70.024
92,-70.51,-70.588,-70.541,-70.557,-70.682,-70.698,-70.698,-70.949,-70.588,-70.635,-70.698,-70.776,-70.51,-70.714,-70.745,-70.541,-70.667
93,-70.557,-70.667,-70.604,-70.635,-70.792,-70.824,-70.824,-71.278,-70.792,-70.855,-70.949,-71.075,-70.635,-70.902,-70.933,-70.62,-70.792
94,-70.133,-70.18,-70.165,-70.18,-70.259,-70.275,-70.259,-70.855,-70.416,-70.478,-70.541,-70.682,-70.259,-70.416,-70.447,-70.18,-70.243
95,-70.337,-70.447,-70.384,-70.416,-70.604,-70.651,-70.635,-71.184,-70.604,-70.682,-70.776,-70.933,-70.416,-70.729,-70.776,-70.4,-70.604
96,-69.914,-70.055,-69.976,-70.008,-70.212,-70.259,-70.259,-70.824,-70.18,-70.275,-70.384,-70.557,-69.992,-70.337,-70.384,-69.976,-70.212
97,-71.278,-71.357,-71.31,-71.325,-71.451,-71.467,-71.467,-71.561,-71.263,-71.31,-71.373,-71.42,-71.216,-71.42,-71.451,-71.31,-71.451
98,-69.992,-70.086,-70.039,-70.055,-70.212,-70.259,-70.243,-70.682,-70.227,-70.29,-70.384,-70.494,-70.071,-70.337,-70.369,-70.039,-70.212
99,-70.729,-70.808,-70.761,-70.776,-70.902,-70.949,-70.949,-71.263,-70.839,-70.902,-70.98,-71.075,-70.729,-70.965,-70.996,-70.761,-70.918
100,-70.745,-70.824,-70.792,-70.808,-70.949,-70.98,-70.98,-71.529,-70.98,-71.059,-71.137,-71.294,-70.839,-71.075,-71.122,-70.792,-70.949
