seed,LC,12H,1D,2D,7D
1,-67.91,-67.855,-67.773,-67.69,-68.02
2,-67.965,-67.91,-67.773,-67.8,-68.294
3,-68.184,-68.102,-68.047,-67.91,-68.184
4,-67.965,-67.882,-67.8,-67.745,-68.102
5,-67.745,-67.635,-67.525,-67.361,-67.855
6,-67.8,-67.69,-67.58,-67.443,-67.91
7,-68.404,-68.349,-68.267,-68.212,-68.541
8,-67.937,-67.855,-67.8,-67.69,-67.992
9,-68.431,-68.376,-68.294,-68.239,-68.541
10,-68.157,-68.129,-68.047,-68.047,-68.376
11,-68.102,-68.02,-67.965,-67.855,-68.129
12,-67.937,-67.882,-67.8,-67.718,-68.075
13,-68.102,-67.992,-67.937,-67.827,-68.129
14,-67.992,-67.937,-67.827,-67.827,-68.267
15,-67.498,-67.388,-67.278,-67.141,-67.745
16,-68.294,-68.239,-68.184,-68.129,-68.459
17,-68.212,-68.129,-68.047,-67.965,-68.322
18,-68.184,-68.157,-68.075,-68.047,-68.322
19,-68.047,-67.965,-67.91,-67.8,-68.102
20,-67.635,-67.498,-67.388,-67.196,-67.718
21,-67.91,-67.827,-67.773,-67.635,-67.882
22,-68.212,-68.157,-68.075,-68.047,-68.322
23,-68.239,-68.212,-68.129,-68.102,-68.404
24,-68.02,-67.965,-67.855,-67.827,-68.212
25,-68.02,-67.992,-67.855,-67.855,-68.322
26,-68.184,-68.075,-68.02,-67.91,-68.212
27,-67.443,-67.251,-67.169,-66.839,-67.333
28,-67.333,-67.196,-67.086,-66.867,-67.416
29,-67.58,-67.416,-67.306,-67.141,-67.745
30,-68.047,-67.992,-67.91,-67.882,-68.267
31,-68.102,-68.02,-67.965,-67.855,-68.157
32,-68.102,-68.02,-67.965,-67.827,-68.102
33,-68.047,-67.965,-67.91,-67.773,-68.047
34,-68.102,-68.02,-67.937,-67.827,-68.157
35,-67.882,-67.745,-67.69,-67.471,-67.855
36,-68.184,-68.157,-68.075,-68.047,-68.404
37,-67.965,-67.882,-67.827,-67.718,-67.992
38,-67.965,-67.91,-67.827,-67.773,-68.129
39,-67.855,-67.718,-67.635,-67.443,-67.882
40,-68.157,-68.102,-68.02,-67.992,-68.294
41,-68.129,-68.075,-67.965,-67.937,-68.376
42,-67.937,-67.855,-67.773,-67.663,-67.965
43,-68.047,-67.992,-67.91,-67.882,-68.267
44,-68.212,-68.157,-68.102,-68.047,-68.376
45,-68.184,-68.102,-68.047,-67.937,-68.267
46,-68.239,-68.184,-68.102,-68.047,-68.322
47,-68.047,-67.992,-67.91,-67.827,-68.129
48,-68.157,-68.102,-67.992,-67.937,-68.322
49,-67.553,-67.443,-67.333,-67.196,-67.745
50,-68.267,-68.212,-68.157,-68.075,-68.376
51,-68.02,-67.937,-67.882,-67.773,-68.047
52,-67.937,-67.882,-67.773,-67.745,-68.157
53,-68.047,-67.965,-67.91,-67.8,-68.075
54,-67.745,-67.663,-67.608,-67.498,-67.718
55,-68.02,-67.937,-67.855,-67.8,-68.157
56,-68.294,-68.239,-68.184,-68.129,-68.431
57,-67.882,-67.827,-67.773,-67.663,-67.937
58,-68.294,-68.239,-68.184,-68.129,-68.404
59,-67.992,-67.91,-67.855,-67.745,-68.02
60,-68.102,-68.02,-67.937,-67.855,-68.184
61,-68.322,-68.267,-68.184,-68.157,-68.459
62,-68.102,-68.02,-67.965,-67.855,-68.102
63,-68.075,-67.992,-67.91,-67.882,-68.239
64,-68.047,-67.965,-67.882,-67.8,-68.129
65,-68.184,-68.102,-68.02,-67.937,-68.294
66,-68.212,-68.184,-68.102,-68.075,-68.404
67,-68.102,-68.047,-67.965,-67.965,-68.267
68,-68.184,-68.157,-68.075,-68.075,-68.431
69,-68.322,-68.267,-68.212,-68.157,-68.486
70,-68.212,-68.157,-68.075,-68.047,-68.349
71,-67.992,-67.937,-67.827,-67.827,-68.239
72,-67.882,-67.773,-67.69,-67.498,-67.937
73,-67.965,-67.855,-67.8,-67.663,-67.882
74,-68.129,-68.102,-68.02,-68.02,-68.349
75,-68.267,-68.212,-68.129,-68.102,-68.431
76,-67.663,-67.525,-67.416,-67.224,-67.8
77,-67.69,-67.553,-67.498,-67.224,-67.635
78,-67.635,-67.471,-67.416,-67.196,-67.663
79,-68.102,-68.047,-67.965,-67.882,-68.184
80,-68.239,-68.184,-68.102,-68.075,-68.376
81,-67.663,-67.525,-67.416,-67.251,-67.773
82,-68.02,-67.937,-67.882,-67.8,-68.075
83,-67.937,-67.91,-67.8,-67.8,-68.212
84,-67.663,-67.525,-67.416,-67.224,-67.745
85,-67.773,-67.635,-67.553,-67.333,-67.8
86,-68.075,-68.02,-67.937,-67.882,-68.239
87,-68.075,-68.02,-67.91,-67.882,-68.294
88,-68.184,-68.157,-68.075,-68.047,-68.404
89,-68.184,-68.102,-68.02,-67.965,-68.294
90,-67.58,-67.443,-67.333,-67.114,-67.663
91,-67.635,-67.525,-67.443,-67.251,-67.69
92,-67.471,-67.306,-67.224,-66.976,-67.525
93,-67.827,-67.69,-67.608,-67.416,-67.937
94,-68.184,-68.102,-68.02,-67.965,-68.376
95,-67.855,-67.8,-67.718,-67.69,-68.075
96,-68.102,-68.047,-67.937,-67.91,-68.294
97,-68.102,-68.02,-67.965,-67.855,-68.129
98,-67.718,-67.58,-67.471,-67.278,-67.827
99,-68.129,-68.102,-68.02,-67.992,-68.322
100,-67.718,-67.58,-67.525,-67.306,-67.718
