seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1.49,0.745,0.765,1.02,0.863,0.725,0.647,0.863,0.843,1.02,0.902,0.471,0.373,0.451,0.02,0.882
2,1.039,0.549,0.843,1.098,0.941,0.882,0.667,0.902,0.608,0.882,0.098,0.216,0.255,0.725,0.118,0.902
3,0.686,0.059,0.294,0.569,0.392,0.294,0.118,0.373,0.157,0.412,-0.235,-0.275,-0.294,0.078,-0.51,0.373
4,0.804,0.294,0.49,0.706,0.588,0.51,0.353,0.569,0.353,0.569,-0.059,0,0,0.333,-0.137,0.569
5,1.235,0.765,0.882,1.078,0.961,0.882,0.784,0.941,0.824,1,0.667,0.549,0.51,0.725,0.353,0.961
6,0.843,0.255,0.333,0.569,0.431,0.314,0.216,0.412,0.333,0.51,0.373,0,-0.078,0.098,-0.392,0.431
7,1,0.451,0.725,1,0.824,0.765,0.569,0.824,0.51,0.804,0.118,0.137,0.137,0.588,-0.02,0.804
8,1.216,0.882,1.078,1.255,1.157,1.118,0.98,1.137,0.902,1.118,0.49,0.667,0.706,1.02,0.627,1.137
9,1.569,0.941,1.196,1.471,1.294,1.216,1.039,1.294,1,1.275,0.745,0.647,0.647,1.078,0.529,1.275
10,0.902,0.137,0.275,0.588,0.392,0.275,0.137,0.392,0.216,0.471,0,-0.216,-0.275,0,-0.549,0.392
11,2.471,2.098,2.314,2.49,2.392,2.353,2.216,2.373,2.137,2.353,1.686,1.882,1.922,2.275,1.922,2.373
12,2,1.529,1.765,1.98,1.843,1.804,1.627,1.843,1.569,1.804,1.157,1.255,1.275,1.686,1.196,1.843
13,1.549,1.059,1.216,1.392,1.294,1.216,1.118,1.275,1.118,1.314,0.824,0.824,0.824,1.078,0.686,1.275
14,0.902,0.333,0.608,0.843,0.706,0.627,0.451,0.686,0.412,0.667,-0.098,0,0.02,0.471,-0.118,0.686
15,1.863,1.392,1.667,1.902,1.765,1.725,1.549,1.745,1.431,1.706,0.961,1.118,1.157,1.647,1.176,1.745
16,1.196,0.667,0.765,0.961,0.843,0.765,0.667,0.843,0.725,0.902,0.627,0.431,0.392,0.569,0.176,0.843
17,1.098,0.627,0.824,1.039,0.922,0.863,0.706,0.902,0.667,0.902,0.176,0.333,0.353,0.706,0.255,0.902
18,0.765,0.255,0.373,0.569,0.451,0.353,0.255,0.431,0.314,0.49,0.275,0.039,0,0.196,-0.196,0.431
19,1.784,1.451,1.706,1.843,1.765,1.745,1.608,1.745,1.49,1.686,1.059,1.255,1.294,1.725,1.353,1.745
20,1.118,0.373,0.51,0.804,0.627,0.51,0.373,0.608,0.471,0.706,0.333,0.02,-0.039,0.235,-0.333,0.627
