seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-0.039,-0.549,-0.431,-0.235,-0.353,-0.431,-0.51,-0.353,-0.49,-0.314,-0.745,-0.765,-0.765,-0.569,-0.882,-0.353
2,0.157,-0.412,-0.176,0.059,-0.078,-0.157,-0.314,-0.098,-0.353,-0.098,-0.725,-0.686,-0.686,-0.314,-0.765,-0.098
3,0.02,-0.49,-0.392,-0.196,-0.314,-0.392,-0.49,-0.333,-0.431,-0.275,-0.647,-0.725,-0.745,-0.549,-0.863,-0.314
4,0.078,-0.431,-0.275,-0.059,-0.196,-0.275,-0.392,-0.196,-0.373,-0.176,-0.647,-0.706,-0.725,-0.451,-0.902,-0.196
5,0.157,-0.294,-0.059,0.137,0.02,-0.02,-0.176,0,-0.255,-0.039,-0.627,-0.529,-0.49,-0.059,-0.431,0
6,0.078,-0.529,-0.333,-0.078,-0.235,-0.333,-0.471,-0.255,-0.451,-0.216,-0.725,-0.804,-0.843,-0.529,-1.039,-0.255
7,-0.039,-0.627,-0.51,-0.255,-0.412,-0.51,-0.627,-0.431,-0.549,-0.353,-0.765,-0.902,-0.941,-0.745,-1.196,-0.412
8,0.078,-0.471,-0.392,-0.176,-0.314,-0.412,-0.51,-0.333,-0.412,-0.235,-0.608,-0.725,-0.765,-0.647,-1.02,-0.314
9,-0.137,-0.667,-0.529,-0.314,-0.431,-0.529,-0.627,-0.451,-0.608,-0.412,-0.843,-0.902,-0.922,-0.667,-1.039,-0.451
10,0.118,-0.49,-0.333,-0.078,-0.235,-0.333,-0.471,-0.255,-0.412,-0.196,-0.706,-0.784,-0.804,-0.549,-1.039,-0.255
11,0.02,-0.51,-0.373,-0.196,-0.314,-0.392,-0.49,-0.314,-0.451,-0.255,-0.667,-0.725,-0.745,-0.549,-0.863,-0.314
12,0.078,-0.49,-0.353,-0.118,-0.255,-0.353,-0.471,-0.275,-0.431,-0.216,-0.627,-0.765,-0.804,-0.549,-1.02,-0.275
13,0.02,-0.471,-0.353,-0.157,-0.275,-0.353,-0.451,-0.294,-0.412,-0.235,-0.627,-0.686,-0.686,-0.51,-0.804,-0.294
14,0.157,-0.392,-0.196,0.039,-0.098,-0.176,-0.314,-0.118,-0.333,-0.098,-0.647,-0.667,-0.647,-0.314,-0.745,-0.118
15,0.137,-0.314,-0.02,0.196,0.078,0.059,-0.137,0.059,-0.275,-0.02,-0.686,-0.549,-0.49,0.039,-0.373,0.039
16,0,-0.549,-0.392,-0.176,-0.314,-0.392,-0.51,-0.333,-0.49,-0.275,-0.765,-0.784,-0.804,-0.569,-0.941,-0.314
17,0.098,-0.392,-0.235,-0.02,-0.157,-0.216,-0.353,-0.176,-0.353,-0.157,-0.608,-0.627,-0.647,-0.353,-0.745,-0.157
18,0.039,-0.431,-0.314,-0.118,-0.235,-0.314,-0.412,-0.255,-0.373,-0.196,-0.588,-0.647,-0.667,-0.471,-0.804,-0.235
19,-0.098,-0.529,-0.431,-0.255,-0.353,-0.431,-0.51,-0.373,-0.49,-0.333,-0.706,-0.725,-0.745,-0.549,-0.824,-0.373
20,-0.157,-0.569,-0.294,-0.118,-0.216,-0.235,-0.392,-0.235,-0.529,-0.314,-0.902,-0.765,-0.706,-0.216,-0.569,-0.255
21,-0.078,-0.529,-0.431,-0.275,-0.373,-0.451,-0.529,-0.392,-0.49,-0.333,-0.686,-0.725,-0.725,-0.569,-0.824,-0.373
22,0.02,-0.49,-0.373,-0.157,-0.294,-0.373,-0.471,-0.294,-0.431,-0.255,-0.647,-0.725,-0.745,-0.529,-0.882,-0.294
23,-0.078,-0.745,-0.608,-0.333,-0.51,-0.608,-0.745,-0.51,-0.667,-0.431,-0.922,-1.059,-1.118,-0.863,-1.392,-0.51
24,-0.059,-0.549,-0.373,-0.176,-0.294,-0.353,-0.49,-0.314,-0.49,-0.294,-0.784,-0.784,-0.784,-0.49,-0.863,-0.314
25,0.216,-0.275,-0.078,0.137,0.02,-0.059,-0.196,0,-0.216,0,-0.549,-0.51,-0.51,-0.176,-0.608,0
26,-0.216,-0.765,-0.588,-0.373,-0.51,-0.588,-0.706,-0.529,-0.706,-0.51,-0.98,-1.02,-1.02,-0.706,-1.098,-0.529
27,-0.059,-0.588,-0.49,-0.294,-0.412,-0.51,-0.608,-0.431,-0.529,-0.353,-0.686,-0.824,-0.882,-0.725,-1.118,-0.412
28,0.078,-0.471,-0.275,-0.039,-0.176,-0.255,-0.412,-0.196,-0.392,-0.176,-0.647,-0.725,-0.745,-0.412,-0.902,-0.196
29,0,-0.569,-0.333,-0.059,-0.216,-0.294,-0.471,-0.235,-0.51,-0.255,-0.863,-0.863,-0.863,-0.431,-0.98,-0.255
30,0.157,-0.373,-0.216,0.02,-0.118,-0.196,-0.333,-0.137,-0.314,-0.098,-0.588,-0.647,-0.667,-0.373,-0.863,-0.137
31,-0.333,-0.922,-0.843,-0.608,-0.745,-0.863,-0.941,-0.765,-0.863,-0.667,-1.059,-1.196,-1.255,-1.098,-1.51,-0.745
32,0.059,-0.51,-0.431,-0.196,-0.333,-0.451,-0.529,-0.353,-0.431,-0.255,-0.588,-0.765,-0.824,-0.686,-1.078,-0.333
33,-0.333,-0.804,-0.667,-0.51,-0.608,-0.667,-0.765,-0.627,-0.765,-0.588,-1.039,-1,-1,-0.784,-1.059,-0.608
34,0.196,-0.333,-0.216,0,-0.137,-0.235,-0.333,-0.157,-0.275,-0.078,-0.529,-0.588,-0.627,-0.451,-0.843,-0.137
35,0.196,-0.353,-0.255,-0.039,-0.157,-0.255,-0.353,-0.176,-0.294,-0.118,-0.49,-0.608,-0.647,-0.451,-0.863,-0.176
36,0.059,-0.51,-0.353,-0.098,-0.255,-0.333,-0.471,-0.255,-0.431,-0.235,-0.725,-0.765,-0.784,-0.51,-0.922,-0.255
37,-0.275,-0.882,-0.824,-0.588,-0.745,-0.863,-0.941,-0.745,-0.824,-0.647,-0.941,-1.157,-1.216,-1.118,-1.51,-0.725
38,-0.118,-0.667,-0.51,-0.275,-0.412,-0.51,-0.627,-0.431,-0.588,-0.392,-0.843,-0.922,-0.961,-0.686,-1.137,-0.431
39,-0.039,-0.471,-0.275,-0.098,-0.196,-0.235,-0.373,-0.216,-0.431,-0.235,-0.745,-0.686,-0.647,-0.255,-0.569,-0.216
40,-0.02,-0.549,-0.412,-0.196,-0.314,-0.392,-0.51,-0.333,-0.49,-0.294,-0.745,-0.784,-0.784,-0.549,-0.902,-0.333
41,0.078,-0.412,-0.235,0,-0.137,-0.216,-0.353,-0.157,-0.373,-0.157,-0.667,-0.667,-0.667,-0.353,-0.745,-0.157
