seed,1,2,3,4,5,6,7,8
1,-70.902,-70.902,-70.627,-69.969,-68.596,-68.843,-69.09,-69.063
2,-70.875,-70.765,-70.682,-70.024,-68.898,-69.09,-69.282,-69.255
3,-70.655,-70.573,-70.353,-69.584,-68.184,-68.404,-68.651,-68.651
4,-70.902,-70.875,-70.627,-69.941,-68.596,-68.843,-69.09,-69.063
5,-70.765,-70.737,-70.463,-69.694,-68.322,-68.569,-68.816,-68.788
6,-70.655,-70.6,-70.325,-69.502,-67.855,-68.184,-68.486,-68.431
7,-70.737,-70.655,-70.463,-69.722,-68.459,-68.706,-68.898,-68.871
8,-70.984,-70.929,-70.765,-70.243,-69.529,-69.667,-69.776,-69.749
9,-70.957,-70.957,-70.627,-69.996,-68.706,-68.953,-69.173,-69.145
10,-71.149,-71.149,-70.82,-70.161,-68.843,-69.118,-69.337,-69.31
11,-71.012,-70.957,-70.792,-70.106,-69.008,-69.2,-69.365,-69.365
12,-70.875,-70.765,-70.682,-70.024,-68.98,-69.173,-69.365,-69.337
13,-70.957,-70.929,-70.737,-70.298,-69.639,-69.749,-69.859,-69.831
14,-70.875,-70.875,-70.682,-70.216,-69.557,-69.667,-69.776,-69.749
15,-70.765,-70.765,-70.435,-69.722,-68.404,-68.678,-68.898,-68.843
16,-70.875,-70.847,-70.545,-69.969,-68.843,-69.118,-69.31,-69.227
17,-70.463,-70.38,-70.161,-69.337,-67.69,-67.992,-68.322,-68.267
18,-71.259,-71.176,-71.012,-70.298,-68.953,-69.2,-69.447,-69.42
19,-70.49,-70.325,-70.271,-69.475,-68.02,-68.184,-68.459,-68.486
20,-70.929,-70.847,-70.71,-70.216,-69.502,-69.612,-69.749,-69.722
21,-71.067,-71.067,-70.765,-70.298,-69.584,-69.722,-69.859,-69.804
22,-71.176,-71.149,-70.929,-70.38,-69.639,-69.776,-69.886,-69.859
23,-70.765,-70.737,-70.38,-69.529,-67.882,-68.129,-68.431,-68.431
24,-70.71,-70.737,-70.325,-69.639,-68.322,-68.596,-68.843,-68.788
25,-70.957,-70.929,-70.655,-70.106,-69.09,-69.282,-69.447,-69.42
26,-70.682,-70.6,-70.353,-69.557,-68.212,-68.459,-68.678,-68.651
27,-70.737,-70.627,-70.573,-69.859,-68.569,-68.761,-69.008,-69.008
28,-71.067,-71.122,-70.682,-70.078,-68.733,-69.035,-69.282,-69.2
29,-70.655,-70.545,-70.38,-69.639,-68.102,-68.376,-68.678,-68.624
30,-70.627,-70.518,-70.435,-69.639,-68.239,-68.459,-68.733,-68.706
31,-70.902,-70.792,-70.737,-69.969,-68.624,-68.816,-69.063,-69.063
32,-71.149,-71.094,-70.902,-70.216,-68.925,-69.173,-69.42,-69.365
33,-70.655,-70.6,-70.353,-69.584,-68.075,-68.349,-68.624,-68.596
34,-70.847,-70.792,-70.627,-69.996,-68.898,-69.118,-69.31,-69.282
35,-71.149,-71.176,-70.875,-70.353,-69.584,-69.722,-69.859,-69.831
36,-70.847,-70.847,-70.545,-69.859,-68.486,-68.788,-69.035,-68.98
37,-70.627,-70.435,-70.545,-69.804,-68.404,-68.624,-68.871,-68.898
38,-70.49,-70.518,-70.106,-69.255,-67.69,-67.937,-68.239,-68.212
39,-70.847,-70.792,-70.6,-69.996,-69.035,-69.227,-69.392,-69.337
40,-70.929,-70.82,-70.792,-70.106,-69.09,-69.227,-69.42,-69.42
41,-70.929,-70.875,-70.71,-70.216,-69.529,-69.639,-69.776,-69.749
42,-70.902,-70.984,-70.49,-69.694,-68.047,-68.376,-68.678,-68.624
43,-70.984,-70.902,-70.765,-69.969,-68.624,-68.788,-69.035,-69.063
44,-71.259,-71.286,-70.875,-70.161,-68.678,-68.98,-69.227,-69.173
45,-70.82,-70.682,-70.682,-69.969,-68.733,-68.925,-69.145,-69.145
46,-71.067,-71.039,-70.792,-70.078,-68.843,-69.035,-69.282,-69.255
47,-70.655,-70.518,-70.518,-69.886,-68.678,-68.898,-69.09,-69.09
48,-70.655,-70.71,-70.353,-69.804,-68.843,-69.035,-69.2,-69.145
49,-70.957,-70.929,-70.682,-69.941,-68.624,-68.816,-69.063,-69.063
50,-70.682,-70.573,-70.435,-69.639,-68.157,-68.404,-68.678,-68.678
51,-70.929,-70.929,-70.627,-69.941,-68.733,-68.953,-69.173,-69.145
52,-70.875,-70.875,-70.627,-69.996,-68.953,-69.118,-69.31,-69.282
53,-71.149,-71.149,-70.875,-70.408,-69.694,-69.831,-69.941,-69.914
54,-70.737,-70.71,-70.435,-69.694,-68.239,-68.541,-68.788,-68.733
55,-70.929,-70.929,-70.545,-69.776,-68.322,-68.596,-68.871,-68.816
56,-71.012,-71.039,-70.682,-69.996,-68.624,-68.925,-69.173,-69.118
57,-70.957,-71.067,-70.463,-69.749,-68.157,-68.514,-68.816,-68.733
58,-70.875,-70.82,-70.6,-69.804,-68.459,-68.678,-68.898,-68.871
59,-70.82,-70.737,-70.6,-69.886,-68.569,-68.788,-69.035,-69.008
60,-71.176,-71.149,-70.902,-70.188,-68.871,-69.145,-69.392,-69.337
61,-70.737,-70.655,-70.408,-69.639,-68.322,-68.541,-68.788,-68.761
62,-71.067,-71.039,-70.82,-70.298,-69.584,-69.694,-69.804,-69.804
63,-70.518,-70.325,-70.325,-69.502,-68.02,-68.239,-68.514,-68.514
64,-70.792,-70.82,-70.435,-69.694,-68.349,-68.569,-68.816,-68.788
65,-70.902,-70.847,-70.6,-69.804,-68.294,-68.569,-68.843,-68.816
66,-70.627,-70.545,-70.408,-69.804,-68.843,-69.035,-69.2,-69.173
67,-71.094,-71.012,-70.875,-70.106,-68.816,-69.008,-69.227,-69.227
68,-70.655,-70.518,-70.545,-70.051,-69.447,-69.529,-69.639,-69.612
69,-70.518,-70.353,-70.353,-69.557,-68.157,-68.349,-68.596,-68.624
70,-70.82,-70.792,-70.545,-69.859,-68.541,-68.816,-69.063,-69.008
71,-70.573,-70.518,-70.325,-69.584,-68.212,-68.459,-68.706,-68.678
72,-70.875,-70.984,-70.518,-69.941,-68.925,-69.118,-69.31,-69.255
73,-70.6,-70.6,-70.353,-69.667,-68.404,-68.596,-68.816,-68.816
74,-70.682,-70.71,-70.353,-69.667,-68.349,-68.541,-68.788,-68.788
75,-70.847,-70.792,-70.6,-69.886,-68.788,-68.898,-69.118,-69.118
76,-70.902,-70.792,-70.573,-69.776,-68.239,-68.541,-68.816,-68.788
77,-70.655,-70.49,-70.49,-69.694,-68.404,-68.541,-68.788,-68.816
78,-70.682,-70.737,-70.325,-69.749,-68.678,-68.925,-69.09,-69.035
79,-70.765,-70.71,-70.518,-69.749,-68.459,-68.624,-68.871,-68.871
80,-70.71,-70.655,-70.49,-69.722,-68.376,-68.541,-68.788,-68.816
81,-71.012,-70.984,-70.82,-70.216,-69.118,-69.31,-69.502,-69.475
82,-70.298,-70.216,-69.996,-69.173,-67.471,-67.8,-68.129,-68.075
83,-71.012,-70.957,-70.682,-69.914,-68.486,-68.733,-69.008,-68.953
84,-70.545,-70.38,-70.298,-69.475,-68.02,-68.212,-68.486,-68.486
85,-70.847,-70.82,-70.573,-69.914,-68.651,-68.871,-69.118,-69.063
86,-71.122,-71.122,-70.875,-70.38,-69.612,-69.749,-69.886,-69.859
87,-70.682,-70.6,-70.463,-69.886,-68.761,-68.98,-69.2,-69.145
88,-70.792,-70.737,-70.435,-69.639,-68.102,-68.349,-68.651,-68.596
89,-70.38,-70.271,-70.133,-69.365,-68.02,-68.267,-68.514,-68.486
90,-70.765,-70.573,-70.573,-69.776,-68.322,-68.514,-68.788,-68.816
91,-70.655,-70.463,-70.463,-69.722,-68.404,-68.678,-68.898,-68.871
92,-70.792,-70.792,-70.408,-69.639,-68.047,-68.404,-68.678,-68.596
93,-70.902,-70.875,-70.6,-69.941,-68.898,-69.09,-69.282,-69.227
94,-70.984,-71.067,-70.627,-69.886,-68.596,-68.816,-69.063,-69.035
95,-70.929,-70.792,-70.737,-69.941,-68.569,-68.733,-68.98,-69.008
96,-70.929,-70.984,-70.655,-70.161,-69.475,-69.584,-69.694,-69.667
97,-70.847,-70.792,-70.545,-69.969,-69.008,-69.173,-69.337,-69.31
98,-70.765,-70.792,-70.463,-69.859,-68.898,-69.035,-69.2,-69.2
99,-71.039,-71.067,-70.655,-69.886,-68.514,-68.761,-69.008,-68.953
100,-70.929,-70.957,-70.518,-69.831,-68.569,-68.843,-69.063,-68.98
