protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q7K173,DROME,FKL+19,Q7K173,1,44,3,40,39,33,39,17,38,31,53,14,36,26,25,40,47,38,47,16,30
sp|P23128,DROME,FKL+19,DDX6,1,26,11,29,27,18,27,12,38,33,52,13,24,17,19,24,19,29,27,2,12
tr|Q9VX69,DROME,FKL+19,Q9VX69,1,31,10,17,20,20,34,13,21,19,38,9,22,26,9,13,36,26,33,6,8
sp|Q9V6K1,DROME,FKL+19,TPP2,1,128,17,79,87,46,92,35,78,100,119,33,78,68,56,66,114,79,109,12,45
sp|O77410,DROME,FKL+19,EIF3E,1,26,11,21,32,19,9,9,30,29,57,15,31,11,23,21,19,24,21,6,21
sp|Q9VCK0,DROME,FKL+19,EI3D1,1,27,8,47,32,22,36,14,32,42,34,12,35,28,24,34,36,36,34,9,18
sp|P19109,DROME,FKL+19,DDX17,1,40,8,43,36,35,104,12,41,32,43,9,32,31,37,70,57,30,36,4,19
sp|Q27415,DROME,FKL+19,NLP,1,13,0,16,21,4,8,3,8,17,6,2,9,5,3,3,6,6,17,1,4
tr|Q9VD61,DROME,FKL+19,Q9VD61,1,35,11,40,28,31,26,9,33,31,70,5,33,32,25,33,37,26,24,6,17
tr|Q9VWP2,DROME,FKL+19,Q9VWP2,1,26,1,12,9,8,20,6,12,13,30,2,10,11,11,7,21,12,25,3,3
tr|M9PBL3,DROME,FKL+19,M9PBL3,1,41,5,64,76,29,33,10,43,77,61,20,32,20,23,26,50,36,44,4,23
sp|Q9NJH0,DROME,FKL+19,EF1G,1,47,5,24,33,31,22,1,15,47,33,4,18,18,31,10,24,16,25,9,18
tr|E4NKN3,DROME,FKL+19,E4NKN3,1,23,1,11,17,14,96,10,15,18,13,5,7,17,9,29,13,10,28,1,7
tr|M9PG62,DROME,FKL+19,M9PG62,1,54,2,30,35,19,20,9,31,32,55,8,20,16,25,40,30,18,31,1,18
sp|P55830,DROME,FKL+19,RS3A,1,16,4,21,13,9,19,3,15,31,20,5,7,8,16,19,15,11,26,2,8
tr|Q9VXR5,DROME,FKL+19,Q9VXR5,1,47,11,37,50,18,36,18,34,51,72,18,24,21,26,36,31,24,33,8,16
tr|O96299,DROME,FKL+19,O96299,1,39,11,22,20,8,32,13,20,18,36,9,8,14,9,20,15,19,38,0,9
tr|Q7K3J0,DROME,FKL+19,Q7K3J0,1,57,7,34,42,20,41,5,38,39,50,15,23,13,16,24,34,30,43,1,14
tr|Q7K485,DROME,FKL+19,Q7K485,1,31,6,22,15,20,42,6,27,23,36,8,13,25,17,10,26,19,24,3,19
tr|M9PCC1,DROME,FKL+19,M9PCC1,1,17,9,24,9,7,21,11,16,19,30,1,20,11,10,14,30,26,21,13,9
tr|Q8IQX8,DROME,FKL+19,Q8IQX8,1,50,7,36,40,11,46,10,23,43,60,10,12,20,42,33,29,23,48,2,19
sp|P08736,DROME,FKL+19,EF1A1,1,45,5,22,32,17,43,11,33,48,24,8,18,24,10,17,19,28,43,5,11
tr|Q7K5N8,DROME,FKL+19,Q7K5N8,1,39,10,18,20,22,60,6,10,25,34,1,21,17,16,8,21,16,30,5,11
sp|O16797,DROME,FKL+19,RL3,1,35,7,16,19,15,31,18,27,57,21,11,11,15,10,29,24,27,27,6,10
sp|Q9VCA5,DROME,FKL+19,SYFB,1,47,13,36,38,26,28,10,36,39,62,10,21,33,26,26,24,41,52,1,20
tr|Q9VMF0,DROME,FKL+19,Q9VMF0,1,27,4,28,29,29,24,7,22,29,40,12,18,15,20,20,29,21,25,6,19
tr|Q8IN02,DROME,FKL+19,Q8IN02,1,16,6,17,22,8,19,8,17,19,38,10,8,13,11,10,15,13,18,2,11
tr|X2JD55,DROME,FKL+19,X2JD55,1,38,1,24,24,10,33,11,20,26,32,12,30,22,35,22,26,22,31,3,17
tr|Q9VXI1,DROME,FKL+19,Q9VXI1,1,26,3,10,22,8,20,2,16,21,39,8,17,18,15,12,20,17,26,4,11
tr|F0JAN1,DROME,FKL+19,F0JAN1,1,35,8,25,23,13,30,6,27,30,42,9,21,16,13,23,30,23,38,8,8
tr|X2JEX8,DROME,FKL+19,X2JEX8,1,41,4,22,20,10,32,11,25,28,36,8,20,22,29,18,27,24,24,4,15
tr|X2JB25,DROME,FKL+19,X2JB25,1,26,2,19,32,14,36,8,19,21,33,7,28,22,39,31,28,30,28,2,17
tr|D1Z363,DROME,FKL+19,D1Z363,1,35,0,4,12,3,27,9,15,11,20,1,20,31,23,7,21,6,23,1,15
tr|X2JC82,DROME,FKL+19,X2JC82,1,12,1,13,15,7,20,13,5,13,19,5,7,16,8,14,14,9,17,1,4
tr|X2JDU0,DROME,FKL+19,X2JDU0,1,11,3,7,12,7,10,3,14,20,11,6,10,4,5,11,12,17,21,1,5
tr|A4V303,DROME,FKL+19,A4V303,1,55,10,28,43,9,42,9,45,38,51,15,19,17,26,30,18,35,44,3,7
tr|G3M3A2,DROME,FKL+19,G3M3A2,1,17,4,9,22,6,19,2,14,24,22,7,7,14,6,18,12,12,22,0,9
tr|Q9VLG9,DROME,FKL+19,Q9VLG9,1,37,5,32,26,16,35,13,24,22,61,12,15,13,22,28,35,25,29,6,13
tr|Q9W3L4,DROME,FKL+19,Q9W3L4,1,20,11,21,21,24,28,10,29,19,40,10,24,15,17,17,31,29,29,5,14
sp|Q9VNE2,DROME,FKL+19,PKRA,1,20,3,21,49,22,22,7,29,40,47,12,17,13,21,21,24,15,20,5,14
tr|Q7K084,DROME,FKL+19,Q7K084,1,21,5,11,9,8,6,0,6,18,15,1,7,3,7,4,6,4,7,1,4
tr|M9PB84,DROME,FKL+19,M9PB84,1,24,4,9,12,9,34,3,16,23,20,4,4,16,4,22,17,16,17,4,9
tr|Q9VV60,DROME,FKL+19,Q9VV60,1,47,5,32,41,20,34,10,21,55,64,9,16,28,13,15,30,24,38,4,19
sp|Q9V3G7,DROME,FKL+19,PSMD6,1,31,3,22,35,14,18,9,21,25,49,8,18,8,16,27,12,19,26,4,24
tr|Q9W4W5,DROME,FKL+19,Q9W4W5,1,22,6,21,24,17,17,10,19,20,35,7,12,11,14,12,17,9,23,2,7
tr|C9QP42,DROME,FKL+19,C9QP42,1,20,7,30,27,14,25,8,37,16,32,15,14,14,24,31,21,23,32,2,11
tr|Q9VAJ9,DROME,FKL+19,Q9VAJ9,1,29,4,7,13,11,32,4,15,16,34,15,10,12,14,20,19,28,19,2,13
tr|X2JF59,DROME,FKL+19,X2JF59,1,13,4,13,11,13,13,1,11,15,15,4,6,12,9,7,10,14,14,2,7
tr|Q9VG32,DROME,FKL+19,Q9VG32,1,61,16,38,47,24,50,18,38,39,83,17,38,34,31,44,59,50,37,4,31
tr|Q961R8,DROME,FKL+19,Q961R8,1,57,14,37,56,29,41,13,37,53,70,13,20,30,33,32,39,39,44,4,18
tr|Q9VKZ8,DROME,FKL+19,Q9VKZ8,1,31,8,31,33,24,26,5,16,41,43,15,19,20,25,19,34,29,35,7,14
tr|E8NH46,DROME,FKL+19,E8NH46,1,10,2,23,18,10,12,3,8,19,11,2,13,10,3,3,11,9,10,4,3
tr|M9NF14,DROME,FKL+19,M9NF14,1,48,7,21,38,16,41,13,46,29,44,21,29,46,69,33,60,38,30,1,8
