Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q7KM15,-1.514,7.503,5.145,5.047
O97118,-1.32,10.316,7.561,6.648
P48591,-2.513,7.18,1.567,2.939
Q9VIX4,1.841,3.612,2.851,0.988
Q9VRQ2,-0.018,0.019,1.341,3.564
Q9VL18,-1.621,8.98,4.597,4.566
C0MIY4,-2.115,9.221,1.775,3.219
Q9VTB0,-1.664,10.324,2.079,2.368
A4V3G8,0.888,1.735,0.799,2.775
Q8SXQ1,1.458,7.123,2.689,2.393
Q9VW54,-1.312,9.292,4.075,2.899
P48601,-1.743,8.646,3.719,3.738
X2JC80,-1.611,8.735,6.416,6.57
Q9W1N3,2.433,4.303,5.482,5.446
Q9VGM2,0.222,1.082,6.092,3.729
M9PG76,-1.301,10.478,6.084,6.392
Q9VXQ5,-2.275,8.164,3.275,3.57
Q7K3B7,-1.255,11.988,3.228,2.819
Q95083,-1.343,4.819,3.177,4.068
X2JCY2,-0.436,3.046,1.48,2.903
Q9V3Z4,-1.388,8.102,4.299,3.47
Q9VNX4,2.903,8.894,3.353,2.273
C7LA75,-2.017,6.969,7.144,6.339
Q9VCN6,1.479,2.637,0.23,2.709
Q9W3K9,2.207,10.43,4.654,2.893
C8VV30,-2.04,9.517,2.902,2.4
O46084,-1.133,7.335,2.247,3.036
P02299,-0.239,0.372,-0.711,5.033
Q7K550,0.095,0.223,4.43,3.203
Q9XYU0,-2.935,9.722,0.717,4.206
O97418,1.737,5.131,4.828,3.586
Q7KKI0,-2,7.705,3.963,3.808
Q94518,-1.383,12.205,5.019,5.515
Q9VIQ8,2.544,5.085,6.697,5.09
Q9VZI1,1.36,9.695,5.263,4.435
E2QCG7,-1.526,7.762,4.236,4.779
P50887,-1.947,10.092,5.73,5.583
Q9V4E0,2.182,9.725,4.647,3.832
Q7KLW9,-0.266,0.561,2.233,3.786
Q9U1K3,1.963,7.72,4.529,3.94
E8NHA8,3.859,10.165,6.276,4.394
A1ZB68,1.592,8.273,4.242,3.839
Q9VRP4,1.49,9.439,2.492,1.821
Q8MSI7,2.492,6.036,5.066,4.379
Q9VUY9,2.118,14.051,4.369,2.861
M9PGX7,1.178,11.099,2.402,2.451
