Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
A1Z992,2.081,15.697,3.315,2.098
Q7K581,-1.869,15.908,3.684,3.415
Q9VAN7,2.2,10.48,5.005,4.444
X2JE06,-1.386,10.913,5.858,6.246
O62619,0.97,11.152,5.598,3.48
P39205,-1.191,5.393,1.674,3.15
I0DHK3,-1.599,6.311,4.073,4.724
Q9VHT2,-0.241,0.622,0.534,2.124
Q9I7M3,1.087,6.424,2.875,1.568
Q7JVZ8,-0.992,6.163,1.485,2.734
Q9I7J0,2.245,10.09,5.771,5.329
Q8IQH0,0.49,2.067,0.991,2.976
Q8T6B9,-1.975,7.633,2.465,2.635
Q960M4,1.495,10.179,3.986,3.625
E1JGP0,2.365,14.058,6.054,7.087
E1JIJ5,1.839,7.512,5.938,4.746
Q9VIH1,-0.948,1.31,1.285,3.529
P54622,-1.44,8.008,1.766,3.449
Q9VFL5,-1.416,8.288,-1.041,0.835
M9PEL1,1.674,10.849,3.214,3.137
Q23979,2.507,10.744,4.161,2.401
M9PIM0,-1.249,11.667,3.878,6.015
M9PD75,1.299,10.318,5.094,4.288
Q9W4I3,3.777,2.48,2.651,3.282
O01666,2.81,11.539,5.214,5.062
Q9VT03,2.773,5.051,3.24,3.257
Q26454,-1.506,5.33,0.888,3.21
Q7K4I5,2.966,7.89,1.161,2.193
Q9VCE3,-1.076,6.217,2.96,3.891
Q8MRN5,1.391,5.257,5.956,3.894
A1Z784,3.154,15.144,4.224,3.17
P54611,1.058,11.229,5.363,4.388
Q9VJD4,-1.286,7.217,3.369,3.679
Q9VWC7,-0.353,2.067,-0.279,1.624
Q95WY3,-0.592,2.913,2.617,4.442
Q70VI1,4.681,9.633,5.68,3.718
P20432,2.184,9.841,5.706,5.004
Q9VUV9,-0.858,6.48,1.648,2.691
O76922,-1.556,5.712,-0.052,2.015
Q9VTL1,0.174,0.075,-0.487,2.188
Q9VXF9,-1.887,8.377,3.524,2.697
Q9W5E4,0.962,0.561,1.082,2.611
X2JJD6,1.438,5.386,4.29,2.329
Q9VGW7,-0.712,1.288,2.17,3.597
D2NUK5,-1.072,4.888,3.515,3.121
Q7KTC3,1.034,6.946,2.475,2.173
Q8SYG3,-0.997,5.228,2.85,4.319
Q8MT18,3.011,10.685,4.532,3.191
Q9VGA3,0.734,1.959,1.439,3.999
D3PFE3,1.426,8.937,4.359,2.455
Q9VES1,1.904,2.055,2.64,3.556
X2JC35,-1.251,7.705,6.35,6.583
Q9VRV8,-1.968,6.263,2.338,3.109
P48610,3.744,10.322,5.585,4.231
Q8T0R6,1.684,6.525,1.72,2.564
Q9XZ19,-1.053,8.628,1.175,2.628
Q9V3H2,-1.044,7.26,4.121,3.534
Q9W3H4,1.483,7.157,1.723,1.042
B3LF78,-2.466,7.888,3.133,2.281
Q9VRS7,1.396,7.718,7.753,3.466
Q0KHY3,1.033,3.804,4.17,3.235
M9NGK3,3.598,10.196,2.119,2.292
Q960C7,2.07,10.395,3.226,2.599
Q9VZF6,1.133,11.826,2.395,1.425
Q9VUY4,3.083,2.587,-0.152,0.088
P13607,3.714,10.814,4.193,3.001
P16378,1.879,9.958,1.138,1.491
Q9XYZ9,1.783,11.181,5.394,3.136
Q8IMB9,1.745,12.157,2.835,1.68
Q9VJ31,0.901,2.796,3.123,1.873
P82147,2.433,8.465,4.787,4.351
Q9VA91,-1.249,7.309,6.007,6.126
Q86NM8,-0.144,0.328,3.121,2.088
Q9VKI8,0.255,2.496,3.722,1.908
X2JG23,-1.787,8.656,-0.085,1.037
Q9VHS8,0.518,1.411,2.908,4.288
M9MRF2,-1.351,7.881,5.189,6.6
Q9VL71,-1.112,6.151,2.508,4.086
P55841,-1.342,7.634,6.27,7.045
Q9VHC8,1.674,4.71,2.193,3.973
Q9VQR2,2.858,9.437,5.251,4.235
Q9U5W4,-0.996,5.178,3.196,4.419
P07190,4.171,8.067,7.135,3.051
Q9W4V8,1.957,4.423,2.47,2.936
M9PH59,-1.104,7.196,5.505,6.846
Q9VMV5,2.574,7.771,3.403,3.666
Q9V436,-1.744,7.873,3.335,4.26
U3Q053,-1.92,10.596,1.588,1.722
Q7JZV0,0.047,0.024,-2.769,6.384
Q8T0J5,-0.208,0.384,2.446,3.863
D1YSG0,3.654,12.086,2.916,2.117
D8FT24,1.326,2.615,3.244,1.701
Q9VL89,-1.781,9.133,3.535,3.717
Q4V5H1,2.561,5.551,0.888,1.657
Q9VQL7,4.04,11.191,5.438,3.876
Q9ME01,3.398,10.234,6.134,6.101
Q9VNE9,-1.214,12.207,5.74,7.128
Q7K180,-0.082,0.074,2.107,4.411
Q9Y148,1.324,1.993,2.205,3.418
Q9I7U4,3.45,12.394,3.157,1.458
Q9VPR1,0.971,8.192,4.437,2.556
M9PF16,1.286,5.93,3.699,3.853
Q9VI10,-1.613,11.15,3.194,3.86
Q9VJD1,-1.431,11.294,3.234,2.885
E1JJN1,-1.308,6.853,3.602,3.485
Q9VY76,1.969,10.634,2.857,1.483
Q9VKM3,2.439,3.958,5.321,4.923
O46231,1.608,10.319,3.614,2.619
Q9VV41,2.445,7.71,0.411,1.505
Q960D3,-1.485,5.585,4.096,3.709
P10981,6.62,10.642,6.819,5.011
E2QD75,4.044,1.628,1.521,3.246
Q9VRE0,-1.303,3.521,2.019,3.266
Q9VEY5,1.43,7.935,3.922,3.573
M9PC85,-1.463,5.131,1.665,4.089
Q9VN50,-1.484,10.06,4.479,5.001
Q9VP50,1.436,9.935,1.723,2.427
Q9VL31,2.276,4.198,1.952,3.043
Q9VZY0,-0.079,0.501,3.606,4.752
Q8MKK1,-1.814,4.749,3.002,2.963
Q24368,-0.759,3.342,1.817,3.4
P29746,-1.654,2.24,4.115,4.934
Q9V597,-1.364,10.179,6.236,6.957
Q9VI58,-1.112,5.942,2.191,2.964
I1V501,0.211,0.274,2.67,4.373
Q9VYG2,-1.508,4.413,1.855,3.467
A1ZBE9,-1.316,10.851,1.515,1.635
Q9I7L8,-1.854,9.726,1.12,1.681
Q8T0Q4,3.849,4.581,4.448,3.183
Q7KN97,2.075,12.066,4.6,2.758
H1UUD2,1.715,8.584,6.7,4.835
A4V441,-1.2,6.641,-0.035,2.06
Q9VKK1,-1.29,8.531,1.8,2.485
Q9W499,-1.384,10.046,5.445,6.595
Q9V7D2,1.043,11.209,5.351,4.221
M9PGA7,3.433,12.24,4.609,3.712
Q9VDK7,-1.077,9.091,2.731,2.129
M9PEY6,0.307,0.376,1.901,2.912
Q9W0Y1,-0.772,6.744,5.045,3.824
M9MRS7,1.747,6.588,3.232,2.766
Q9VT75,-1.804,6.772,2.607,3.286
Q7JW48,2.205,7.36,8.149,3.187
M9MRQ9,2.348,9.019,4.503,3.92
P42283,-1.353,6.697,2.29,3.032
Q9U9Q1,-1.723,8.865,0.433,2.871
A4V2I0,-0.371,0.339,-1.671,4.532
B7Z0L1,2.274,8.784,2.593,2.63
Q9VQ61,-0.357,2.52,4.224,2.934
Q9XYU1,-1.119,3.621,0.226,2.71
Q7K3M5,-1.1,10.544,1.785,3.467
Q9W2M2,2.76,11.729,4.488,2.331
Q9VSN9,-0.835,5.851,2.371,3.658
Q9VU39,1.209,8.61,3.599,2.881
Q9VM12,2.064,10.535,4.591,4.1
Q9W4X7,-1.339,8.198,4.631,4.225
P49735,-0.652,3.904,0.812,3.066
P18824,-0.267,0.737,3.27,4.711
Q05856,-0.392,2.749,2.467,4.064
Q5U156,-0.516,1.514,1.457,3.276
Q9VN86,0.206,1.848,3.57,1.629
P29310,1.075,10.894,4.679,4.242
Q9VKV1,1.444,5.279,5.328,3.086
Q8SZH5,-1.333,9.018,0.682,2.294
Q7KSW3,0.235,1.351,2.833,1.55
Q7KUA4,-1.997,15.076,2.123,3.335
Q8IGY0,1.923,4.733,4.168,2.783
Q7K2P3,4.165,5.918,5.028,3.296
Q9VE75,1.291,12.175,3.969,3.889
Q9VRP2,-1.706,9.028,3.673,3.993
Q95U34,2.945,11.613,3.42,1.589
Q9W125,2.982,8.858,3.127,3.424
X2JIQ5,-1.394,7.307,5.038,5.888
Q9W4P5,1.187,11.467,4.259,4.448
A1Z7H3,1.539,14.456,3.872,2.551
D1Z3A1,-1.495,11.209,5.848,5.739
P54385,1.55,12.499,5.415,4.584
Q9VYT3,-1.528,8.297,1.543,1.619
Q0KHQ6,0.197,0.287,3.415,2.117
D2NUK9,-0.871,6.989,2.464,5.016
Q24506,0.331,2.649,3.857,2.297
Q7K569,5.615,11.696,4.684,3.07
Q9VV31,-1.015,1.045,-0.113,4.215
P15278,-0.216,0.326,2.03,3.392
Q9V400,1.601,10.368,2.435,3.332
Q9I7R1,0.941,8.527,3.853,2.764
Q9VGQ1,1.198,10.156,4.229,3.514
Q540V5,0.853,2.335,2.181,4.027
Q24050,2.386,7.395,1.882,2.044
C0MJU0,0.589,1.35,0.592,1.943
Q9VCC2,0.8,3.935,2.228,3.586
Q9VYR1,3.066,13.351,3.687,2.88
Q9VVU6,-1.094,5.367,1.061,1.996
Q08012,0.213,1.275,2.199,3.561
Q9VMI3,2.127,7.195,4.835,3.674
Q9VXP4,-2.254,7.262,2.614,3.52
Q9VTH0,-0.473,1.283,2.088,3.683
Q9VZF9,-1.26,1.532,-1.738,3.784
Q9VA83,1.098,8.142,7.598,5.418
A8Y560,-1.305,7.14,5.406,6.8
Q7JV69,1.427,6.036,2.89,2.36
A4V4A1,-1.288,9.173,2.213,2.512
Q9VJ19,-1.442,9.419,5.153,6.305
E1JH02,-1.416,9.341,3.626,4.092
Q9VF51,1.548,10.089,3.042,0.9
Q9V3A7,-0.444,0.998,1.172,2.861
M9PE74,-1.225,2.495,2.619,2.728
Q9V3N7,1.792,10.635,1.384,2.168
Q9VBP6,1.454,9.217,2.593,1.954
B4F631,0.914,7.16,1.949,0.727
Q9VGF0,2.22,10.654,3.511,2.879
P00334,3.225,8.199,7.293,4.848
Q8T3V6,2.314,2.626,1.905,2.407
Q8MRM0,1.89,11.444,3.473,3.542
M9PCE0,1.529,13.842,4.531,3.385
A1ZBJ2,0.88,14.187,4.452,3.403
Q59DP9,2.333,10.99,3.319,3.317
Q9VMI5,-2.716,14.058,1.455,3.674
Q8MLN4,1.157,5.087,3.419,2.937
Q7KSQ0,1.443,8.955,4.251,3.044
Q0KIA8,1.37,12.272,2.397,1.612
Q94883,-0.619,1.351,0.999,3.649
P20240,-1.378,4.392,0.874,3.172
Q9TVM2,-1.36,7.26,2.561,3.449
Q7KTV5,-0.582,1.713,2.47,3.931
Q9W3U9,-0.832,2.047,0.198,2.389
Q1RL12,2.27,10.493,2.921,3.243
Q9VCA9,-0.041,0.166,2.176,3.61
Q9BLY4,0.491,2.259,2.493,1.006
Q7KLV9,-1.585,7.208,3.154,3.73
A1Z7F1,4.802,8.279,5.457,2.245
Q9U1J0,3.286,9.439,4.324,2.791
F3YDE2,3.085,8.861,5.669,4.279
Q8MLV1,1.142,1.187,0.505,3.611
Q9VGK3,-1.738,9.216,2.37,4.067
Q9W2X6,2.537,10.444,4.912,4.683
Q9VBU7,-1.495,7.345,2.24,3.427
Q7K012,-0.341,0.574,0.945,3.555
P05661,5.512,10.048,5.499,4.438
Q7KTG2,0.733,1.08,2.985,1.976
M9PDK5,1.033,9.849,4.064,3.581
Q8MSW6,-0.898,6.002,1.38,4.178
Q8IPD5,-1.005,1.004,-2.965,3.259
Q1EC13,2.206,9.097,4.352,3.726
Q8STG9,-0.859,8.611,3.786,5.271
P40417,-0.858,9.639,0.619,2
Q494K4,3.525,12.708,5.537,3.897
Q9W227,-1.21,9.026,4.534,5.678
Q7KMM4,-1.385,11.177,3.855,4.064
Q9VVZ4,0.887,2.578,-2.804,2.101
P48588,-1.427,13.131,6.391,6.319
Q9W2D9,-1.459,7.159,4.251,4.652
Q9VH07,-2.099,9.242,2.243,2.997
Q9VHY6,-1.194,10.204,2.669,3.31
Q9VG38,0.178,0.227,1.574,2.983
Q9W4H6,2.407,11.08,5.515,3.451
Q86BM5,-1.382,9.35,3.874,4.533
Q8MS37,-0.324,0.466,0.277,3.161
Q9VFE7,-0.36,0.801,1.219,2.248
Q7K511,3.629,10.272,4.104,1.751
Q7KN61,-0.865,7.26,2.767,3.838
Q8IMC1,4.372,8.463,0.505,2.244
M9MQH9,-1.272,8.559,3.827,4.236
Q9VE52,-0.96,6.371,0.661,2.026
E1JHR5,1.132,10.686,5.455,3.824
L7X6D0,-1.071,8.31,3.184,2.396
Q9VWH4,3.037,9.16,5.808,3.723
Q9VKM7,-1.35,10.765,2.347,3.138
Q9VK59,-1.52,2.811,1.706,3.319
Q24251,2.966,9.921,6.081,4.668
P55162,0.479,2.047,1.247,2.372
Q9VD01,2.174,10.665,6.885,4.258
Q9W259,-0.066,0.1,3.909,2.417
P46222,-1.371,12.581,5.549,6.733
Q9VNA5,-1.39,6.777,3.59,4.355
M9PHJ0,4.001,13.792,6.535,4.092
Q9VQ29,2.034,6.554,4.47,4.544
Q7K3E2,1.376,5.967,3.471,3.307
Q9V3S0,4.432,9.605,9.198,1.729
Q9XZ61,-1.752,8.554,2.161,3.459
Q9VBU9,-1.341,4.745,5.982,6.102
Q9V9W7,1.654,1.687,-0.737,1.281
Q9W1B9,-1.482,8.887,5.575,6.457
Q9VM18,2.576,9.758,4.598,4.116
Q86DS7,-1.614,7.85,4.631,3.624
Q7K3N4,1.094,4.251,2.241,2.346
Q9VAI9,2.665,8.86,5.358,3.696
Q7JVK6,-1.395,6.39,0.83,3.121
Q9VEB1,2.429,10.978,5.777,4.054
Q9V7Y2,1.001,2.883,3.636,2.748
E1JJF3,1.395,9.299,3.027,4.567
Q8IGR0,1.098,10.544,7.075,7.343
M9PH10,2.548,9.238,0.685,1.3
Q7JVH6,0.437,5.828,4.137,2.631
P29613,1.287,11.224,5.309,3.843
Q86BQ4,0.091,0.397,2.352,4.056
A4V4F2,1.457,10.827,1.488,2.062
Q9XZ58,-1.113,3.403,2.114,2.986
X2JCX8,-1.357,10.749,5.811,6.879
P07486,2.113,15.079,6.245,4.551
A1Z6H7,-0.951,7.716,0.884,3.087
Q9VXK6,-1.126,10.025,4.406,3.809
P51406,-0.875,1.986,1.778,3.053
Q9VQT8,2.236,4.614,6.406,4.75
Q8MLS2,-0.612,4.28,3.232,2.037
X2JEM4,-1.178,3.449,5.119,6.619
Q7KUB0,0.97,11.534,5.795,3.963
Q94529,1.758,8.685,3.341,2.612
P40304,-1.585,6.271,3.76,4.536
Q9VMA7,1.426,2.571,3.223,2.037
P17704,-1.684,10.878,6.001,6.677
Q9VKW3,-1.944,9.417,0.279,2.517
Q9V3Y4,1.073,9.651,1.911,2.928
Q961R5,1.205,3.298,4.192,3.428
X2JES1,2.384,15.912,3.176,3.464
X2J950,-1.027,10.403,6.212,6.614
Q00637,1.678,10.75,4.191,3.283
Q9VF03,-1.285,6.929,2.533,3.615
O18373,-1.516,9.859,2.161,4.483
Q9W3N1,2.09,13.931,4.688,3.007
A4UZL5,5.319,9.577,4.89,3.388
A4V4U5,2.846,10.534,2.43,1.846
Q8T3U2,-1.19,8.583,5.835,7.308
O61305,1.827,8.447,2.286,2.458
B5RIR1,2.483,13.42,4.67,3.35
Q9VCW3,-2.081,8.52,0.635,2.169
B7FNQ3,2.363,6.329,4.138,3.981
Q7KLE5,2.126,10.866,3.586,2.76
Q9VAC1,2.742,10.414,5.834,3.704
Q7K3Z3,-1.083,6.85,2.65,2.823
L0MPS3,1.068,9.613,5.529,3.899
Q9VCI7,0.418,3.091,1.887,3.16
Q9VBV8,2.131,5.198,0.991,1.682
E2QD65,-1.346,10.682,5.384,6.373
P80455,-1.226,11.233,5.813,6.768
B5RIM9,4.745,10.777,4.826,3.766
Q9VSN3,1.132,4.524,1.538,2.207
Q9VLC5,0.965,8.297,5.001,3.999
E1JIL4,-1.199,8.352,2.235,4.078
Q24372,-0.096,0.171,2.604,4.712
Q7JWF1,0.827,12.711,3.585,2.009
Q7K5K3,2.152,10.006,4.309,3.518
P05205,-1.231,6.839,3.303,4.629
Q9VSL2,2.751,13.403,3.982,1.813
Q9VIX2,1.808,8.837,3.596,3.817
A1Z7S1,1.642,6.268,1.766,2.59
M9NEV0,0.639,0.574,2.274,3.297
Q9VG81,1.038,8.865,3.293,1.821
Q5BIC0,1.623,4.394,2.636,1.501
Q9Y134,0.187,0.172,0.895,2.742
P05389,-2.033,13.032,6.293,6.957
Q9V3E7,-0.612,2.117,3.014,4.517
A4V2K7,-1.591,5.344,3.324,4.289
Q9VM55,1.132,1.93,0.375,3.072
M9NEV7,3.022,9.329,4.041,4.392
Q8MM24,1.262,4.354,3.481,2.819
Q9VTF8,-0.809,4.484,1.505,2.893
P26270,-1.392,9.342,4.428,2.818
Q9VRS6,1.847,7.896,9.666,3.633
M9NE89,-1.093,3.121,2.593,4.398
Q95RX5,-1.451,5.698,3.186,2.967
Q9VVM2,1.314,6.287,5.498,2.15
Q7K3S2,2.563,7.403,2.288,1.127
P04359,-1.232,8.893,5.966,6.81
P17210,-1.054,7.054,3.331,2.882
Q9W3W1,1.985,1.527,1.864,3.053
D1YSG7,1.251,10.038,1.581,2.291
Q9W237,-1.307,7.868,5.674,7.147
Q9VA18,1.501,7.868,3.701,3.723
Q9W3F3,2.272,11.742,4.537,4.521
M9PGB6,-0.937,3.133,1.779,3.427
Q9W2I2,-1.476,8.553,0.364,2.01
O97062,-0.018,0.018,-3.497,2.832
Q9V460,1.925,2.966,2.112,3.107
Q8SZM7,0.348,4.091,3.415,1.876
M9PFX9,3.62,10.115,2.954,1.105
Q9V9M7,-1.244,6.839,6.138,6.385
Q9XZ06,1.65,0.96,1.729,3.224
Q7KTW5,1.371,10.759,3.176,1.816
Q9VDE2,1.449,8.958,2.032,1.833
Q07171,1,12.455,4.081,2.229
P51592,2.503,3.113,2.192,3.283
Q7K4H1,-0.172,0.651,0.748,1.848
Q9XYZ5,-1.835,9.54,1.767,3.119
Q9W5N2,-1.409,3.997,4.619,5.519
Q8SZL4,-0.463,0.607,-0.021,2.959
Q9VX15,-0.039,0.066,0.384,1.905
Q9VVL7,2.431,10.601,4.603,3.655
M9PBK5,-1.832,10.054,6.989,7.359
O76927,-1.069,7.103,5.803,6.25
M9NG39,-1.766,4.233,4.111,4.587
Q9VZ20,-1.001,5.909,3.887,2.372
Q9VL69,-1.062,4.619,4.22,5.035
Q7JUS9,6.836,9.351,5.251,2.746
Q9VFF0,2.508,11.662,6.22,4.462
Q9VV75,2.468,8.6,5.41,4.008
Q8IQU1,-1.325,2.121,1.837,4.425
M9NCX1,0.752,0.785,1.875,3.514
A1ZA72,6.102,8.912,2.825,0.444
M9PCG1,3.619,10.047,4.47,3.673
Q968K4,-0.796,5.044,0.962,2.201
M9MRC9,-1.397,9.567,6.028,7.314
Q9VRS4,2.461,10.444,7.975,4.276
Q9VWI2,-2.064,10.32,3.033,2.71
Q86P66,1.826,7.81,4.718,3.825
Q7JXC4,-0.182,1.686,2.635,3.701
Q7KV27,2.058,11.566,3.142,2.045
Q9W2M4,1.267,13.244,2.847,3.245
M9PGL7,-1.12,7.233,3.16,3.278
E1JH01,-1.308,7.835,1.882,3.052
Q8IPX7,-0.738,4.989,0.951,2.47
P35421,0.127,1.14,3.082,1.437
