T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH,neutralpH_loN,neutralpH_hiN
0,-12.586216,-11.355496,-11.929424,-10.698704,-11.669346,-11.012554
5,-12.363262,-11.132542,-11.70647,-10.475749,-11.468056,-10.811263
10,-12.146089,-10.915369,-11.489297,-10.258576,-11.271314,-10.614521
15,-11.934992,-10.704272,-11.2782,-10.047479,-11.079499,-10.422706
20,-11.729786,-10.499065,-11.072993,-9.842273,-10.89253,-10.235737
25,-11.530271,-10.299551,-10.873479,-9.642758,-10.710295,-10.053502
30,-11.336243,-10.105523,-10.679451,-9.448731,-10.532663,-9.875871
35,-11.147498,-9.916777,-10.490705,-9.259985,-10.359492,-9.7027
40,-10.963832,-9.733112,-10.30704,-9.076319,-10.190636,-9.533844
45,-10.785049,-9.554329,-10.128257,-8.897536,-10.025946,-9.369153
50,-10.610957,-9.380237,-9.954165,-8.723445,-9.865273,-9.208481
55,-10.441373,-9.210653,-9.784581,-8.55386,-9.708473,-9.051681
60,-10.276119,-9.045399,-9.619327,-8.388607,-9.555404,-8.898612
65,-10.115027,-8.884307,-9.458235,-8.227514,-9.405929,-8.749137
70,-9.957934,-8.727214,-9.301141,-8.070421,-9.259915,-8.603122
75,-9.804685,-8.573965,-9.147893,-7.917173,-9.117232,-8.46044
80,-9.655134,-8.424414,-8.998342,-7.767622,-8.977759,-8.320967
85,-9.50914,-8.278419,-8.852347,-7.621627,-8.841376,-8.184584
90,-9.366567,-8.135847,-8.709775,-7.479055,-8.707971,-8.051179
95,-9.22729,-7.996569,-8.570497,-7.339777,-8.577434,-7.920641
100,-9.091187,-7.860467,-8.434395,-7.203674,-8.449664,-7.792871
105,-8.958177,-7.727457,-8.301385,-7.070664,-8.3246,-7.667807
110,-8.828117,-7.597397,-8.171325,-6.940605,-8.20211,-7.545318
115,-8.700902,-7.470182,-8.04411,-6.81339,-8.082102,-7.42531
120,-8.576431,-7.345711,-7.919639,-6.688919,-7.964489,-7.307697
125,-8.454608,-7.223888,-7.797816,-6.567095,-7.849188,-7.192395
130,-8.335341,-7.104621,-7.678549,-6.447828,-7.736116,-7.079324
135,-8.218542,-6.987821,-7.561749,-6.331029,-7.625197,-6.968404
140,-8.104127,-6.873406,-7.447334,-6.216614,-7.516357,-6.859565
145,-7.992015,-6.761295,-7.335223,-6.104502,-7.409525,-6.752732
150,-7.88213,-6.65141,-7.225338,-5.994617,-7.304631,-6.647839
155,-7.774397,-6.543677,-7.117605,-5.886885,-7.20161,-6.544818
160,-7.668746,-6.438026,-7.011954,-5.781234,-7.1004,-6.443608
165,-7.565108,-6.334388,-6.908316,-5.677596,-7.000937,-6.344145
170,-7.463419,-6.232698,-6.806626,-5.575906,-6.903165,-6.246372
175,-7.363614,-6.132893,-6.706821,-5.476101,-6.807025,-6.150232
180,-7.265633,-6.034913,-6.608841,-5.37812,-6.712462,-6.055669
185,-7.169418,-5.938698,-6.512626,-5.281906,-6.619422,-5.96263
190,-7.074913,-5.844193,-6.418121,-5.187401,-6.527853,-5.871061
195,-6.982063,-5.751343,-6.325271,-5.094551,-6.437705,-5.780913
200,-6.890816,-5.660096,-6.234024,-5.003303,-6.348926,-5.692133
205,-6.80112,-5.5704,-6.144328,-4.913608,-6.261467,-5.604675
210,-6.712927,-5.482207,-6.056135,-4.825414,-6.175281,-5.518488
215,-6.626188,-5.395468,-5.969396,-4.738675,-6.090319,-5.433526
220,-6.540857,-5.310136,-5.884064,-4.653344,-6.006535,-5.349742
225,-6.456887,-5.226167,-5.800095,-4.569374,-5.923881,-5.267089
230,-6.374234,-5.143514,-5.717442,-4.486722,-5.842311,-5.185519
235,-6.292855,-5.062134,-5.636062,-4.405342,-5.76178,-5.104987
240,-6.212704,-4.981984,-5.555912,-4.325192,-5.682239,-5.025447
245,-6.13374,-4.903019,-5.476947,-4.246227,-5.603643,-4.946851
250,-6.055918,-4.825198,-5.399126,-4.168405,-5.525944,-4.869152
255,-5.979196,-4.748475,-5.322403,-4.091683,-5.449094,-4.792301
260,-5.903529,-4.672808,-5.246736,-4.016016,-5.373043,-4.71625
265,-5.828873,-4.598152,-5.17208,-3.94136,-5.297741,-4.640949
270,-5.755181,-4.524461,-5.098389,-3.867668,-5.223137,-4.566344
275,-5.682406,-4.451686,-5.025614,-3.794893,-5.149174,-4.492382
280,-5.610497,-4.379777,-4.953705,-3.722985,-5.075795,-4.419003
285,-5.539401,-4.308681,-4.882609,-3.651889,-5.002939,-4.346147
290,-5.469061,-4.23834,-4.812268,-3.581548,-4.930538,-4.273745
295,-5.399413,-4.168692,-4.74262,-3.5119,-4.858518,-4.201725
300,-5.330387,-4.099667,-4.673595,-3.442875,-4.786794,-4.130002
