study,name,Run,BioSample,sample,type,cohort
VAH+18,"Laguna Potrok Aike",ERR2117568,SAMEA104286031,S2,,
VAH+18,"Laguna Potrok Aike",ERR2117569,SAMEA104286032,S5,,
VAH+18,"Laguna Potrok Aike",ERR2117570,SAMEA104286033,S6,,
VAH+18,"Laguna Potrok Aike",ERR2117571,SAMEA104286034,S9,,
VAH+18,"Laguna Potrok Aike",ERR2117572,SAMEA104286035,S11,,
VAH+18,"Laguna Potrok Aike",ERR2117573,SAMEA104286036,S12,,
VAH+18,"Laguna Potrok Aike",ERR2117574,SAMEA104286037,S14,,
VAH+18,"Laguna Potrok Aike",ERR2117575,SAMEA104286038,S15,,
VAH+18,"Laguna Potrok Aike",ERR2117576,SAMEA104286039,S17,,
VAH+18,"Laguna Potrok Aike",ERR2117577,SAMEA104286040,S18,,
VAH+18,"Laguna Potrok Aike",ERR2117578,SAMEA104286041,S19,,
VAH+18,"Laguna Potrok Aike",ERR2117579,SAMEA104286042,D7,,
VAH+18,"Laguna Potrok Aike",ERR2117580,SAMEA104286043,D8,,
VAH+18,"Laguna Potrok Aike",ERR2117581,SAMEA104286044,D10,,
VAH+18,"Laguna Potrok Aike",ERR2117582,SAMEA104286045,D11,,
VAH+18,"Laguna Potrok Aike",ERR2117583,SAMEA104286046,D12,,
VAH+18,"Laguna Potrok Aike",ERR2117584,SAMEA104286047,D14,,
VAH+18,"Laguna Potrok Aike",ERR2117585,SAMEA104286048,D16,,
VAH+18,"Laguna Potrok Aike",ERR2117586,SAMEA104286049,D18,,
VAH+18,NA,ERR2117587,SAMEA104286050,D19,,
VAH+18,"Laguna Potrok Aike",ERR2117588,SAMEA104286051,D20,,
VAH+18,"Laguna Potrok Aike",ERR2117589,SAMEA104286052,D21,,
VAH+18,"Laguna Potrok Aike",ERR2117590,SAMEA104286053,D22,,
VAH+18,"Laguna Potrok Aike",ERR2117591,SAMEA104286054,D23,,
VAH+18,"Laguna Potrok Aike",ERR2117592,SAMEA104286055,D24,,
VAH+18,"Laguna Potrok Aike",ERR2117593,SAMEA104286056,D25,,
VAH+18,"Laguna Potrok Aike",ERR2117594,SAMEA104286057,D27,,
VAH+18,"Laguna Potrok Aike",ERR2117595,SAMEA104286058,D28,,
VAH+18,"Laguna Potrok Aike",ERR2117596,SAMEA104286059,D29,,
VAH+18,"Laguna Potrok Aike",ERR2117597,SAMEA104286060,D30,,
VAH+18,"Laguna Potrok Aike",ERR2117598,SAMEA104286061,D31,,
VAH+18,"Laguna Potrok Aike",ERR2117599,SAMEA104286062,D32,,
VAH+18,"Laguna Potrok Aike",ERR2117600,SAMEA104286063,D33,,
VAH+18,"Laguna Potrok Aike",ERR2117601,SAMEA104286064,D34,,
VAH+18,"Laguna Potrok Aike",ERR2117602,SAMEA104286065,D35,,
VAH+18,"Laguna Potrok Aike",ERR2117603,SAMEA104286066,D37,,
VAH+18,"Laguna Potrok Aike",ERR2117604,SAMEA104286067,D38,,
VAH+18,"Laguna Potrok Aike",ERR2117605,SAMEA104286068,D42,,
VAH+18,"Laguna Potrok Aike",ERR2117606,SAMEA104286069,D44,,
VAH+18,"Laguna Potrok Aike",ERR2117607,SAMEA104286070,D45,,
VAH+18,"Laguna Potrok Aike",ERR2117608,SAMEA104286071,D48,,
