study,name,Run,BioSample,sample,type,year,pH
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929940,SAMN07486563,VRS.S13.2012,MSA-,2012,7.67
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929926,SAMN07486549,UTCS.S6.2012,MSA-,2012,7.9
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929923,SAMN07486546,UNTTS.S10.2012,MSA+,2012,6.94
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929905,SAMN07486527,UDBS.S8.2012,MSA-,2012,7.41
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929898,SAMN07486520,TRTRS.S4.2012,MSA+,2012,6.99
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929892,SAMN07486514,SRS.S30.2012,MSA+,2012,5.01
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929885,SAMN07486507,SRCS.S27.2012,MSA+,2012,7.66
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929858,SAMN07486480,LWS.S24.2012,MSA+,2012,7.32
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929846,SAMN07486466,LoRS.S26.2012,MSA+,2012,7.48
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929844,SAMN07486464,LLRS.S19.2012,MSA+,2012,6.86
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929837,SAMN07486450,LCS.S21.2012,MSA+,2012,6.4
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929829,SAMN07486442,HRS.S17.2012,MSA+,2012,7.2
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929827,SAMN07486440,FRS.S15.2012,MSA-,2012,7.78
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929824,SAMN07486437,EBRS.S26.2012,MSA+,2012,7.99
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929810,SAMN07486422,DixRS.S13.2012,MSA+,2012,7.61
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929808,SAMN07486420,DiaRS.S12.2012,MSA-,2012,7.8
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929795,SAMN07486407,CSS.S7.2012,MSA+,2012,6.18
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929789,SAMN07486401,CroRS.S8.2012,MSA-,2012,5.38
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929785,SAMN07486397,CaRS.S5.2012,MSA-,2012,7.4
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929782,SAMN07486394,BCS.S3.2012,MSA-,2012,7.71
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929768,SAMN07486379,C13061SD,MSA+,2013,7.62
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929765,SAMN07486376,C13028SD,MSA+,2013,3.98
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929763,SAMN07486374,C13027SD,MSA-,2013,7.45
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929760,SAMN07486371,C13026SD,MSA+,2013,6.16
UKD+18.sediment,NA,SRR5929751,SAMN07486362,C13023SD,MSA+,2013,6.62
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929748,SAMN07486359,C13021SD,MSA+,2013,5.19
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929739,SAMN07486350,C13019SD.S1,MSA+,2013,7.02
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929735,SAMN07486346,C13017SD,MSA+,2013,7.05
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929732,SAMN07486343,C13016SD,MSA+,2013,6.28
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929718,SAMN07486329,C13012SD,MSA-,2013,7.71
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929715,SAMN07486326,C13010SD,MSA+,2013,5.8
