"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
GEPIA2_ACC,"ACC",,2013,391,-0.12,-0.1292,-0.0091,-0.7738,-0.7588,0.0149,516,309,-207,111.6532,111.7317,0.0784
GEPIA2_BLCA,"BLCA",,1722,735,-0.1108,-0.1286,-0.0178,-0.7725,-0.7453,0.0273,510,396,-114,111.3772,111.5743,0.197
GEPIA2_BRCA,"BRCA",,1749,1256,-0.1175,-0.1322,-0.0147,-0.7719,-0.7588,0.0131,473,384,-89,111.3756,111.7746,0.399
GEPIA2_CESC,"CESC",,2972,1627,-0.1098,-0.1313,-0.0215,-0.7736,-0.7543,0.0193,531,372,-159,111.5074,111.7846,0.2772
GEPIA2_COAD,"COAD",,2165,2327,-0.1118,-0.1333,-0.0215,-0.7736,-0.7608,0.0128,491,383,-108,111.4175,111.7365,0.3189
GEPIA2_DLBC,"DLBC",,771,7887,-0.1322,-0.1269,0.0053,-0.7738,-0.7599,0.0138,418,412,-6,111.2314,112.1076,0.8763
GEPIA2_ESCA,"ESCA",,1088,2401,-0.1245,-0.1258,-0.0013,-0.7746,-0.7648,0.0098,400,500,100,111.1724,111.7818,0.6094
GEPIA2_GBM,"GBM",,1883,4642,-0.1191,-0.1313,-0.0122,-0.7653,-0.7704,-0.0051,499,392,-107,111.2361,112.1315,0.8954
GEPIA2_HNSC,"HNSC",,557,1385,-0.1279,-0.1247,0.0033,-0.7644,-0.7684,-0.004,415,459,44,111.4436,111.7159,0.2723
GEPIA2_KICH,"KICH",,3002,615,-0.1231,-0.131,-0.0079,-0.7703,-0.7702,1e-04,443,434,-9,111.5476,111.5739,0.0264
GEPIA2_KIRC,"KIRC",,1141,1433,-0.1316,-0.1267,0.0049,-0.7762,-0.7719,0.0043,441,398,-43,111.287,111.2371,-0.0499
GEPIA2_KIRP,"KIRP",,1258,827,-0.1264,-0.1292,-0.0028,-0.7717,-0.7703,0.0013,451.5,400,-51.5,111.0688,111.4197,0.3509
GEPIA2_LAML,"LAML",,2578,2490,-0.1283,-0.1195,0.0089,-0.7551,-0.7731,-0.018,336,510,174,111.7952,111.8961,0.1009
GEPIA2_LGG,"LGG",,1376,3500,-0.1203,-0.126,-0.0057,-0.7649,-0.7666,-0.0017,457,442.5,-14.5,111.2364,112.041,0.8046
GEPIA2_LIHC,"LIHC",,570,1342,-0.131,-0.1348,-0.0039,-0.771,-0.7531,0.0179,416,300.5,-115.5,111.2822,112.0751,0.7928
GEPIA2_LUAD,"LUAD",,2430,949,-0.1145,-0.1286,-0.014,-0.7731,-0.7658,0.0074,507.5,346,-161.5,111.4262,111.2186,-0.2076
GEPIA2_LUSC,"LUSC",,3167,1654,-0.1186,-0.1302,-0.0115,-0.7711,-0.7622,0.0089,501,358,-143,111.4603,111.63,0.1697
GEPIA2_OV,"OV",,3567,2241,-0.1133,-0.1286,-0.0154,-0.7702,-0.764,0.0062,558,353,-205,111.9203,111.363,-0.5573
GEPIA2_PAAD,"PAAD",,335,8167,-0.1299,-0.1255,0.0044,-0.7794,-0.7651,0.0143,438,412,-26,111.0189,111.8234,0.8045
GEPIA2_PRAD,"PRAD",,1778,518,-0.1106,-0.145,-0.0344,-0.7716,-0.7655,0.0062,518,383.5,-134.5,111.1382,111.6571,0.5189
GEPIA2_READ,"READ",,2331,2455,-0.1119,-0.1335,-0.0216,-0.7719,-0.7595,0.0124,501,392,-109,111.3685,111.8152,0.4466
GEPIA2_SKCM,"SKCM",,3007,2252,-0.1181,-0.134,-0.0159,-0.7727,-0.765,0.0077,473,370.5,-102.5,111.3218,111.7341,0.4124
GEPIA2_STAD,"STAD",,708,3458,-0.1264,-0.1283,-0.0019,-0.771,-0.7635,0.0075,433.5,429,-4.5,111.2096,111.8433,0.6337
GEPIA2_TGCT,"TGCT",,6227,2174,-0.1201,-0.1323,-0.0122,-0.7673,-0.7659,0.0014,461,334,-127,111.8998,111.7084,-0.1914
GEPIA2_THCA,"THCA",,2341,524,-0.1133,-0.1292,-0.016,-0.7706,-0.764,0.0066,547,365,-182,111.4687,111.2452,-0.2235
GEPIA2_THYM,"THYM",,783,10099,-0.1312,-0.1227,0.0085,-0.7771,-0.7623,0.0148,398,442,44,111.2979,112.0403,0.7423
GEPIA2_UCEC,"UCEC",,3834,1733,-0.1111,-0.1292,-0.0181,-0.771,-0.7571,0.0139,556.5,342,-214.5,111.6663,111.425,-0.2413
GEPIA2_UCS,"UCS",,3418,1592,-0.1133,-0.1266,-0.0133,-0.7692,-0.7532,0.016,569,356.5,-212.5,111.6848,111.4405,-0.2444
