accession,length,ZC
IPI00028053,515,-0.1253
IPI00030070,273,-0.193
IPI00030763,261,-0.1991
IPI00056430,543,-0.1042
IPI00170993,370,-0.1107
IPI00217262,358,-0.1263
IPI00218487,382,-0.1647
IPI00219023,333,-0.174
IPI00220287,433,-0.1647
IPI00221385,435,-0.1443
IPI00302941,279,-0.1826
IPI00306888,223,-0.3109
IPI00743528,205,-0.3183
IPI00827707,600,-0.121
IPI00879578,295,-0.1608
IPI00002406,628,-0.0683
IPI00004288,467,-0.0794
IPI00004315,463,-0.0871
IPI00009619,432,-0.1156
IPI00018667,293,-0.1096
IPI00019020,244,-0.1361
IPI00021935,551,-0.1306
IPI00022203,364,-0.1023
IPI00024053,1179,-0.1398
IPI00024929,373,-0.1152
IPI00026237,626,-0.1406
IPI00027411,252,-0.1647
IPI00027412,344,-0.1243
IPI00027486,702,-0.0866
IPI00028270,265,-0.1369
IPI00029700,2012,-0.1219
IPI00064982,697,-0.1014
IPI00066317,722,-0.0889
IPI00071204,595,-0.099
IPI00154755,2113,-0.1089
IPI00166392,443,-0.1251
IPI00171647,499,-0.0862
IPI00293836,437,-0.1522
IPI00295133,847,-0.0993
IPI00299059,1224,-0.1231
IPI00373966,484,-0.1621
IPI00376238,300,-0.1489
IPI00376427,837,-0.1334
IPI00383951,2218,-0.1159
IPI00385063,394,-0.1953
IPI00385428,546,-0.0874
IPI00402004,506,-0.109
IPI00432525,396,-0.1288
IPI00478949,2214,-0.1146
IPI00513705,1347,-0.0974
IPI00739029,881,-0.1222
IPI00789178,1137,-0.1021
IPI00790020,312,-0.1275
IPI00795918,858,-0.1202
IPI00796217,328,-0.0739
IPI00847471,1349,-0.1358
IPI00871467,1259,-0.1098
IPI00873446,1308,-0.1359
IPI00893126,363,-0.1436
IPI00022558,269,-0.1651
IPI00024811,215,-0.1934
IPI00375222,235,-0.1389
IPI00478921,258,-0.1828
IPI00166646,748,-0.0289
IPI00173461,661,-0.0282
IPI00176532,696,-0.0383
IPI00377242,630,0.0049
IPI00001424,797,-0.1324
IPI00001425,793,-0.1462
IPI00001426,794,-0.1398
IPI00001428,795,-0.1424
IPI00001429,795,-0.1615
IPI00001431,796,-0.1382
IPI00001432,798,-0.1502
IPI00001433,787,-0.1364
IPI00001434,798,-0.1466
IPI00001449,798,-0.1461
IPI00001450,795,-0.1384
IPI00001451,797,-0.1467
IPI00009033,801,-0.1359
IPI00009034,800,-0.1302
IPI00295031,818,-0.1407
IPI00299853,776,-0.1418
IPI00001895,1070,-0.0653
IPI00009851,1187,-0.11
IPI00010826,1040,-0.0642
IPI00014829,2916,-0.1233
IPI00030618,1135,-0.0873
IPI00031411,4591,-0.1099
IPI00040730,859,-0.1455
IPI00064262,3298,-0.0838
IPI00176458,1237,-0.0836
IPI00218387,1340,-0.1295
IPI00289870,1200,-0.0838
IPI00302641,4349,-0.1159
IPI00307446,1310,-0.1272
IPI00336112,845,-0.0845
IPI00397966,825,-0.1571
IPI00409626,1237,-0.106
IPI00455386,4601,-0.1203
IPI00478667,951,-0.1589
IPI00514303,1347,-0.1212
IPI00552819,1148,-0.0942
IPI00645206,1159,-0.0783
IPI00852735,4981,-0.0931
IPI00852862,1957,-0.1533
IPI00002970,318,-0.1085
IPI00064994,312,-0.1388
IPI00218559,291,-0.1788
IPI00294216,290,-0.2021
IPI00301464,387,-0.1508
IPI00414984,462,-0.1471
IPI00289920,287,-0.151
IPI00328948,276,-0.1672
IPI00401164,220,-0.1446
IPI00514244,220,-0.143
IPI00006142,632,-0.1137
IPI00009906,379,-0.1323
IPI00009908,453,-0.1485
IPI00018359,300,-0.0929
IPI00166394,343,-0.1569
IPI00419218,360,-0.178
IPI00787987,284,-0.1728
IPI00000115,139,-0.3085
IPI00030649,144,-0.3083
IPI00152192,160,-0.2567
IPI00787516,334,-0.1382
IPI00377041,3707,-0.0763
IPI00394718,3565,-0.0771
IPI00394770,3631,-0.0803
IPI00038550,119,-0.2962
IPI00741066,147,-0.3125
IPI00872620,149,-0.3191
IPI00009295,314,-0.2423
IPI00010187,279,-0.2645
IPI00031695,265,-0.2344
IPI00054675,270,-0.2901
IPI00413930,296,-0.25
IPI00556024,301,-0.1972
IPI00783761,281,-0.2594
IPI00062596,167,-0.0783
IPI00478696,166,-0.0957
IPI00871548,166,-0.093
IPI00410565,129,-0.091
IPI00607593,159,-0.0537
IPI00877894,127,-0.1054
IPI00293080,1347,-0.0909
IPI00374520,1343,-0.0912
IPI00399119,1576,-0.1081
IPI00415064,917,-0.1222
IPI00472874,1347,-0.0922
IPI00480163,1347,-0.0898
IPI00640187,1347,-0.0904
IPI00647018,1347,-0.0865
IPI00783899,1200,-0.0826
IPI00845457,1347,-0.0871
IPI00872989,917,-0.1219
IPI00001845,99,-0.1405
IPI00020883,106,-0.2158
IPI00038613,106,-0.2093
IPI00176824,93,-0.2294
IPI00796647,97,-0.169
IPI00856008,107,-0.2331
IPI00001754,299,-0.1573
IPI00027038,399,-0.1407
IPI00028685,204,-0.0789
IPI00101797,327,-0.1698
IPI00174439,311,-0.159
IPI00175654,343,-0.1462
IPI00218082,778,-0.1122
IPI00257928,387,-0.1562
IPI00376274,414,-0.069
IPI00394824,236,-0.0893
IPI00395833,708,-0.1085
IPI00470361,773,-0.0972
IPI00790012,506,-0.0435
IPI00847947,309,-0.1403
IPI00013888,263,-0.1895
IPI00016014,267,-0.1511
IPI00031821,266,-0.2032
IPI00376467,247,-0.2301
IPI00419291,129,-0.3179
IPI00445977,228,-0.227
IPI00784831,220,-0.1667
IPI00785082,200,-0.173
IPI00785184,325,-0.142
IPI00874029,245,-0.2282
IPI00880072,252,-0.1699
IPI00297574,1634,-0.1126
IPI00334362,1700,-0.1079
IPI00470954,1700,-0.1104
IPI00478305,223,-0.2165
IPI00791592,974,-0.1395
IPI00001719,60,-0.4379
IPI00007153,244,-0.2161
IPI00007880,297,-0.2066
IPI00009636,240,-0.2047
IPI00027802,250,-0.2252
IPI00061147,147,-0.2423
IPI00096647,239,-0.1828
IPI00163227,267,-0.2471
IPI00171488,200,-0.3049
IPI00220897,214,-0.1558
IPI00295531,276,-0.2504
IPI00302076,267,-0.1875
IPI00382581,34,-0.2745
IPI00553198,152,-0.2882
IPI00852872,240,-0.2185
IPI00442032,123,-0.1478
IPI00444261,137,-0.2149
IPI00445365,134,-0.2297
IPI00871588,113,-0.1382
IPI00873620,129,-0.152
IPI00442987,176,-0.202
IPI00444822,193,-0.1652
IPI00793178,129,-0.1833
IPI00872188,125,-0.1656
IPI00412627,203,-0.2
IPI00787699,281,-0.1561
IPI00787983,274,-0.1843
IPI00017351,307,-0.1839
IPI00384036,190,-0.1238
IPI00443661,303,-0.1496
IPI00445722,148,-0.1427
IPI00446108,180,-0.2305
IPI00446817,274,-0.1639
IPI00655935,75,-0.2751
IPI00742730,160,-0.3964
IPI00743331,118,-0.1942
IPI00743587,50,-0.1739
IPI00744771,136,-0.203
IPI00745023,62,-0.2291
IPI00745679,77,-0.3073
IPI00746349,260,-0.2549
IPI00749047,152,-0.2745
IPI00749163,184,-0.26
IPI00793071,246,-0.328
IPI00848361,69,-0.2077
IPI00854860,130,-0.4815
IPI00872880,157,-0.3738
IPI00873042,113,-0.1947
IPI00883661,95,-0.211
IPI00384829,129,-0.2604
IPI00386363,167,-0.2595
IPI00443499,125,-0.2537
IPI00443918,134,-0.2973
IPI00444520,170,-0.2176
IPI00794786,56,-0.3041
IPI00878913,179,-0.2151
IPI00009364,153,-0.2598
IPI00166066,153,-0.2738
IPI00171701,153,-0.2766
IPI00297702,435,-0.1843
IPI00413855,428,-0.1905
IPI00797961,444,-0.1793
IPI00003971,776,-0.1259
IPI00021766,1192,-0.1507
IPI00024983,545,-0.1252
IPI00743293,1032,-0.1243
IPI00018415,663,-0.2407
IPI00021985,642,-0.2277
IPI00030847,589,-0.2324
IPI00101374,606,-0.2039
IPI00044743,1078,-0.1249
IPI00383814,1024,-0.1114
IPI00413912,984,-0.1298
IPI00737328,1215,-0.1087
IPI00783399,1099,-0.129
IPI00033553,999,-0.1582
IPI00151710,910,-0.202
IPI00152780,782,-0.1995
IPI00170999,933,-0.1658
IPI00412694,913,-0.2
IPI00479837,986,-0.1878
IPI00794169,661,-0.2545
IPI00872695,1046,-0.1803
IPI00874068,981,-0.1692
IPI00019381,361,-0.1628
IPI00092641,351,-0.1237
IPI00332802,353,-0.1833
IPI00006006,807,-0.2182
IPI00067744,806,-0.2124
IPI00514538,832,-0.1955
IPI00008779,202,-0.1944
IPI00015659,229,-0.1965
IPI00024287,197,-0.1512
IPI00026520,232,-0.1949
IPI00060412,201,-0.2829
IPI00061285,209,-0.2559
IPI00006122,804,-0.1003
IPI00030542,2016,-0.1333
IPI00302089,811,-0.1088
IPI00400827,754,-0.1146
IPI00845515,777,-0.1004
IPI00847772,775,-0.1001
IPI00871626,230,-0.1775
IPI00877046,777,-0.1008
IPI00015346,2923,-0.0765
IPI00024754,1017,-0.1756
IPI00028448,1522,-0.1066
IPI00064461,797,-0.1868
IPI00162547,1469,-0.1131
IPI00165934,6307,-0.1661
IPI00183445,1474,-0.1239
IPI00217481,1250,-0.1586
IPI00217998,752,-0.2056
IPI00218000,1079,-0.1858
IPI00218001,708,-0.2101
IPI00255554,1280,-0.0674
IPI00385573,963,-0.1621
IPI00394960,874,-0.1736
IPI00397229,835,-0.1212
IPI00409743,889,-0.1233
IPI00412420,693,-0.1894
IPI00437186,1346,-0.1622
IPI00455018,570,-0.1922
IPI00479294,600,-0.2027
IPI00552663,915,-0.2071
IPI00641868,1474,-0.1325
IPI00645561,3080,-0.1589
IPI00742200,512,-0.2127
IPI00743456,1338,-0.1139
IPI00746807,1585,-0.0977
IPI00786862,1595,-0.1071
IPI00787251,1343,-0.1137
IPI00798152,1295,-0.072
IPI00848229,690,-0.172
IPI00873270,845,-0.1467
IPI00874160,3014,-0.0819
IPI00010807,694,-0.1253
IPI00016027,565,-0.1878
IPI00018471,787,-0.1583
IPI00020230,591,-0.1802
IPI00024012,574,-0.1907
IPI00026973,581,-0.1863
IPI00054521,647,-0.1696
IPI00297420,540,-0.2146
IPI00298743,585,-0.1847
IPI00424119,666,-0.1711
IPI00883735,706,-0.1823
IPI00000837,879,-0.1671
IPI00000839,912,-0.1625
IPI00002756,961,-0.162
IPI00008239,403,-0.2592
IPI00012363,1194,-0.1669
IPI00022624,357,-0.2497
IPI00027250,941,-0.1859
IPI00030834,872,-0.141
IPI00032870,345,-0.2731
IPI00152592,839,-0.1978
IPI00168860,814,-0.1033
IPI00169179,852,-0.1557
IPI00169239,1520,-0.1123
IPI00169389,926,-0.217
IPI00216479,1088,-0.156
IPI00220277,1212,-0.1422
IPI00332575,841,-0.1669
IPI00376658,908,-0.1742
IPI00396108,486,-0.193
IPI00412541,1215,-0.1125
IPI00419908,2368,-0.0668
IPI00745954,924,-0.1636
IPI00000124,320,-0.3048
IPI00000636,318,-0.3096
IPI00001143,309,-0.2868
IPI00001356,312,-0.2744
IPI00001631,309,-0.2627
IPI00001678,310,-0.2782
IPI00003067,312,-0.298
IPI00005288,321,-0.291
IPI00005290,316,-0.2972
IPI00007617,312,-0.3242
IPI00008678,312,-0.2956
IPI00008839,320,-0.261
IPI00009180,309,-0.2766
IPI00011041,330,-0.2814
IPI00011043,313,-0.3136
IPI00011052,307,-0.2945
IPI00011054,307,-0.3014
IPI00013916,312,-0.2793
IPI00014282,314,-0.3045
IPI00015852,319,-0.3046
IPI00018693,314,-0.2817
IPI00018699,310,-0.3157
IPI00018729,313,-0.2981
IPI00018735,319,-0.2777
IPI00022324,316,-0.2848
IPI00022326,321,-0.3132
IPI00022355,308,-0.3131
IPI00022490,309,-0.25
IPI00022766,297,-0.3204
IPI00023118,312,-0.2803
IPI00023121,316,-0.261
IPI00023123,314,-0.3179
IPI00023125,312,-0.2827
IPI00026293,316,-0.2621
IPI00026296,315,-0.3152
IPI00026323,311,-0.2892
IPI00026652,348,-0.2348
IPI00026655,361,-0.2848
IPI00026661,323,-0.2416
IPI00028117,314,-0.2927
IPI00028118,320,-0.3071
IPI00028203,317,-0.279
IPI00028233,310,-0.3135
IPI00029411,314,-0.2838
IPI00029412,327,-0.2714
IPI00029535,315,-0.2974
IPI00029538,316,-0.2971
IPI00029620,355,-0.2627
IPI00030064,312,-0.2758
IPI00050342,309,-0.2972
IPI00050742,309,-0.2804
IPI00051746,331,-0.2932
IPI00051958,348,-0.3225
IPI00058265,329,-0.2669
IPI00060337,314,-0.278
IPI00061858,317,-0.2663
IPI00062312,318,-0.3077
IPI00064656,312,-0.3038
IPI00065371,343,-0.296
IPI00099998,311,-0.2999
IPI00103887,308,-0.3166
IPI00103896,322,-0.2767
IPI00103899,311,-0.2893
IPI00140505,314,-0.3005
IPI00140509,309,-0.2506
IPI00141011,317,-0.323
IPI00151862,332,-0.2798
IPI00160814,319,-0.2969
IPI00166004,324,-0.2665
IPI00166080,499,-0.0632
IPI00166095,312,-0.281
IPI00166113,310,-0.2862
IPI00166488,312,-0.2761
IPI00168932,326,-0.3098
IPI00168933,320,-0.2213
IPI00168934,320,-0.2173
IPI00168939,311,-0.3068
IPI00168954,314,-0.2505
IPI00168956,345,-0.3168
IPI00168959,313,-0.2946
IPI00168963,316,-0.2862
IPI00168967,309,-0.2855
IPI00168969,313,-0.3131
IPI00168970,313,-0.2754
IPI00168972,312,-0.3381
IPI00168973,362,-0.2666
IPI00168974,313,-0.2871
IPI00168975,310,-0.2927
IPI00168977,347,-0.2982
IPI00168979,330,-0.2997
IPI00168980,314,-0.2814
IPI00168981,324,-0.3205
IPI00168982,313,-0.3065
IPI00168983,307,-0.3311
IPI00168984,314,-0.3094
IPI00168986,311,-0.2731
IPI00168987,310,-0.2917
IPI00168990,310,-0.2921
IPI00168991,309,-0.3221
IPI00168993,316,-0.2937
IPI00168994,335,-0.2765
IPI00168995,314,-0.2801
IPI00169000,317,-0.2966
IPI00169005,315,-0.2957
IPI00169006,315,-0.3097
IPI00169007,359,-0.2812
IPI00169008,340,-0.2999
IPI00169009,311,-0.2715
IPI00169010,319,-0.3574
IPI00169011,310,-0.2984
IPI00169016,330,-0.2941
IPI00169020,329,-0.3209
IPI00169021,312,-0.3296
IPI00169026,311,-0.2957
IPI00169028,311,-0.2994
IPI00169029,309,-0.3064
IPI00169030,311,-0.2854
IPI00169032,315,-0.2894
IPI00169034,320,-0.3066
IPI00169037,315,-0.2947
IPI00169038,313,-0.3301
IPI00169040,323,-0.3171
IPI00169043,314,-0.3096
IPI00169050,311,-0.2882
IPI00169051,314,-0.3175
IPI00169052,314,-0.3054
IPI00169055,326,-0.3024
IPI00169059,370,-0.3005
IPI00169064,314,-0.2785
IPI00169065,318,-0.2924
IPI00169066,323,-0.3109
IPI00169077,310,-0.2758
IPI00169081,310,-0.2855
IPI00169082,327,-0.2397
IPI00169084,325,-0.2876
IPI00169085,319,-0.2838
IPI00169087,330,-0.2599
IPI00169088,314,-0.3134
IPI00169096,316,-0.2337
IPI00169100,318,-0.2535
IPI00169102,312,-0.3001
IPI00169103,309,-0.279
IPI00169105,305,-0.3176
IPI00169113,318,-0.3166
IPI00169115,347,-0.3219
IPI00169117,320,-0.3092
IPI00169121,318,-0.3005
IPI00169123,345,-0.3075
IPI00169124,312,-0.3026
IPI00169131,329,-0.3109
IPI00169139,314,-0.2982
IPI00169141,312,-0.3315
IPI00169148,314,-0.284
IPI00169154,312,-0.3353
IPI00169156,320,-0.2747
IPI00169157,315,-0.3022
IPI00169158,327,-0.2938
IPI00169163,314,-0.3059
IPI00169175,343,-0.2953
IPI00169181,328,-0.3431
IPI00169187,311,-0.3031
IPI00169188,314,-0.3411
IPI00169190,314,-0.3167
IPI00169192,313,-0.3046
IPI00169194,319,-0.3073
IPI00169197,325,-0.2793
IPI00169201,326,-0.3066
IPI00169202,313,-0.2581
IPI00169205,315,-0.3218
IPI00169208,312,-0.3144
IPI00169209,324,-0.2898
IPI00169213,305,-0.2919
IPI00169217,357,-0.3029
IPI00169230,312,-0.2859
IPI00169241,315,-0.2552
IPI00169248,316,-0.2862
IPI00169253,338,-0.3379
IPI00169254,312,-0.2829
IPI00176425,312,-0.3252
IPI00176445,313,-0.3281
IPI00176452,312,-0.336
IPI00176467,321,-0.2712
IPI00183993,312,-0.2709
IPI00185098,323,-0.3149
IPI00185143,341,-0.2291
IPI00185232,315,-0.2928
IPI00185234,324,-0.2937
IPI00185235,350,-0.2953
IPI00217508,308,-0.329
IPI00220564,321,-0.2446
IPI00232021,316,-0.311
IPI00244663,321,-0.2945
IPI00250136,325,-0.3283
IPI00251797,312,-0.2702
IPI00253464,311,-0.3127
IPI00254160,313,-0.3034
IPI00255178,326,-0.2857
IPI00259413,315,-0.2868
IPI00295119,312,-0.3114
IPI00295616,324,-0.2982
IPI00295696,316,-0.3229
IPI00297629,311,-0.2718
IPI00299181,317,-0.2868
IPI00300587,303,-0.3048
IPI00300877,321,-0.3012
IPI00301096,312,-0.3
IPI00303203,312,-0.2556
IPI00303226,308,-0.2918
IPI00303230,312,-0.2812
IPI00303323,333,-0.2931
IPI00303328,305,-0.3161
IPI00303337,359,-0.3335
IPI00303352,343,-0.3442
IPI00303364,323,-0.317
IPI00303376,330,-0.2791
IPI00303388,335,-0.2987
IPI00303389,394,-0.2493
IPI00303394,309,-0.3128
IPI00303395,303,-0.3147
IPI00303418,326,-0.2905
IPI00303430,318,-0.3242
IPI00303432,364,-0.3269
IPI00303451,324,-0.2813
IPI00303463,314,-0.2704
IPI00303464,308,-0.3148
IPI00303465,325,-0.3143
IPI00303481,321,-0.3154
IPI00303483,314,-0.3092
IPI00303486,317,-0.3159
IPI00303512,428,-0.2946
IPI00303515,310,-0.3278
IPI00303553,331,-0.2503
IPI00303579,316,-0.2971
IPI00303581,307,-0.321
IPI00303582,311,-0.3038
IPI00303583,315,-0.2788
IPI00303587,348,-0.2628
IPI00303589,317,-0.2833
IPI00303594,310,-0.329
IPI00303601,359,-0.2499
IPI00303609,314,-0.2861
IPI00303615,311,-0.3027
IPI00303621,301,-0.3794
IPI00303622,330,-0.2757
IPI00303629,322,-0.2712
IPI00303630,319,-0.32
IPI00303646,311,-0.3082
IPI00303654,304,-0.3337
IPI00303664,305,-0.2974
IPI00303670,311,-0.2635
IPI00303677,324,-0.3152
IPI00303683,311,-0.3185
IPI00303684,342,-0.2995
IPI00303685,392,-0.3005
IPI00303696,310,-0.288
IPI00303705,322,-0.2952
IPI00303707,309,-0.3321
IPI00303717,335,-0.3316
IPI00303725,317,-0.292
IPI00303764,325,-0.3022
IPI00303770,334,-0.301
IPI00303771,308,-0.3083
IPI00303859,337,-0.246
IPI00303891,308,-0.2561
IPI00304218,312,-0.2888
IPI00304219,357,-0.2862
IPI00332085,305,-0.2683
IPI00335346,387,-0.2956
IPI00374072,310,-0.3149
IPI00374256,346,-0.3163
IPI00375225,323,-0.284
IPI00375263,472,-0.3011
IPI00375703,324,-0.3266
IPI00375706,324,-0.3148
IPI00375707,321,-0.2812
IPI00375733,315,-0.2897
IPI00375736,309,-0.2781
IPI00375761,310,-0.2816
IPI00376299,314,-0.3321
IPI00376314,316,-0.2741
IPI00376778,318,-0.3038
IPI00376791,360,-0.2623
IPI00376792,347,-0.2986
IPI00377004,315,-0.3044
IPI00377012,314,-0.297
IPI00377023,443,-0.3028
IPI00382684,315,-0.265
IPI00382685,311,-0.292
IPI00382701,312,-0.2862
IPI00382798,305,-0.3159
IPI00383941,313,-0.296
IPI00384214,309,-0.3201
IPI00385892,318,-0.2787
IPI00386283,312,-0.291
IPI00386284,335,-0.2875
IPI00386331,313,-0.2979
IPI00386339,328,-0.3024
IPI00386344,311,-0.2882
IPI00386351,311,-0.2639
IPI00386359,326,-0.2964
IPI00386364,312,-0.2928
IPI00386374,318,-0.2885
IPI00386384,317,-0.2895
IPI00386388,324,-0.2947
IPI00386390,317,-0.3146
IPI00386391,312,-0.2868
IPI00386395,307,-0.3045
IPI00387082,346,-0.297
IPI00397100,312,-0.2784
IPI00398221,584,-0.2719
IPI00398850,313,-0.3083
IPI00399290,316,-0.3458
IPI00399291,326,-0.3242
IPI00399337,312,-0.305
IPI00399342,312,-0.2956
IPI00400819,316,-0.2793
IPI00402206,313,-0.3358
IPI00402207,354,-0.3132
IPI00402264,315,-0.2902
IPI00414176,310,-0.2658
IPI00414402,317,-0.2709
IPI00419360,310,-0.3204
IPI00419364,312,-0.2987
IPI00419369,314,-0.2741
IPI00419372,369,-0.2778
IPI00419385,317,-0.3174
IPI00419401,330,-0.272
IPI00419409,361,-0.2625
IPI00428677,318,-0.2275
IPI00437594,311,-0.3041
IPI00437595,312,-0.3199
IPI00450806,316,-0.2996
IPI00453466,317,-0.2765
IPI00456621,350,-0.2763
IPI00456726,345,-0.28
IPI00456735,312,-0.3148
IPI00457030,312,-0.2273
IPI00464960,329,-0.2422
IPI00464969,347,-0.2985
IPI00464971,320,-0.1443
IPI00465098,328,-0.2722
IPI00465221,304,-0.3667
IPI00465223,320,-0.3002
IPI00465262,324,-0.2818
IPI00465263,312,-0.2958
IPI00465268,351,-0.2609
IPI00465269,339,-0.267
IPI00465379,326,-0.2881
IPI00470370,311,-0.3031
IPI00470569,313,-0.3333
IPI00470600,312,-0.3284
IPI00470601,314,-0.3427
IPI00470602,318,-0.259
IPI00470603,312,-0.3136
IPI00470605,312,-0.3373
IPI00470611,313,-0.3381
IPI00470612,321,-0.2928
IPI00470613,321,-0.2928
IPI00470614,312,-0.3233
IPI00470615,317,-0.3249
IPI00472557,340,-0.2569
IPI00478001,314,-0.3309
IPI00478336,312,-0.252
IPI00549411,318,-0.3016
IPI00554566,305,-0.2884
IPI00554658,319,-0.2908
IPI00554683,309,-0.2857
IPI00607597,314,-0.262
IPI00646035,325,-0.2907
IPI00657988,320,-0.3054
IPI00719055,313,-0.2857
IPI00742745,324,-0.2854
IPI00743405,310,-0.3542
IPI00745577,312,-0.2953
IPI00786842,316,-0.3093
IPI00787866,599,-0.1019
IPI00787971,338,-0.2719
IPI00871401,324,-0.3047
IPI00871614,315,-0.3158
IPI00871783,331,-0.2903
IPI00872325,313,-0.2928
IPI00872571,321,-0.2565
IPI00872614,311,-0.309
IPI00872828,314,-0.309
IPI00872851,312,-0.2684
IPI00872886,313,-0.3037
IPI00872903,314,-0.2719
IPI00873063,318,-0.3472
IPI00873273,312,-0.2827
IPI00873491,312,-0.2919
IPI00873688,314,-0.3147
IPI00873706,312,-0.2702
IPI00874036,312,-0.2736
IPI00874207,313,-0.3529
IPI00877793,307,-0.3067
IPI00877959,328,-0.2967
IPI00878357,313,-0.2741
IPI00878479,314,-0.3274
IPI00878836,311,-0.3163
IPI00002171,445,-0.2772
IPI00012749,469,-0.2687
IPI00218565,424,-0.1843
IPI00328787,448,-0.281
IPI00413788,600,-0.2159
IPI00001645,240,-0.2682
IPI00008676,313,-0.29
IPI00030875,314,-0.2608
IPI00043433,207,-0.2651
IPI00058284,308,-0.3006
IPI00073066,312,-0.2583
IPI00075660,316,-0.2247
IPI00099708,200,-0.264
IPI00140489,233,-0.2877
IPI00168930,218,-0.3093
IPI00168931,292,-0.2922
IPI00168988,216,-0.2676
IPI00169046,175,-0.2531
IPI00169053,253,-0.3462
IPI00169058,301,-0.3421
IPI00169060,194,-0.2559
IPI00169075,216,-0.2536
IPI00169093,268,-0.2509
IPI00169119,221,-0.2632
IPI00169137,263,-0.3259
IPI00169142,306,-0.3225
IPI00169162,321,-0.267
IPI00169196,288,-0.2759
IPI00169200,312,-0.2936
IPI00169203,224,-0.3104
IPI00169225,320,-0.3148
IPI00169236,318,-0.3038
IPI00169246,270,-0.3282
IPI00169249,216,-0.2857
IPI00169250,288,-0.2619
IPI00169252,290,-0.2707
IPI00174841,227,-0.3091
IPI00176447,274,-0.2459
IPI00176450,280,-0.2802
IPI00185084,299,-0.2726
IPI00185222,276,-0.3144
IPI00260501,269,-0.2749
IPI00260941,216,-0.2973
IPI00294968,254,-0.2969
IPI00303378,254,-0.2809
IPI00303431,319,-0.3167
IPI00303558,298,-0.2713
IPI00303559,299,-0.3193
IPI00303624,254,-0.2844
IPI00303658,302,-0.248
IPI00303661,283,-0.2581
IPI00303676,249,-0.3295
IPI00303679,276,-0.2865
IPI00303686,294,-0.2974
IPI00303691,290,-0.3125
IPI00303714,252,-0.2785
IPI00303870,248,-0.3065
IPI00303873,304,-0.2789
IPI00334322,232,-0.2545
IPI00383628,275,-0.2994
IPI00385826,290,-0.3108
IPI00386345,318,-0.3067
IPI00386352,274,-0.2918
IPI00386375,190,-0.2629
IPI00386394,319,-0.261
IPI00386411,197,-0.2719
IPI00396983,310,-0.2799
IPI00397822,248,-0.2522
IPI00399293,322,-0.3069
IPI00399295,313,-0.3386
IPI00400913,335,-0.2327
IPI00401558,256,-0.375
IPI00401675,305,-0.2511
IPI00402110,312,-0.2967
IPI00402212,302,-0.3045
IPI00410403,308,-0.2855
IPI00448364,306,-0.2546
IPI00456739,310,-0.3203
IPI00470710,220,-0.3166
IPI00471973,251,-0.3473
IPI00477087,296,-0.2997
IPI00477570,313,-0.3097
IPI00640808,290,-0.3088
IPI00644263,316,-0.3004
IPI00736652,317,-0.2648
IPI00740446,292,-0.2899
IPI00743019,215,-0.2658
IPI00744660,312,-0.3329
IPI00745493,304,-0.2813
IPI00747195,300,-0.3425
IPI00747604,188,-0.2243
IPI00747645,313,-0.343
IPI00783627,222,-0.2886
IPI00784140,273,-0.3154
IPI00786970,194,-0.252
IPI00871318,205,-0.3397
IPI00871382,290,-0.2322
IPI00873003,317,-0.2878
IPI00873183,232,-0.2908
IPI00877834,216,-0.2822
IPI00879748,315,-0.3182
IPI00883889,312,-0.3065
IPI00884272,237,-0.3078
IPI00000206,333,-0.2605
IPI00000211,346,-0.212
IPI00001921,395,-0.1926
IPI00002183,377,-0.2357
IPI00002184,390,-0.2492
IPI00002185,471,-0.2112
IPI00002437,462,-0.1383
IPI00002514,380,-0.2204
IPI00002876,458,-0.2451
IPI00002878,390,-0.2323
IPI00003060,360,-0.2369
IPI00003065,398,-0.2478
IPI00003081,402,-0.1918
IPI00003501,353,-0.2602
IPI00003932,365,-0.2499
IPI00004334,330,-0.2719
IPI00004345,355,-0.276
IPI00004346,362,-0.1816
IPI00004347,362,-0.1954
IPI00004349,333,-0.2766
IPI00004352,370,-0.2258
IPI00004926,384,-0.1997
IPI00004964,339,-0.26
IPI00005616,351,-0.2509
IPI00005619,343,-0.2503
IPI00005660,404,-0.2257
IPI00006152,398,-0.2128
IPI00006166,613,-0.1573
IPI00006178,290,-0.2702
IPI00006903,396,-0.2062
IPI00006914,346,-0.2938
IPI00006962,372,-0.2052
IPI00007314,346,-0.2141
IPI00007366,330,-0.2565
IPI00007600,350,-0.2773
IPI00007696,389,-0.212
IPI00008160,328,-0.2677
IPI00008162,333,-0.276
IPI00008604,348,-0.2292
IPI00009080,337,-0.2727
IPI00009312,297,-0.2993
IPI00009396,472,-0.2276
IPI00009553,540,-0.1919
IPI00009729,342,-0.2887
IPI00009828,469,-0.2177
IPI00009902,369,-0.2686
IPI00010051,381,-0.2591
IPI00010289,446,-0.2086
IPI00010308,350,-0.2806
IPI00010416,361,-0.2117
IPI00010870,376,-0.2871
IPI00010881,319,-0.2472
IPI00011225,467,-0.1581
IPI00011227,477,-0.1688
IPI00011240,412,-0.2176
IPI00011241,453,-0.1907
IPI00011286,408,-0.2102
IPI00011451,334,-0.2906
IPI00012166,342,-0.2762
IPI00012180,384,-0.2392
IPI00012299,325,-0.2437
IPI00012312,397,-0.2259
IPI00012320,360,-0.2836
IPI00012371,359,-0.2226
IPI00012456,757,-0.2237
IPI00012478,353,-0.2773
IPI00012487,351,-0.2978
IPI00012717,367,-0.2404
IPI00012725,572,-0.1466
